model,entity,period,y,prediction,baseline
copy,0,0,0.51308061339669686,-0.38292982326153274,-0.38292982326153274
copy,1,0,1.158201232810669,0.55620583560224313,0.55620583560224313
copy,2,0,-1.3896150351938594,-0.29688402846659956,-0.29688402846659956
copy,3,0,0.64067630099132911,-0.85776569825678961,-0.85776569825678961
copy,4,0,-0.69675314841337099,-1.7266829105437258,-1.7266829105437258
copy,5,0,0.61944235097297917,1.2615541573977374,1.2615541573977374
copy,6,0,-0.89495598957804179,0.48196782782744613,0.48196782782744613
copy,7,0,-1.0782579317179974,-0.99162068335872289,-0.99162068335872289
copy,0,1,1.2503367905131069,0.34610454260134688,0.34610454260134688
copy,1,1,0.23113789350369995,1.5624015125717607,1.5624015125717607
copy,2,1,-1.2513180924849341,-0.83180592219791938,-0.83180592219791938
copy,3,1,0.70905011418970076,2.4806695033715367,2.4806695033715367
copy,4,1,-1.1990005921247839,-0.74147907525840173,-0.74147907525840173
copy,5,1,-0.1293900238075244,0.62632453406330157,0.62632453406330157
copy,6,1,-0.9493994533315977,0.085643966492921816,0.085643966492921816
copy,7,1,-0.063163962459027556,1.1054321427678762,1.1054321427678762
copy,0,2,-1.81793851639297,0.26372346215084203,0.26372346215084203
copy,1,2,0.8548990871884371,0.060932210664296341,0.060932210664296341
copy,2,2,-0.10705174102877574,0.43761833227864838,0.43761833227864838
copy,3,2,1.3545294638594894,0.21128088194937222,0.21128088194937222
copy,4,2,2.0556150717298061,1.1661267034447007,1.1661267034447007
copy,5,2,-1.4250869796211911,-0.78519203291769912,-0.78519203291769912
copy,6,2,-0.16362310757561627,-0.59201601554191785,-0.59201601554191785
copy,7,2,-0.20269590360405054,-1.2328077895249567,-1.2328077895249567
copy,0,3,0.48088682877223321,-0.2638637206361743,-0.2638637206361743
copy,1,3,1.3638358494870453,-1.0020598410316148,-1.0020598410316148
copy,2,3,-0.29775905479528719,-0.34609265779236165,-0.34609265779236165
copy,3,3,4.0556556801890906,2.1282552389339848,2.1282552389339848
copy,4,3,-0.13601038410865973,-1.2961476390743858,-1.2961476390743858
copy,5,3,-1.7254270261836606,0.56923584903652302,0.56923584903652302
copy,6,3,3.0481093207677468,1.5587477645688428,1.5587477645688428
copy,7,3,0.74918536929220325,0.40150551864043477,0.40150551864043477
copy,0,4,-0.09880752987312913,-0.16251846864985953,-0.16251846864985953
copy,1,4,-2.184710110359779,-0.94971822035644615,-0.94971822035644615
copy,2,4,1.7186071809540446,0.82049854874860073,0.82049854874860073
copy,3,4,-1.3573331284782091,-1.2926170243235144,-1.2926170243235144
copy,4,4,-1.689548254152939,-0.84282375729670123,-0.84282375729670123
copy,5,4,-1.26900221718688,-2.4375414734934391,-2.4375414734934391
copy,6,4,1.8032509691477949,1.2974935948669177,1.2974935948669177
copy,7,4,1.4560974403414615,0.7308190477078027,0.7308190477078027
copy,0,5,-0.93148234164614541,-0.10625225733489835,-0.10625225733489835
copy,1,5,-0.67918625126335697,-0.43678276393719628,-0.43678276393719628
copy,2,5,-0.78534831403888883,-1.23707546399688,-1.23707546399688
copy,3,5,-0.93612183594251996,-0.12561241271642629,-0.12561241271642629
copy,4,5,-0.046951199599158389,1.0281195252134137,1.0281195252134137
copy,5,5,2.0132726470983959,2.083169241934085,2.083169241934085
copy,6,5,-0.23526143045284953,0.04426330290643693,0.04426330290643693
copy,7,5,1.004905356051486,-0.17208418782558751,-0.17208418782558751
copy,0,6,-1.6897842989911358,-1.3651212477898043,-1.3651212477898043
copy,1,6,1.0220200757341784,-0.63840629443980279,-0.63840629443980279
copy,2,6,-0.24082680589279637,0.7764551292531312,0.7764551292531312
copy,3,6,-1.021573878438353,-2.1071834689557098,-2.1071834689557098
copy,4,6,-1.1265957037527632,0.20956590228922944,0.20956590228922944
copy,5,6,1.2685977031390898,1.2829499143788679,1.2829499143788679
copy,6,6,-0.87160386953271141,-0.72122106563180233,-0.72122106563180233
copy,7,6,-2.8042352141521536,-2.3471578965868769,-2.3471578965868769
copy,0,7,0.59174489924220197,1.1997641354778135,1.1997641354778135
copy,1,7,-1.3079344289918884,1.0846780813243311,1.0846780813243311
copy,2,7,-1.6656399057359315,-1.043276672045633,-1.043276672045633
copy,3,7,0.8170726478075252,0.83330961830946904,0.83330961830946904
copy,4,7,-1.7655055700224023,-0.22389955292746422,-0.22389955292746422
copy,5,7,0.75702064331199836,1.0710073567189833,1.0710073567189833
copy,6,7,-1.5245214133441247,-0.66975993491988162,-0.66975993491988162
copy,7,7,-0.65163692934204631,0.15579181861865887,0.15579181861865887
copy,0,8,-1.3940855992087517,-0.9439826508579634,-0.9439826508579634
copy,1,8,-0.51110456930211956,-0.33160083234014504,-0.33160083234014504
copy,2,8,-1.4970162787483039,0.092872227109185107,0.092872227109185107
copy,3,8,0.83013568048255648,-1.2330128311471713,-1.2330128311471713
copy,4,8,-0.51607282066729887,-0.99190384275240873,-0.99190384275240873
copy,5,8,1.1660615544665851,0.98244945191944555,0.98244945191944555
copy,6,8,2.1498423163472764,0.44055522812998477,0.44055522812998477
copy,7,8,1.5755289078047765,0.099708748298976538,0.099708748298976538
copy,0,9,-1.2210990664022754,-1.1732742266595475,-1.1732742266595475
copy,1,9,0.6967072323357183,2.1456894779037818,2.1456894779037818
copy,2,9,-0.99231358167461625,-0.84980903484903625,-0.84980903484903625
copy,3,9,-0.56385406728581033,-0.50210575020002313,-0.50210575020002313
copy,4,9,-0.598393996519063,2.2069709659131442,2.2069709659131442
copy,5,9,-0.34336772878809901,-0.95315924727561285,-0.95315924727561285
copy,6,9,0.6746920430997434,1.2426131895759029,1.2426131895759029
copy,7,9,-2.0378439696590398,-1.0236177429276223,-1.0236177429276223
copy,0,10,0.20225214242061784,1.2440946260762669,1.2440946260762669
copy,1,10,-2.8973829693221509,-0.8488711055035767,-0.8488711055035767
copy,2,10,0.76364900537874436,0.28558692875432229,0.28558692875432229
copy,3,10,0.43085993014401547,2.3184588330841294,2.3184588330841294
copy,4,10,1.4059094102321141,0.33950938094745692,0.33950938094745692
copy,5,10,0.49150178040928671,1.3695030356012612,1.3695030356012612
copy,6,10,1.4461436235935285,0.52592673691647973,0.52592673691647973
copy,7,10,1.632562608609847,0.31037633757984867,0.31037633757984867
copy,0,11,-2.1891812151366858,-1.008269767947898,-1.008269767947898
copy,1,11,1.5524654907412117,-0.26656718859453693,-0.26656718859453693
copy,2,11,-0.19676020483662976,-0.1609437461763269,-0.1609437461763269
copy,3,11,1.1109273728523374,0.40793820582063017,0.40793820582063017
copy,4,11,-1.0166444373936256,-0.7392843131959953,-0.7392843131959953
copy,5,11,-0.0066928961933594155,0.31174365893342537,0.31174365893342537
copy,6,11,-1.0489826669470839,-0.54305177332916954,-0.54305177332916954
copy,7,11,1.6542208677553747,0.94876410480586459,0.94876410480586459
same_order,0,0,0.51308061339669686,0.68186074837043409,-0.38292982326153274
same_order,1,0,1.158201232810669,1.7440427461652086,0.55620583560224313
same_order,2,0,-1.3896150351938594,0.7431301893123774,-0.29688402846659956
same_order,3,0,0.64067630099132911,0.42410861111764153,-0.85776569825678961
same_order,4,0,-0.69675314841337099,0.17787345463376378,-1.7266829105437258
same_order,5,0,0.61944235097297917,3.5309048071173885,1.2615541573977374
same_order,6,0,-0.89495598957804179,1.6192576894261195,0.48196782782744613
same_order,7,0,-1.0782579317179974,0.37097497059326701,-0.99162068335872289
same_order,0,1,1.2503367905131069,1.4135503843278028,0.34610454260134688
same_order,1,1,0.23113789350369995,4.7702633478624517,1.5624015125717607
same_order,2,1,-1.2513180924849341,0.43526252586389352,-0.83180592219791938
same_order,3,1,0.70905011418970076,11.949261811479538,2.4806695033715367
same_order,4,1,-1.1990005921247839,0.47640874975831987,-0.74147907525840173
same_order,5,1,-0.1293900238075244,1.8707221523817281,0.62632453406330157
same_order,6,1,-0.9493994533315977,1.0894183897996774,0.085643966492921816
same_order,7,1,-0.063163962459027556,3.0205294867820891,1.1054321427678762
same_order,0,2,-1.81793851639297,1.3017681583545153,0.26372346215084203
same_order,1,2,0.8548990871884371,1.0628268634180469,0.060932210664296341
same_order,2,2,-0.10705174102877574,1.5490135860968077,0.43761833227864838
same_order,3,2,1.3545294638594894,1.2352592683695502,0.21128088194937222
same_order,4,2,2.0556150717298061,3.2095370432196981,1.1661267034447007
same_order,5,2,-1.4250869796211911,0.45603212019802836,-0.78519203291769912
same_order,6,2,-0.16362310757561627,0.55321087803791824,-0.59201601554191785
same_order,7,2,-0.20269590360405054,0.29147303273629899,-1.2328077895249567
same_order,0,3,0.48088682877223321,0.76807820573387675,-0.2638637206361743
same_order,1,3,1.3638358494870453,0.36712244791437237,-1.0020598410316148
same_order,2,3,-0.29775905479528719,0.70744693359844668,-0.34609265779236165
same_order,3,3,4.0556556801890906,8.4001976802376248,2.1282552389339848
same_order,4,3,-0.13601038410865973,0.27358370874304289,-1.2961476390743858
same_order,5,3,-1.7254270261836606,1.7669163446003877,0.56923584903652302
same_order,6,3,3.0481093207677468,4.7528658101457246,1.5587477645688428
same_order,7,3,0.74918536929220325,1.4940723590553651,0.40150551864043477
same_order,0,4,-0.09880752987312913,0.85000039172081832,-0.16251846864985953
same_order,1,4,-2.184710110359779,0.38685001455725376,-0.94971822035644615
same_order,2,4,1.7186071809540446,2.2716320745993408,0.82049854874860073
same_order,3,4,-1.3573331284782091,0.27455133457260222,-1.2926170243235144
same_order,4,4,-1.689548254152939,0.43049319721424806,-0.84282375729670123
same_order,5,4,-1.26900221718688,0.087375402357097898,-2.4375414734934391
same_order,6,4,1.8032509691477949,3.660111439376847,1.2974935948669177
same_order,7,4,1.4560974403414615,2.0767808939020611,0.7308190477078027
same_order,0,5,-0.93148234164614541,0.89919779022573987,-0.10625225733489835
same_order,1,5,-0.67918625126335697,0.64611177494435423,-0.43678276393719628
same_order,2,5,-0.78534831403888883,0.29023177124914584,-1.23707546399688
same_order,3,5,-0.93612183594251996,0.88195661571540662,-0.12561241271642629
same_order,4,5,-0.046951199599158389,2.7958034504625267,1.0281195252134137
same_order,5,5,2.0132726470983959,8.0298772541607306,2.083169241934085
same_order,6,5,-0.23526143045284953,1.0452575380063287,0.04426330290643693
same_order,7,5,1.004905356051486,0.84190829175643866,-0.17208418782558751
same_order,0,6,-1.6897842989911358,0.25534971352265862,-1.3651212477898043
same_order,1,6,1.0220200757341784,0.52813344290130271,-0.63840629443980279
same_order,2,6,-0.24082680589279637,2.1737529184064872,0.7764551292531312
same_order,3,6,-1.021573878438353,0.12157991826250482,-2.1071834689557098
same_order,4,6,-1.1265957037527632,1.2331426393559246,0.20956590228922944
same_order,5,6,1.2685977031390898,3.6072651691805793,1.2829499143788679
same_order,6,6,-0.87160386953271141,0.4861582622354817,-0.72122106563180233
same_order,7,6,-2.8042352141521536,0.095640596776825113,-2.3471578965868769
same_order,0,7,0.59174489924220197,3.3193339172901957,1.1997641354778135
same_order,1,7,-1.3079344289918884,2.9584872731216589,1.0846780813243311
same_order,2,7,-1.6656399057359315,0.35229842225944752,-1.043276672045633
same_order,3,7,0.8170726478075252,2.3009213238416932,0.83330961830946904
same_order,4,7,-1.7655055700224023,0.79939542726717183,-0.22389955292746422
same_order,5,7,0.75702064331199836,2.9183178068177789,1.0710073567189833
same_order,6,7,-1.5245214133441247,0.51183143589364666,-0.66975993491988162
same_order,7,7,-0.65163692934204631,1.168582900562769,0.15579181861865887
same_order,0,8,-1.3940855992087517,0.38907519493950221,-0.9439826508579634
same_order,1,8,-0.51110456930211956,0.71777377775804596,-0.33160083234014504
same_order,2,8,-1.4970162787483039,1.0973215183677583,0.092872227109185107
same_order,3,8,0.83013568048255648,0.29141327475948059,-1.2330128311471713
same_order,4,8,-0.51607282066729887,0.37086994041636356,-0.99190384275240873
same_order,5,8,1.1660615544665851,2.6709906990376155,0.98244945191944555
same_order,6,8,2.1498423163472764,1.5535695646139374,0.44055522812998477
same_order,7,8,1.5755289078047765,1.1048490820357586,0.099708748298976538
same_order,0,9,-1.2210990664022754,0.30935239139165194,-1.1732742266595475
same_order,1,9,0.6967072323357183,8.5479328168039519,2.1456894779037818
same_order,2,9,-0.99231358167461625,0.4274965610996439,-0.84980903484903625
same_order,3,9,-0.56385406728581033,0.60525480144547317,-0.50210575020002313
same_order,4,9,-0.598393996519063,9.0881463537337925,2.2069709659131442
same_order,5,9,-0.34336772878809901,0.38552114089972495,-0.95315924727561285
same_order,6,9,0.6746920430997434,3.4646554469084281,1.2426131895759029
same_order,7,9,-2.0378439696590398,0.35929275728026033,-1.0236177429276223
same_order,0,10,0.20225214242061784,3.4697919176869121,1.2440946260762669
same_order,1,10,-2.8973829693221509,0.42789771076499583,-0.8488711055035767
same_order,2,10,0.76364900537874436,1.3305427327787784,0.28558692875432229
same_order,3,10,0.43085993014401547,10.160003971888118,2.3184588330841294
same_order,4,10,1.4059094102321141,1.4042584655705874,0.33950938094745692
same_order,5,10,0.49150178040928671,3.9333954521616707,1.3695030356012612
same_order,6,10,1.4461436235935285,1.6920261851419189,0.52592673691647973
same_order,7,10,1.632562608609847,1.3639383188029799,0.31037633757984867
same_order,0,11,-2.1891812151366858,0.36484970842024572,-1.008269767947898
same_order,1,11,1.5524654907412117,0.76600453522903444,-0.26656718859453693
same_order,2,11,-0.19676020483662976,0.85133996088819253,-0.1609437461763269
same_order,3,11,1.1109273728523374,1.5037142375117571,0.40793820582063017
same_order,4,11,-1.0166444373936256,0.47745550187422225,-0.7392843131959953
same_order,5,11,-0.0066928961933594155,1.3658045363600473,0.31174365893342537
same_order,6,11,-1.0489826669470839,0.5809725477019958,-0.54305177332916954
same_order,7,11,1.6542208677553747,2.5825159671154028,0.94876410480586459
reverse_order,0,0,0.51308061339669686,0.38292982326153274,-0.38292982326153274
reverse_order,1,0,1.158201232810669,-0.55620583560224313,0.55620583560224313
reverse_order,2,0,-1.3896150351938594,0.29688402846659956,-0.29688402846659956
reverse_order,3,0,0.64067630099132911,0.85776569825678961,-0.85776569825678961
reverse_order,4,0,-0.69675314841337099,1.7266829105437258,-1.7266829105437258
reverse_order,5,0,0.61944235097297917,-1.2615541573977374,1.2615541573977374
reverse_order,6,0,-0.89495598957804179,-0.48196782782744613,0.48196782782744613
reverse_order,7,0,-1.0782579317179974,0.99162068335872289,-0.99162068335872289
reverse_order,0,1,1.2503367905131069,-0.34610454260134688,0.34610454260134688
reverse_order,1,1,0.23113789350369995,-1.5624015125717607,1.5624015125717607
reverse_order,2,1,-1.2513180924849341,0.83180592219791938,-0.83180592219791938
reverse_order,3,1,0.70905011418970076,-2.4806695033715367,2.4806695033715367
reverse_order,4,1,-1.1990005921247839,0.74147907525840173,-0.74147907525840173
reverse_order,5,1,-0.1293900238075244,-0.62632453406330157,0.62632453406330157
reverse_order,6,1,-0.9493994533315977,-0.085643966492921816,0.085643966492921816
reverse_order,7,1,-0.063163962459027556,-1.1054321427678762,1.1054321427678762
reverse_order,0,2,-1.81793851639297,-0.26372346215084203,0.26372346215084203
reverse_order,1,2,0.8548990871884371,-0.060932210664296341,0.060932210664296341
reverse_order,2,2,-0.10705174102877574,-0.43761833227864838,0.43761833227864838
reverse_order,3,2,1.3545294638594894,-0.21128088194937222,0.21128088194937222
reverse_order,4,2,2.0556150717298061,-1.1661267034447007,1.1661267034447007
reverse_order,5,2,-1.4250869796211911,0.78519203291769912,-0.78519203291769912
reverse_order,6,2,-0.16362310757561627,0.59201601554191785,-0.59201601554191785
reverse_order,7,2,-0.20269590360405054,1.2328077895249567,-1.2328077895249567
reverse_order,0,3,0.48088682877223321,0.2638637206361743,-0.2638637206361743
reverse_order,1,3,1.3638358494870453,1.0020598410316148,-1.0020598410316148
reverse_order,2,3,-0.29775905479528719,0.34609265779236165,-0.34609265779236165
reverse_order,3,3,4.0556556801890906,-2.1282552389339848,2.1282552389339848
reverse_order,4,3,-0.13601038410865973,1.2961476390743858,-1.2961476390743858
reverse_order,5,3,-1.7254270261836606,-0.56923584903652302,0.56923584903652302
reverse_order,6,3,3.0481093207677468,-1.5587477645688428,1.5587477645688428
reverse_order,7,3,0.74918536929220325,-0.40150551864043477,0.40150551864043477
reverse_order,0,4,-0.09880752987312913,0.16251846864985953,-0.16251846864985953
reverse_order,1,4,-2.184710110359779,0.94971822035644615,-0.94971822035644615
reverse_order,2,4,1.7186071809540446,-0.82049854874860073,0.82049854874860073
reverse_order,3,4,-1.3573331284782091,1.2926170243235144,-1.2926170243235144
reverse_order,4,4,-1.689548254152939,0.84282375729670123,-0.84282375729670123
reverse_order,5,4,-1.26900221718688,2.4375414734934391,-2.4375414734934391
reverse_order,6,4,1.8032509691477949,-1.2974935948669177,1.2974935948669177
reverse_order,7,4,1.4560974403414615,-0.7308190477078027,0.7308190477078027
reverse_order,0,5,-0.93148234164614541,0.10625225733489835,-0.10625225733489835
reverse_order,1,5,-0.67918625126335697,0.43678276393719628,-0.43678276393719628
reverse_order,2,5,-0.78534831403888883,1.23707546399688,-1.23707546399688
reverse_order,3,5,-0.93612183594251996,0.12561241271642629,-0.12561241271642629
reverse_order,4,5,-0.046951199599158389,-1.0281195252134137,1.0281195252134137
reverse_order,5,5,2.0132726470983959,-2.083169241934085,2.083169241934085
reverse_order,6,5,-0.23526143045284953,-0.04426330290643693,0.04426330290643693
reverse_order,7,5,1.004905356051486,0.17208418782558751,-0.17208418782558751
reverse_order,0,6,-1.6897842989911358,1.3651212477898043,-1.3651212477898043
reverse_order,1,6,1.0220200757341784,0.63840629443980279,-0.63840629443980279
reverse_order,2,6,-0.24082680589279637,-0.7764551292531312,0.7764551292531312
reverse_order,3,6,-1.021573878438353,2.1071834689557098,-2.1071834689557098
reverse_order,4,6,-1.1265957037527632,-0.20956590228922944,0.20956590228922944
reverse_order,5,6,1.2685977031390898,-1.2829499143788679,1.2829499143788679
reverse_order,6,6,-0.87160386953271141,0.72122106563180233,-0.72122106563180233
reverse_order,7,6,-2.8042352141521536,2.3471578965868769,-2.3471578965868769
reverse_order,0,7,0.59174489924220197,-1.1997641354778135,1.1997641354778135
reverse_order,1,7,-1.3079344289918884,-1.0846780813243311,1.0846780813243311
reverse_order,2,7,-1.6656399057359315,1.043276672045633,-1.043276672045633
reverse_order,3,7,0.8170726478075252,-0.83330961830946904,0.83330961830946904
reverse_order,4,7,-1.7655055700224023,0.22389955292746422,-0.22389955292746422
reverse_order,5,7,0.75702064331199836,-1.0710073567189833,1.0710073567189833
reverse_order,6,7,-1.5245214133441247,0.66975993491988162,-0.66975993491988162
reverse_order,7,7,-0.65163692934204631,-0.15579181861865887,0.15579181861865887
reverse_order,0,8,-1.3940855992087517,0.9439826508579634,-0.9439826508579634
reverse_order,1,8,-0.51110456930211956,0.33160083234014504,-0.33160083234014504
reverse_order,2,8,-1.4970162787483039,-0.092872227109185107,0.092872227109185107
reverse_order,3,8,0.83013568048255648,1.2330128311471713,-1.2330128311471713
reverse_order,4,8,-0.51607282066729887,0.99190384275240873,-0.99190384275240873
reverse_order,5,8,1.1660615544665851,-0.98244945191944555,0.98244945191944555
reverse_order,6,8,2.1498423163472764,-0.44055522812998477,0.44055522812998477
reverse_order,7,8,1.5755289078047765,-0.099708748298976538,0.099708748298976538
reverse_order,0,9,-1.2210990664022754,1.1732742266595475,-1.1732742266595475
reverse_order,1,9,0.6967072323357183,-2.1456894779037818,2.1456894779037818
reverse_order,2,9,-0.99231358167461625,0.84980903484903625,-0.84980903484903625
reverse_order,3,9,-0.56385406728581033,0.50210575020002313,-0.50210575020002313
reverse_order,4,9,-0.598393996519063,-2.2069709659131442,2.2069709659131442
reverse_order,5,9,-0.34336772878809901,0.95315924727561285,-0.95315924727561285
reverse_order,6,9,0.6746920430997434,-1.2426131895759029,1.2426131895759029
reverse_order,7,9,-2.0378439696590398,1.0236177429276223,-1.0236177429276223
reverse_order,0,10,0.20225214242061784,-1.2440946260762669,1.2440946260762669
reverse_order,1,10,-2.8973829693221509,0.8488711055035767,-0.8488711055035767
reverse_order,2,10,0.76364900537874436,-0.28558692875432229,0.28558692875432229
reverse_order,3,10,0.43085993014401547,-2.3184588330841294,2.3184588330841294
reverse_order,4,10,1.4059094102321141,-0.33950938094745692,0.33950938094745692
reverse_order,5,10,0.49150178040928671,-1.3695030356012612,1.3695030356012612
reverse_order,6,10,1.4461436235935285,-0.52592673691647973,0.52592673691647973
reverse_order,7,10,1.632562608609847,-0.31037633757984867,0.31037633757984867
reverse_order,0,11,-2.1891812151366858,1.008269767947898,-1.008269767947898
reverse_order,1,11,1.5524654907412117,0.26656718859453693,-0.26656718859453693
reverse_order,2,11,-0.19676020483662976,0.1609437461763269,-0.1609437461763269
reverse_order,3,11,1.1109273728523374,-0.40793820582063017,0.40793820582063017
reverse_order,4,11,-1.0166444373936256,0.7392843131959953,-0.7392843131959953
reverse_order,5,11,-0.0066928961933594155,-0.31174365893342537,0.31174365893342537
reverse_order,6,11,-1.0489826669470839,0.54305177332916954,-0.54305177332916954
reverse_order,7,11,1.6542208677553747,-0.94876410480586459,0.94876410480586459
constant,0,0,0.51308061339669686,1,-0.38292982326153274
constant,1,0,1.158201232810669,1,0.55620583560224313
constant,2,0,-1.3896150351938594,1,-0.29688402846659956
constant,3,0,0.64067630099132911,1,-0.85776569825678961
constant,4,0,-0.69675314841337099,1,-1.7266829105437258
constant,5,0,0.61944235097297917,1,1.2615541573977374
constant,6,0,-0.89495598957804179,1,0.48196782782744613
constant,7,0,-1.0782579317179974,1,-0.99162068335872289
constant,0,1,1.2503367905131069,1,0.34610454260134688
constant,1,1,0.23113789350369995,1,1.5624015125717607
constant,2,1,-1.2513180924849341,1,-0.83180592219791938
constant,3,1,0.70905011418970076,1,2.4806695033715367
constant,4,1,-1.1990005921247839,1,-0.74147907525840173
constant,5,1,-0.1293900238075244,1,0.62632453406330157
constant,6,1,-0.9493994533315977,1,0.085643966492921816
constant,7,1,-0.063163962459027556,1,1.1054321427678762
constant,0,2,-1.81793851639297,1,0.26372346215084203
constant,1,2,0.8548990871884371,1,0.060932210664296341
constant,2,2,-0.10705174102877574,1,0.43761833227864838
constant,3,2,1.3545294638594894,1,0.21128088194937222
constant,4,2,2.0556150717298061,1,1.1661267034447007
constant,5,2,-1.4250869796211911,1,-0.78519203291769912
constant,6,2,-0.16362310757561627,1,-0.59201601554191785
constant,7,2,-0.20269590360405054,1,-1.2328077895249567
