setting,regime,metric,seed,N,T,reject,statistic,product_mean,cluster_se
deployed,smooth,typeI,70707,120,100,0,-0.8545115059114834,-0.003472861557104579,0.004064148385456992
deployed,smooth,typeI,70708,120,100,0,0.8114876910490234,0.0037349759935895754,0.00460262803094562
deployed,smooth,typeI,70709,120,100,0,0.2811556831229903,0.0011089868198718962,0.003944386994257466
deployed,smooth,typeI,70710,120,100,0,-0.5318073535224788,-0.0024389110852356993,0.0045860800327060715
deployed,smooth,typeI,70711,120,100,0,-0.2169319095908318,-0.0009222016886575644,0.004251111283706412
deployed,smooth,typeI,70712,120,100,0,0.26503854756810247,0.0011233662758128422,0.004238501478824281
deployed,smooth,typeI,70713,120,100,1,2.475546076418264,0.01045330560186218,0.004222626151635403
deployed,smooth,typeI,70714,120,100,0,-0.6245972945859662,-0.002795038411319587,0.004474944793304564
deployed,smooth,typeI,70715,120,100,0,-0.26708217350708785,-0.0010468414810571207,0.003919548307215417
deployed,smooth,typeI,70716,120,100,0,-0.24397643364250743,-0.0009408666579366087,0.003856383355923781
deployed,smooth,typeI,70717,120,100,0,0.8839312680897862,0.0038880304183710307,0.004398566448241199
deployed,smooth,typeI,70718,120,100,0,0.21254997520489013,0.0008869512604542778,0.004172906910947838
deployed,smooth,typeI,70719,120,100,0,0.721201112512749,0.003204258163293242,0.004442946783774683
deployed,smooth,typeI,70720,120,100,0,0.006506045744983375,2.942134283689472e-05,0.0045221543146358395
deployed,smooth,typeI,70721,120,100,1,1.8423856137704386,0.00835082878626083,0.0045326172348745565
deployed,smooth,typeI,70722,120,100,0,0.9238996418323231,0.0036274447110321,0.003926232403162288
deployed,smooth,typeI,70723,120,100,0,1.1091206073362796,0.004411955452320445,0.003977886104664867
deployed,smooth,typeI,70724,120,100,0,0.002476166811920022,1.0083883961154191e-05,0.004072376672125387
deployed,smooth,typeI,70725,120,100,0,1.3883587514414566,0.006204457807924825,0.004468915402076788
deployed,smooth,typeI,70726,120,100,0,0.7006897813576924,0.0029651279642893156,0.004231727139710716
deployed,smooth,typeI,70727,120,100,0,1.357799845408303,0.00602607151402314,0.00443811474452705
deployed,smooth,typeI,70728,120,100,0,-1.0668568047558318,-0.004120822503281557,0.003862582574260916
deployed,smooth,typeI,70729,120,100,0,1.2128781783133034,0.005168644424710357,0.004261470374459341
deployed,smooth,typeI,70730,120,100,1,1.6540607144054014,0.006357625196065747,0.0038436468145917925
deployed,smooth,typeI,70731,120,100,0,-0.36141152206687255,-0.001542086103817604,0.004266842670091379
deployed,smooth,typeI,70732,120,100,1,2.3580957997242877,0.009716995917723266,0.00412069599498858
deployed,smooth,typeI,70733,120,100,0,0.5261011945913733,0.0019627793255005176,0.0037308018793324018
deployed,smooth,typeI,70734,120,100,0,0.20091860488709848,0.0010420205602945716,0.005186282081144803
deployed,smooth,typeI,70735,120,100,0,-0.25713891055956684,-0.0012509090594378751,0.004864721005139744
