suite,setting,regime,signal_delta,legacy_metric,overlap,N,T,rejections,replicates,rate,wilson95_low,wilson95_high
adaptive_beta,fixed_beta1,smooth,0.0,typeI,0.8,120,100,3,50,0.06,0.02061497034897397,0.16217091688838173
adaptive_beta,adaptive_heuristic,smooth,0.0,typeI,0.8,120,100,4,50,0.08,0.03154951408859298,0.18838246918342838
adaptive_beta,fixed_beta1,smooth,0.15,power,0.8,120,100,50,50,1.0,0.9286524008666414,1.0
adaptive_beta,adaptive_heuristic,smooth,0.15,power,0.8,120,100,50,50,1.0,0.9286524008666414,1.0
adaptive_beta,fixed_beta1,nonlinear,0.0,typeI,0.8,120,100,7,50,0.14,0.06950833427016294,0.2618619371058554
adaptive_beta,adaptive_heuristic,nonlinear,0.0,typeI,0.8,120,100,48,50,0.96,0.8653990931249297,0.9889611156723802
adaptive_beta,fixed_beta1,nonlinear,0.15,power,0.8,120,100,50,50,1.0,0.9286524008666414,1.0
adaptive_beta,adaptive_heuristic,nonlinear,0.15,power,0.8,120,100,50,50,1.0,0.9286524008666414,1.0
adaptive_beta,fixed_beta1,large_n,0.0,typeI,0.8,160,160,5,50,0.1,0.04347576493189041,0.21360231437479654
adaptive_beta,adaptive_heuristic,large_n,0.0,typeI,0.8,160,160,8,50,0.16,0.08337420678033404,0.2851421606303499
adaptive_beta,fixed_beta1,large_n,0.15,power,0.8,160,160,50,50,1.0,0.9286524008666414,1.0
adaptive_beta,adaptive_heuristic,large_n,0.15,power,0.8,160,160,50,50,1.0,0.9286524008666414,1.0
adaptive_beta,fixed_beta1,heavy_tail,0.0,typeI,0.8,120,100,5,50,0.1,0.04347576493189041,0.21360231437479654
adaptive_beta,adaptive_heuristic,heavy_tail,0.0,typeI,0.8,120,100,4,50,0.08,0.03154951408859298,0.18838246918342838
adaptive_beta,fixed_beta1,heavy_tail,0.15,power,0.8,120,100,48,50,0.96,0.8653990931249297,0.9889611156723802
adaptive_beta,adaptive_heuristic,heavy_tail,0.15,power,0.8,120,100,47,50,0.94,0.8378290831116182,0.979385029651026
ablation,deployed,smooth,0.0,typeI,0.8,120,100,17,150,0.11333333333333333,0.0719742391403741,0.17400274983760514
ablation,deployed,smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,deployed,nonlinear,0.0,typeI,0.8,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
ablation,deployed,nonlinear,0.15,power,0.8,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
ablation,deployed,large_n,0.0,typeI,0.8,160,160,9,80,0.1125,0.060326869466304764,0.20018218092372875
ablation,deployed,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,deployed,heavy_tail,0.0,typeI,0.8,120,100,14,150,0.09333333333333334,0.05641186747708652,0.1505639312756158
ablation,deployed,heavy_tail,0.15,power,0.8,120,100,140,150,0.9333333333333333,0.8816376448839411,0.9633881433303926
ablation,"ladder: short {8,16,32}",smooth,0.0,typeI,0.8,120,100,19,150,0.12666666666666668,0.08261129487936036,0.18936648758213687
ablation,"ladder: short {8,16,32}",smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,"ladder: short {8,16,32}",nonlinear,0.0,typeI,0.8,120,100,24,150,0.16,0.10994008412845499,0.22703968204183714
ablation,"ladder: short {8,16,32}",nonlinear,0.15,power,0.8,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
ablation,"ladder: short {8,16,32}",large_n,0.0,typeI,0.8,160,160,8,80,0.1,0.05154761556738083,0.18510688806104086
ablation,"ladder: short {8,16,32}",large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,"ladder: short {8,16,32}",heavy_tail,0.0,typeI,0.8,120,100,13,150,0.08666666666666667,0.051347178274724174,0.14262822373621914
ablation,"ladder: short {8,16,32}",heavy_tail,0.15,power,0.8,120,100,140,150,0.9333333333333333,0.8816376448839411,0.9633881433303926
