setting,regime,metric,seed,N,T,reject,overlap
ours,smooth,typeI,80808,120,100,0,0.5
ours,smooth,typeI,80809,120,100,0,0.5
ours,smooth,typeI,80810,120,100,0,0.5
ours,smooth,typeI,80811,120,100,0,0.5
ours,smooth,typeI,80812,120,100,0,0.5
ours,smooth,typeI,80813,120,100,1,0.5
ours,smooth,typeI,80814,120,100,0,0.5
ours,smooth,typeI,80815,120,100,1,0.5
ours,smooth,typeI,80816,120,100,0,0.5
ours,smooth,typeI,80817,120,100,0,0.5
ours,smooth,typeI,80818,120,100,0,0.5
ours,smooth,typeI,80819,120,100,0,0.5
ours,smooth,typeI,80820,120,100,0,0.5
ours,smooth,typeI,80821,120,100,0,0.5
ours,smooth,typeI,80822,120,100,0,0.5
ours,smooth,typeI,80823,120,100,1,0.5
ours,smooth,typeI,80824,120,100,0,0.5
ours,smooth,typeI,80825,120,100,0,0.5
ours,smooth,typeI,80826,120,100,0,0.5
ours,smooth,typeI,80827,120,100,0,0.5
ours,smooth,typeI,80828,120,100,0,0.5
ours,smooth,typeI,80829,120,100,0,0.5
ours,smooth,typeI,80830,120,100,0,0.5
ours,smooth,typeI,80831,120,100,0,0.5
ours,smooth,typeI,80832,120,100,0,0.5
ours,smooth,typeI,80833,120,100,0,0.5
ours,smooth,typeI,80834,120,100,0,0.5
ours,smooth,typeI,80835,120,100,0,0.5
ours,smooth,typeI,80836,120,100,0,0.5
ours,smooth,typeI,80837,120,100,0,0.5
ours,smooth,typeI,80838,120,100,0,0.5
ours,smooth,typeI,80839,120,100,0,0.5
ours,smooth,typeI,80840,120,100,0,0.5
ours,smooth,typeI,80841,120,100,0,0.5
ours,smooth,typeI,80842,120,100,0,0.5
ours,smooth,typeI,80843,120,100,0,0.5
ours,smooth,typeI,80844,120,100,1,0.5
ours,smooth,typeI,80845,120,100,0,0.5
ours,smooth,typeI,80846,120,100,0,0.5
ours,smooth,typeI,80847,120,100,0,0.5
ours,smooth,typeI,80848,120,100,0,0.5
ours,smooth,typeI,80849,120,100,1,0.5
ours,smooth,typeI,80850,120,100,0,0.5
ours,smooth,typeI,80851,120,100,0,0.5
ours,smooth,typeI,80852,120,100,0,0.5
