suite,setting,regime,metric,overlap,historical_value,replay_exact_rate,replay_rounded_rate,decimals,matches
adaptive_beta,fixed_beta1,smooth,typeI,0.8,0.06,0.06,0.06,2,True
adaptive_beta,adaptive_heuristic,smooth,typeI,0.8,0.08,0.08,0.08,2,True
adaptive_beta,fixed_beta1,smooth,power,0.8,1.0,1.0,1.0,2,True
adaptive_beta,adaptive_heuristic,smooth,power,0.8,1.0,1.0,1.0,2,True
adaptive_beta,fixed_beta1,nonlinear,typeI,0.8,0.14,0.14,0.14,2,True
adaptive_beta,adaptive_heuristic,nonlinear,typeI,0.8,0.96,0.96,0.96,2,True
adaptive_beta,fixed_beta1,nonlinear,power,0.8,1.0,1.0,1.0,2,True
adaptive_beta,adaptive_heuristic,nonlinear,power,0.8,1.0,1.0,1.0,2,True
adaptive_beta,fixed_beta1,large_n,typeI,0.8,0.1,0.1,0.1,2,True
adaptive_beta,adaptive_heuristic,large_n,typeI,0.8,0.16,0.16,0.16,2,True
adaptive_beta,fixed_beta1,large_n,power,0.8,1.0,1.0,1.0,2,True
adaptive_beta,adaptive_heuristic,large_n,power,0.8,1.0,1.0,1.0,2,True
adaptive_beta,fixed_beta1,heavy_tail,typeI,0.8,0.1,0.1,0.1,2,True
adaptive_beta,adaptive_heuristic,heavy_tail,typeI,0.8,0.08,0.08,0.08,2,True
adaptive_beta,fixed_beta1,heavy_tail,power,0.8,0.96,0.96,0.96,2,True
adaptive_beta,adaptive_heuristic,heavy_tail,power,0.8,0.94,0.94,0.94,2,True
ablation,deployed,smooth,typeI,0.8,0.113,0.11333333333333333,0.113,3,True
ablation,deployed,smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,deployed,nonlinear,typeI,0.8,0.147,0.14666666666666667,0.147,3,True
ablation,deployed,nonlinear,power,0.8,0.99,0.9866666666666667,0.99,2,True
ablation,deployed,large_n,typeI,0.8,0.113,0.1125,0.113,3,True
ablation,deployed,large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,deployed,heavy_tail,typeI,0.8,0.093,0.09333333333333334,0.093,3,True
ablation,deployed,heavy_tail,power,0.8,0.93,0.9333333333333333,0.93,2,True
ablation,"ladder: short {8,16,32}",smooth,typeI,0.8,0.127,0.12666666666666668,0.127,3,True
ablation,"ladder: short {8,16,32}",smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,"ladder: short {8,16,32}",nonlinear,typeI,0.8,0.16,0.16,0.16,3,True
ablation,"ladder: short {8,16,32}",nonlinear,power,0.8,0.99,0.9866666666666667,0.99,2,True
ablation,"ladder: short {8,16,32}",large_n,typeI,0.8,0.1,0.1,0.1,3,True
ablation,"ladder: short {8,16,32}",large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,"ladder: short {8,16,32}",heavy_tail,typeI,0.8,0.087,0.08666666666666667,0.087,3,True
ablation,"ladder: short {8,16,32}",heavy_tail,power,0.8,0.93,0.9333333333333333,0.93,2,True
ablation,ladder: long {8..40},smooth,typeI,0.8,0.113,0.11333333333333333,0.113,3,True
ablation,ladder: long {8..40},smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,ladder: long {8..40},nonlinear,typeI,0.8,0.22,0.22,0.22,3,True
ablation,ladder: long {8..40},nonlinear,power,0.8,0.99,0.9866666666666667,0.99,2,True
ablation,ladder: long {8..40},large_n,typeI,0.8,0.113,0.1125,0.113,3,True
ablation,ladder: long {8..40},large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,ladder: long {8..40},heavy_tail,typeI,0.8,0.093,0.09333333333333334,0.093,3,True
ablation,ladder: long {8..40},heavy_tail,power,0.8,0.96,0.96,0.96,2,True
ablation,beta=0.5,smooth,typeI,0.8,0.047,0.04666666666666667,0.047,3,True
ablation,beta=0.5,smooth,power,0.8,0.96,0.96,0.96,2,True
ablation,beta=0.5,nonlinear,typeI,0.8,0.0,0.0,0.0,3,True
ablation,beta=0.5,nonlinear,power,0.8,0.0,0.0,0.0,2,True
ablation,beta=0.5,large_n,typeI,0.8,0.05,0.05,0.05,3,True
ablation,beta=0.5,large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,beta=0.5,heavy_tail,typeI,0.8,0.033,0.03333333333333333,0.033,3,True
ablation,beta=0.5,heavy_tail,power,0.8,0.85,0.8466666666666667,0.85,2,True
ablation,beta=1.5,smooth,typeI,0.8,0.147,0.14666666666666667,0.147,3,True
ablation,beta=1.5,smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,beta=1.5,nonlinear,typeI,0.8,0.833,0.8333333333333334,0.833,3,True
ablation,beta=1.5,nonlinear,power,0.8,1.0,1.0,1.0,2,True
ablation,beta=1.5,large_n,typeI,0.8,0.125,0.125,0.125,3,True
ablation,beta=1.5,large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,beta=1.5,heavy_tail,typeI,0.8,0.147,0.14666666666666667,0.147,3,True
ablation,beta=1.5,heavy_tail,power,0.8,0.96,0.96,0.96,2,True
ablation,beta=2.0,smooth,typeI,0.8,0.18,0.18,0.18,3,True
ablation,beta=2.0,smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,beta=2.0,nonlinear,typeI,0.8,0.973,0.9733333333333334,0.973,3,True
ablation,beta=2.0,nonlinear,power,0.8,1.0,1.0,1.0,2,True
ablation,beta=2.0,large_n,typeI,0.8,0.163,0.1625,0.163,3,True
ablation,beta=2.0,large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,beta=2.0,heavy_tail,typeI,0.8,0.147,0.14666666666666667,0.147,3,True
ablation,beta=2.0,heavy_tail,power,0.8,0.99,0.9866666666666667,0.99,2,True
ablation,binning: equal-width,smooth,typeI,0.8,0.113,0.11333333333333333,0.113,3,True
ablation,binning: equal-width,smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,binning: equal-width,nonlinear,typeI,0.8,0.153,0.15333333333333332,0.153,3,True
ablation,binning: equal-width,nonlinear,power,0.8,0.99,0.9866666666666667,0.99,2,True
ablation,binning: equal-width,large_n,typeI,0.8,0.113,0.1125,0.113,3,True
ablation,binning: equal-width,large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,binning: equal-width,heavy_tail,typeI,0.8,0.087,0.08666666666666667,0.087,3,True
ablation,binning: equal-width,heavy_tail,power,0.8,0.94,0.94,0.94,2,True
ablation,nuisance: light fit (4 sweeps),smooth,typeI,0.8,0.113,0.11333333333333333,0.113,3,True
ablation,nuisance: light fit (4 sweeps),smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,nuisance: light fit (4 sweeps),nonlinear,typeI,0.8,0.147,0.14666666666666667,0.147,3,True
ablation,nuisance: light fit (4 sweeps),nonlinear,power,0.8,0.99,0.9866666666666667,0.99,2,True
ablation,nuisance: light fit (4 sweeps),large_n,typeI,0.8,0.113,0.1125,0.113,3,True
ablation,nuisance: light fit (4 sweeps),large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,nuisance: light fit (4 sweeps),heavy_tail,typeI,0.8,0.093,0.09333333333333334,0.093,3,True
ablation,nuisance: light fit (4 sweeps),heavy_tail,power,0.8,0.93,0.9333333333333333,0.93,2,True
ablation,nuisance: heavy fit (24 sweeps),smooth,typeI,0.8,0.113,0.11333333333333333,0.113,3,True
ablation,nuisance: heavy fit (24 sweeps),smooth,power,0.8,1.0,1.0,1.0,2,True
ablation,nuisance: heavy fit (24 sweeps),nonlinear,typeI,0.8,0.147,0.14666666666666667,0.147,3,True
ablation,nuisance: heavy fit (24 sweeps),nonlinear,power,0.8,0.99,0.9866666666666667,0.99,2,True
ablation,nuisance: heavy fit (24 sweeps),large_n,typeI,0.8,0.113,0.1125,0.113,3,True
ablation,nuisance: heavy fit (24 sweeps),large_n,power,0.8,1.0,1.0,1.0,2,True
ablation,nuisance: heavy fit (24 sweeps),heavy_tail,typeI,0.8,0.093,0.09333333333333334,0.093,3,True
ablation,nuisance: heavy fit (24 sweeps),heavy_tail,power,0.8,0.93,0.9333333333333333,0.93,2,True
generalization,ours,smooth,typeI,0.5,0.093,0.09333333333333334,0.093,3,True
generalization,ours,smooth,power,0.5,0.987,0.9866666666666667,0.987,3,True
generalization,ours,nonlinear,typeI,0.5,0.093,0.09333333333333334,0.093,3,True
generalization,ours,nonlinear,power,0.5,0.967,0.9666666666666667,0.967,3,True
generalization,ours,large_n,typeI,0.5,0.1,0.1,0.1,3,True
generalization,ours,large_n,power,0.5,1.0,1.0,1.0,3,True
generalization,ours,heavy_tail,typeI,0.5,0.1,0.1,0.1,3,True
generalization,ours,heavy_tail,power,0.5,0.953,0.9533333333333334,0.953,3,True
generalization,ours,smooth,typeI,0.65,0.12,0.12,0.12,3,True
generalization,ours,smooth,power,0.65,0.987,0.9866666666666667,0.987,3,True
generalization,ours,nonlinear,typeI,0.65,0.107,0.10666666666666667,0.107,3,True
generalization,ours,nonlinear,power,0.65,0.967,0.9666666666666667,0.967,3,True
generalization,ours,large_n,typeI,0.65,0.1,0.1,0.1,3,True
generalization,ours,large_n,power,0.65,1.0,1.0,1.0,3,True
generalization,ours,heavy_tail,typeI,0.65,0.1,0.1,0.1,3,True
generalization,ours,heavy_tail,power,0.65,0.96,0.96,0.96,3,True
generalization,ours,smooth,typeI,0.8,0.14,0.14,0.14,3,True
generalization,ours,smooth,power,0.8,0.993,0.9933333333333333,0.993,3,True
generalization,ours,nonlinear,typeI,0.8,0.107,0.10666666666666667,0.107,3,True
generalization,ours,nonlinear,power,0.8,0.967,0.9666666666666667,0.967,3,True
generalization,ours,large_n,typeI,0.8,0.113,0.1125,0.113,3,True
generalization,ours,large_n,power,0.8,1.0,1.0,1.0,3,True
generalization,ours,heavy_tail,typeI,0.8,0.113,0.11333333333333333,0.113,3,True
generalization,ours,heavy_tail,power,0.8,0.967,0.9666666666666667,0.967,3,True
generalization,ours,smooth,typeI,0.9,0.14,0.14,0.14,3,True
generalization,ours,smooth,power,0.9,0.993,0.9933333333333333,0.993,3,True
generalization,ours,nonlinear,typeI,0.9,0.127,0.12666666666666668,0.127,3,True
generalization,ours,nonlinear,power,0.9,0.973,0.9733333333333334,0.973,3,True
generalization,ours,large_n,typeI,0.9,0.113,0.1125,0.113,3,True
generalization,ours,large_n,power,0.9,1.0,1.0,1.0,3,True
generalization,ours,heavy_tail,typeI,0.9,0.127,0.12666666666666668,0.127,3,True
generalization,ours,heavy_tail,power,0.9,0.973,0.9733333333333334,0.973,3,True
generalization,ours,smooth,typeI,0.95,0.147,0.14666666666666667,0.147,3,True
generalization,ours,smooth,power,0.95,0.987,0.9866666666666667,0.987,3,True
generalization,ours,nonlinear,typeI,0.95,0.14,0.14,0.14,3,True
generalization,ours,nonlinear,power,0.95,0.973,0.9733333333333334,0.973,3,True
generalization,ours,large_n,typeI,0.95,0.113,0.1125,0.113,3,True
generalization,ours,large_n,power,0.95,1.0,1.0,1.0,3,True
generalization,ours,heavy_tail,typeI,0.95,0.113,0.11333333333333333,0.113,3,True
generalization,ours,heavy_tail,power,0.95,0.96,0.96,0.96,3,True
generalization,GCM coarse,smooth,typeI,0.5,0.32,0.32,0.32,3,True
generalization,GCM coarse,smooth,power,0.5,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,typeI,0.5,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,power,0.5,1.0,1.0,1.0,3,True
generalization,GCM coarse,large_n,typeI,0.5,0.4,0.4,0.4,3,True
generalization,GCM coarse,large_n,power,0.5,1.0,1.0,1.0,3,True
generalization,GCM coarse,heavy_tail,typeI,0.5,0.273,0.2733333333333333,0.273,3,True
generalization,GCM coarse,heavy_tail,power,0.5,0.993,0.9933333333333333,0.993,3,True
generalization,GCM coarse,smooth,typeI,0.65,0.433,0.43333333333333335,0.433,3,True
generalization,GCM coarse,smooth,power,0.65,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,typeI,0.65,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,power,0.65,1.0,1.0,1.0,3,True
generalization,GCM coarse,large_n,typeI,0.65,0.5,0.5,0.5,3,True
generalization,GCM coarse,large_n,power,0.65,1.0,1.0,1.0,3,True
generalization,GCM coarse,heavy_tail,typeI,0.65,0.367,0.36666666666666664,0.367,3,True
generalization,GCM coarse,heavy_tail,power,0.65,1.0,1.0,1.0,3,True
generalization,GCM coarse,smooth,typeI,0.8,0.567,0.5666666666666667,0.567,3,True
generalization,GCM coarse,smooth,power,0.8,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,typeI,0.8,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,power,0.8,1.0,1.0,1.0,3,True
generalization,GCM coarse,large_n,typeI,0.8,0.6,0.6,0.6,3,True
generalization,GCM coarse,large_n,power,0.8,1.0,1.0,1.0,3,True
generalization,GCM coarse,heavy_tail,typeI,0.8,0.413,0.41333333333333333,0.413,3,True
generalization,GCM coarse,heavy_tail,power,0.8,1.0,1.0,1.0,3,True
generalization,GCM coarse,smooth,typeI,0.9,0.633,0.6333333333333333,0.633,3,True
generalization,GCM coarse,smooth,power,0.9,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,typeI,0.9,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,power,0.9,1.0,1.0,1.0,3,True
generalization,GCM coarse,large_n,typeI,0.9,0.688,0.6875,0.688,3,True
generalization,GCM coarse,large_n,power,0.9,1.0,1.0,1.0,3,True
generalization,GCM coarse,heavy_tail,typeI,0.9,0.46,0.46,0.46,3,True
generalization,GCM coarse,heavy_tail,power,0.9,1.0,1.0,1.0,3,True
generalization,GCM coarse,smooth,typeI,0.95,0.66,0.66,0.66,3,True
generalization,GCM coarse,smooth,power,0.95,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,typeI,0.95,1.0,1.0,1.0,3,True
generalization,GCM coarse,nonlinear,power,0.95,1.0,1.0,1.0,3,True
generalization,GCM coarse,large_n,typeI,0.95,0.725,0.725,0.725,3,True
generalization,GCM coarse,large_n,power,0.95,1.0,1.0,1.0,3,True
generalization,GCM coarse,heavy_tail,typeI,0.95,0.487,0.4866666666666667,0.487,3,True
generalization,GCM coarse,heavy_tail,power,0.95,1.0,1.0,1.0,3,True
generalization,GCM fine,smooth,typeI,0.5,0.167,0.16666666666666666,0.167,3,True
generalization,GCM fine,smooth,power,0.5,1.0,1.0,1.0,3,True
generalization,GCM fine,nonlinear,typeI,0.5,0.987,0.9866666666666667,0.987,3,True
generalization,GCM fine,nonlinear,power,0.5,1.0,1.0,1.0,3,True
generalization,GCM fine,large_n,typeI,0.5,0.163,0.1625,0.163,3,True
generalization,GCM fine,large_n,power,0.5,1.0,1.0,1.0,3,True
generalization,GCM fine,heavy_tail,typeI,0.5,0.147,0.14666666666666667,0.147,3,True
generalization,GCM fine,heavy_tail,power,0.5,0.973,0.9733333333333334,0.973,3,True
generalization,GCM fine,smooth,typeI,0.65,0.193,0.19333333333333333,0.193,3,True
generalization,GCM fine,smooth,power,0.65,1.0,1.0,1.0,3,True
generalization,GCM fine,nonlinear,typeI,0.65,1.0,1.0,1.0,3,True
generalization,GCM fine,nonlinear,power,0.65,1.0,1.0,1.0,3,True
generalization,GCM fine,large_n,typeI,0.65,0.175,0.175,0.175,3,True
generalization,GCM fine,large_n,power,0.65,1.0,1.0,1.0,3,True
generalization,GCM fine,heavy_tail,typeI,0.65,0.187,0.18666666666666668,0.187,3,True
generalization,GCM fine,heavy_tail,power,0.65,0.993,0.9933333333333333,0.993,3,True
generalization,GCM fine,smooth,typeI,0.8,0.24,0.24,0.24,3,True
generalization,GCM fine,smooth,power,0.8,1.0,1.0,1.0,3,True
generalization,GCM fine,nonlinear,typeI,0.8,1.0,1.0,1.0,3,True
generalization,GCM fine,nonlinear,power,0.8,1.0,1.0,1.0,3,True
generalization,GCM fine,large_n,typeI,0.8,0.212,0.2125,0.212,3,True
generalization,GCM fine,large_n,power,0.8,1.0,1.0,1.0,3,True
generalization,GCM fine,heavy_tail,typeI,0.8,0.2,0.2,0.2,3,True
generalization,GCM fine,heavy_tail,power,0.8,0.993,0.9933333333333333,0.993,3,True
generalization,GCM fine,smooth,typeI,0.9,0.273,0.2733333333333333,0.273,3,True
generalization,GCM fine,smooth,power,0.9,1.0,1.0,1.0,3,True
generalization,GCM fine,nonlinear,typeI,0.9,1.0,1.0,1.0,3,True
generalization,GCM fine,nonlinear,power,0.9,1.0,1.0,1.0,3,True
generalization,GCM fine,large_n,typeI,0.9,0.225,0.225,0.225,3,True
generalization,GCM fine,large_n,power,0.9,1.0,1.0,1.0,3,True
generalization,GCM fine,heavy_tail,typeI,0.9,0.22,0.22,0.22,3,True
