setting,regime,metric,seed,N,T,reject
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,505,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,506,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,507,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,508,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,509,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,510,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,511,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,512,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,513,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,514,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,515,600,60,1
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,516,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,517,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,518,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,519,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,520,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,521,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,522,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,523,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,524,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,525,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,526,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,527,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,528,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,529,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,530,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,531,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,532,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,533,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,534,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,535,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,536,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,537,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,538,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,539,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,540,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,541,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,542,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,543,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,544,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,545,600,60,1
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,546,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,547,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,548,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,549,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,550,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,551,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,552,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,553,600,60,0
legacy_cluster_extrapolation_beta1,high_dim_fe,typeI,554,600,60,0
