categories,validation_pairs,mass,fit_error,method,repetitions,noncoverage,median_slack,mean_slack,negative_upper
2,512,balanced,exact,rectangle,2000,0,0.012335120486333616,0.012562633344703051,0
2,512,balanced,exact,aggregate,2000,0,0.01224104516126622,0.012439881684056867,0
2,512,balanced,same_direction,rectangle,2000,0,0.019876275614076677,0.020009989900920976,0
2,512,balanced,same_direction,aggregate,2000,0,0.017679564186735407,0.017838087378527212,0
2,512,balanced,opposite_direction,rectangle,2000,0,0.020111146746153722,0.020066249212048626,1990
2,512,balanced,opposite_direction,aggregate,2000,0,0.035329069309362464,0.0352209299147243,0
2,512,one_heavy,exact,rectangle,2000,0,0.012190227991065714,0.012396402413445163,0
2,512,one_heavy,exact,aggregate,2000,0,0.012639651966224399,0.012794158715771803,0
2,512,one_heavy,same_direction,rectangle,2000,0,0.019601571412520308,0.019768012785816195,0
2,512,one_heavy,same_direction,aggregate,2000,0,0.017524501979934937,0.01794768677305434,0
2,512,one_heavy,opposite_direction,rectangle,2000,0,0.01975530278204635,0.01976249239476765,1917
2,512,one_heavy,opposite_direction,aggregate,2000,0,0.0354420415938859,0.03523441071345712,0
2,2048,balanced,exact,rectangle,2000,0,0.0030739287763311366,0.0031251659637480493,0
2,2048,balanced,exact,aggregate,2000,0,0.003019050303944169,0.003064539162807172,0
2,2048,balanced,same_direction,rectangle,2000,0,0.007445253081127932,0.007469606309609757,0
2,2048,balanced,same_direction,aggregate,2000,0,0.006503139108101781,0.0065402611061604115,0
2,2048,balanced,opposite_direction,rectangle,2000,0,0.012527153990062913,0.012496142341722853,2000
2,2048,balanced,opposite_direction,aggregate,2000,0,0.015563511317973747,0.015508726935046692,2000
2,2048,one_heavy,exact,rectangle,2000,0,0.003056412890431329,0.003109224894471016,0
2,2048,one_heavy,exact,aggregate,2000,0,0.0030909461331946647,0.00315052285361295,0
2,2048,one_heavy,same_direction,rectangle,2000,0,0.007337977099046039,0.007385837273451891,0
2,2048,one_heavy,same_direction,aggregate,2000,0,0.006565200482302042,0.006589270481453399,0
2,2048,one_heavy,opposite_direction,rectangle,2000,0,0.012185415180528777,0.01213386750255889,2000
2,2048,one_heavy,opposite_direction,aggregate,2000,0,0.01548276055941233,0.015430464275779595,2000
2,8192,balanced,exact,rectangle,2000,0,0.0007646049267122161,0.0007811911158861418,0
2,8192,balanced,exact,aggregate,2000,0,0.000755291525193707,0.0007670769005039245,0
2,8192,balanced,same_direction,rectangle,2000,0,0.0030777735704418238,0.003098071523543224,0
2,8192,balanced,same_direction,aggregate,2000,0,0.002705520526075771,0.0027183210836266947,0
2,8192,balanced,opposite_direction,rectangle,2000,0,0.006859671231675468,0.006864308901059218,2000
2,8192,balanced,opposite_direction,aggregate,2000,0,0.00722730776425365,0.007196779136937793,2000
2,8192,one_heavy,exact,rectangle,2000,0,0.0007589876952745627,0.0007756670448687485,0
2,8192,one_heavy,exact,aggregate,2000,0,0.000776360080905671,0.000787795330172969,0
2,8192,one_heavy,same_direction,rectangle,2000,0,0.003020353853207361,0.003035490288737296,0
2,8192,one_heavy,same_direction,aggregate,2000,0,0.002700146827817065,0.0027240034970814203,0
2,8192,one_heavy,opposite_direction,rectangle,2000,0,0.006671363321769959,0.006685178713140067,2000
