categories,validation_pairs,mass,fit_error,method,repetitions,noncoverage,median_slack
2,512,balanced,exact,aggregate,200,0,0.012327101475625683
2,512,balanced,exact,rectangle,200,0,0.012398083139741039
2,512,balanced,opposite_direction,aggregate,200,0,0.035200721914366795
2,512,balanced,opposite_direction,rectangle,200,0,0.020160453656045414
2,512,balanced,same_direction,aggregate,200,0,0.01678878956981244
2,512,balanced,same_direction,rectangle,200,0,0.019666653704745782
2,512,one_heavy,exact,aggregate,200,0,0.012765533725777127
2,512,one_heavy,exact,rectangle,200,0,0.012181360986730692
2,512,one_heavy,opposite_direction,aggregate,200,0,0.035522809793352206
2,512,one_heavy,opposite_direction,rectangle,200,0,0.019687224947656526
2,512,one_heavy,same_direction,aggregate,200,0,0.017687108741546508
2,512,one_heavy,same_direction,rectangle,200,0,0.019750507878032876
2,8192,balanced,exact,aggregate,200,0,0.0007524375020703118
2,8192,balanced,exact,rectangle,200,0,0.0007689280942864201
2,8192,balanced,opposite_direction,aggregate,200,0,0.0071853269025048275
2,8192,balanced,opposite_direction,rectangle,200,0,0.006934378976838991
2,8192,balanced,same_direction,aggregate,200,0,0.002798073750192399
2,8192,balanced,same_direction,rectangle,200,0,0.0031618991787317444
2,8192,one_heavy,exact,aggregate,200,0,0.0007835384103698669
2,8192,one_heavy,exact,rectangle,200,0,0.0007457610544314759
2,8192,one_heavy,opposite_direction,aggregate,200,0,0.007404205067593819
2,8192,one_heavy,opposite_direction,rectangle,200,0,0.006741067406292468
2,8192,one_heavy,same_direction,aggregate,200,0,0.002756223709091978
2,8192,one_heavy,same_direction,rectangle,200,0,0.003058848217524259
32,512,balanced,exact,aggregate,200,0,0.052272016431711324
32,512,balanced,exact,rectangle,200,0,0.24648877392882293
32,512,balanced,opposite_direction,aggregate,200,0,0.06569469467116532
32,512,balanced,opposite_direction,rectangle,200,0,0.2470124365620078
32,512,balanced,same_direction,aggregate,200,0,0.055100662857749186
32,512,balanced,same_direction,rectangle,200,0,0.25848831644849635
32,512,one_heavy,exact,aggregate,200,0,0.06727038921400297
32,512,one_heavy,exact,rectangle,200,0,0.10918418930761636
32,512,one_heavy,opposite_direction,aggregate,200,0,0.07976423420515975
32,512,one_heavy,opposite_direction,rectangle,200,0,0.11478977785234638
32,512,one_heavy,same_direction,aggregate,200,0,0.07090071844063274
32,512,one_heavy,same_direction,rectangle,200,0,0.13064011722622282
32,8192,balanced,exact,aggregate,200,0,0.0026245427578518287
32,8192,balanced,exact,rectangle,200,0,0.018530566464590243
32,8192,balanced,opposite_direction,aggregate,200,0,0.008185329648622439
32,8192,balanced,opposite_direction,rectangle,200,0,0.022442793949793302
32,8192,balanced,same_direction,aggregate,200,0,0.00386711362846216
32,8192,balanced,same_direction,rectangle,200,0,0.027861297814544588
32,8192,one_heavy,exact,aggregate,200,0,0.0026880262018150036
32,8192,one_heavy,exact,rectangle,200,0,0.0185041871704743
32,8192,one_heavy,opposite_direction,aggregate,200,0,0.00821682891176288
32,8192,one_heavy,opposite_direction,rectangle,200,0,0.02290005836673715
32,8192,one_heavy,same_direction,aggregate,200,0,0.003942753089753339
32,8192,one_heavy,same_direction,rectangle,200,0,0.024093306818617377
