n,replication,seed,condition,theta,weighted_mean,lower_bound,concentration_radius,bias_upper,envelope_failure_probability,alpha,p_one_sided,reject,effective_clusters,positive_if_bias_below,inference_status,unadjusted_lower_bound,unadjusted_p_one_sided,unadjusted_reject
128,0,202609056711000,noise_free_null,0,0.004486742768967768,-0.01984939419624908,0.01878058140866129,0.005555555556555556,0.0,0.05,1.0,False,128.0,-0.014293838639693524,conditional_on_independence_bounds_and_bias_envelope,-0.014293838639693524,0.8428377788640998,False
128,0,202609056711000,independent_noise_null,0,-0.01896987639708335,-0.34980510194812164,0.3252796699944827,0.005555555556555556,0.0,0.05,1.0,False,128.0,-0.3442495463915661,conditional_on_independence_bounds_and_bias_envelope,-0.3442495463915661,1.0,False
128,0,202609056711000,shared_signal_alternative,0.25,0.23597725497191321,-0.09485797057912507,0.3252796699944827,0.005555555556555556,0.0,0.05,0.22240254997896872,False,128.0,-0.08930241502256951,conditional_on_independence_bounds_and_bias_envelope,-0.08930241502256951,0.20667065996522396,False
128,1,202609056711001,noise_free_null,0,0.004353236458360567,-0.01998290050685628,0.01878058140866129,0.005555555556555556,0.0,0.05,1.0,False,128.0,-0.014427344950300723,conditional_on_independence_bounds_and_bias_envelope,-0.014427344950300723,0.8513288103593498,False
128,1,202609056711001,independent_noise_null,0,0.005430399913113049,-0.3254048256379252,0.3252796699944827,0.005555555556555556,0.0,0.05,1.0,False,128.0,-0.3198492700813697,conditional_on_independence_bounds_and_bias_envelope,-0.3198492700813697,0.9991654132358024,False
128,1,202609056711001,shared_signal_alternative,0.25,0.23421744347947024,-0.09661778207156804,0.3252796699944827,0.005555555556555556,0.0,0.05,0.22754847419600288,False,128.0,-0.09106222651501249,conditional_on_independence_bounds_and_bias_envelope,-0.09106222651501249,0.2115696786146271,False
128,2,202609056711002,noise_free_null,0,0.01282947935544914,-0.011506657609767707,0.01878058140866129,0.005555555556555556,0.0,0.05,0.6380178689497065,False,128.0,-0.00595110205321215,conditional_on_independence_bounds_and_bias_envelope,-0.00595110205321215,0.24709397196987232,False
128,2,202609056711002,independent_noise_null,0,0.051020200248116855,-0.27981502530292146,0.3252796699944827,0.005555555556555556,0.0,0.05,0.9431552538654285,False,128.0,-0.2742594697463659,conditional_on_independence_bounds_and_bias_envelope,-0.2742594697463659,0.9289493933905938,False
128,2,202609056711002,shared_signal_alternative,0.25,0.20566067920798634,-0.12517454634305195,0.3252796699944827,0.005555555556555556,0.0,0.05,0.3218340014232175,False,128.0,-0.11961899078649639,conditional_on_independence_bounds_and_bias_envelope,-0.11961899078649639,0.3019346799091393,False
128,3,202609056711003,noise_free_null,0,0.0054790223723992955,-0.018857114592817553,0.01878058140866129,0.005555555556555556,0.0,0.05,1.0,False,128.0,-0.013301559036261996,conditional_on_independence_bounds_and_bias_envelope,-0.013301559036261996,0.7749388378133725,False
128,3,202609056711003,independent_noise_null,0,0.034900778964622924,-0.2959344465864154,0.3252796699944827,0.005555555556555556,0.0,0.05,0.9759131318517162,False,128.0,-0.2903788910298598,conditional_on_independence_bounds_and_bias_envelope,-0.2903788910298598,0.966100593558558,False
128,3,202609056711003,shared_signal_alternative,0.25,0.2255153521778966,-0.10531987337314168,0.3252796699944827,0.005555555556555556,0.0,0.05,0.2541428646626371,False,128.0,-0.09976431781658612,conditional_on_independence_bounds_and_bias_envelope,-0.09976431781658612,0.23694434323693428,False
128,4,202609056711004,noise_free_null,0,0.010309991814423821,-0.014026145150793026,0.01878058140866129,0.005555555556555556,0.0,0.05,0.8253135228155947,False,128.0,-0.00847058959423747,conditional_on_independence_bounds_and_bias_envelope,-0.00847058959423747,0.40542440978911587,False
128,4,202609056711004,independent_noise_null,0,0.09155533116808043,-0.23927989438295785,0.3252796699944827,0.005555555556555556,0.0,0.05,0.8110679597419229,False,128.0,-0.2337243388264023,conditional_on_independence_bounds_and_bias_envelope,-0.2337243388264023,0.7887293288521974,False
128,4,202609056711004,shared_signal_alternative,0.25,0.21760085493381098,-0.11323437061722728,0.3252796699944827,0.005555555556555556,0.0,0.05,0.27997557405956747,False,128.0,-0.10767881506067173,conditional_on_independence_bounds_and_bias_envelope,-0.10767881506067173,0.26167961244062704,False
128,5,202609056711005,noise_free_null,0,0.0029090339321924193,-0.02142710303302443,0.01878058140866129,0.005555555556555556,0.0,0.05,1.0,False,128.0,-0.01587154747646887,conditional_on_independence_bounds_and_bias_envelope,-0.01587154747646887,0.9306465034613894,False
128,5,202609056711005,independent_noise_null,0,0.04973111107313758,-0.28110411447790074,0.3252796699944827,0.005555555556555556,0.0,0.05,0.9462460386182576,False,128.0,-0.27554855892134517,conditional_on_independence_bounds_and_bias_envelope,-0.27554855892134517,0.9323716583446859,False
