regime,alternative,replication,seed,sample_sha256,fold_sha256
linear,null,0,620260905,54217a444056073261c2041230d845da5d335e753ca281b2df8b3b993268dedb,43f17e575c4dc5b6c5bb1f73cbb4cab8aae869434b103f911dbd158bcf560a24
linear,null,1,620260906,87199a3f1d28f7e8a95c0b22d1728760541966b0903540df028de14960fdad28,98bc592a119b0a6403c761983f2a0497c8ebeb85621bdbd846c82525c598d285
linear,null,2,620260907,f57b55c2ca15a0df1ef2121d9d73517a20f1f12733a346b6ce449a0d991cc231,4693f21bfed3a6c29196918da9203cdf79f00a8a6fd84a1975c8782bf2256681
linear,null,3,620260908,5ef36ced13f479dfc5606bf49201b652a6e96d93940102b2ce223ce83f74ac27,bcffa846cb06f8c6445037950960d0a7f6ce8fa9567cf4a63fdf1c5a8179b7ad
linear,null,4,620260909,e57097d90fdbf3d805b401a08b63026187d5003cfb11bfa735cd4e41a4dcec47,ca0081d2ff7363af9f8f07d499284204919560f8f3f1f76f1bb1dbf603b0f646
linear,null,5,620260910,60dc6ea2ce6a3d84e4690fd89f47f67b9de98a07bb1c4ad15f52a78ba9d3aa2d,a58261f88856a54b42b50c8507f24c5df390f747636ea78b7c6648e9e1d62468
linear,null,6,620260911,e1317d5f097774aae46819bc455984da941d496294ba9349d106f8af8b914901,70c848bb41b1a22656a063e95b51ef310c8cb956da3f158ff1fa4590930442f8
linear,null,7,620260912,1c3ca4f976ac418bb60a31b98b774de34e242f4b072477f959452ff6ae9cf60f,f18a863033e95152cda939b3eba09ef6910144e5f305cde3d9345feb83264896
linear,null,8,620260913,a6de8ded52dbdc2a63af34f69b0e010feeeb12d48ac34f0f0dc588eb3825c71c,5a9a4430d4389e391dc6ad8234e3740ce31ec5b454410437526f5e3399446daf
linear,null,9,620260914,28429ba54caf44ffb8965075cb5dfdae4477cf2fd0799a032d28e787d2de438e,20be353e9d20693103ba9fd1f32e206fec0b126c9450f94861c35b5441bfc761
linear,null,10,620260915,d05c1aec948a287eee3a338028558fff04d5884ffb6146588b15fba1f09f9c23,9afc84f3079469e087c9b8827afa6a6cc7c4547cdf7e751fa3c918a59f3ae11c
linear,null,11,620260916,405a9ae8aa73ee1cbd38984c32aacdef1fd987ba99e123ee325d3dbf594fb162,d65a617ddea4bc3f905bc4f0f0da945fbaf9cb3d0ad449491b59fa1e538cbe43
linear,null,12,620260917,476872deca75a8c5190142a2865a78c6e1a00caa145ad44f3d9855c8a66f0923,fa5d0fb99f408e2e8eff3dfcef4cd3c0e794ca671538b9d07175d8d17d52c4d9
linear,null,13,620260918,48bc0ac625a581880156785857696d2ffc95d660b861a40ae54f11cbfa9c9476,d413d8a7f29385d4a183b0441ccb7bea8aeaa586fb96df39b2a8a9ebb6a47fc9
linear,null,14,620260919,bd44b7d3e8bcc03234a0d729ef968ba69fea340f4ec806a631c7b135bd8d1828,a87f4c726fa3ed4582b94410f25d37121cf2f04c790b4d659339dfee5bc85ff5
linear,null,15,620260920,7b9f3a2b325a905c40045b85f34138c85fd662e081b2937d77156a8ce950d2eb,1e59776a68e7130842e232f152849723566aba38812cf9b5ef85632ee0cc0627
linear,null,16,620260921,844b5ff39f855e0a68b2384a7357d35a8fdc25dd0b65a1f53bc9f838f0d202e3,da78527dc064992f8e9daca7ab0d028802694cf06ea18278027198d4f7d8ff34
linear,null,17,620260922,f04915b9efe0a9e0715f5adaf1e23512d8084afa9e89dfbf344757c3bf0360c8,875825bf5116bdfee6665f1247cc8ab6b35a49d8c1f9c18a96b0c7e96462060f
linear,null,18,620260923,2b46977a76dec96cbca1f8d842149ae914970565708fcfd6366725fd1378a015,5df6640ce9a1d89cfb0b3a951ac52fec6409baff90a656296a3369e458ac62a4
linear,null,19,620260924,bb7b748ad3008e1dfb9db3cc6c3a630c50091532ecbbbd23345172df10e372bc,6f70ed90f44ab32b28e029d3c657f960102e54efb91c70407471fc0d9796cd34
