design,signal,training_rows,validation_pairs,groups,peers,replications,rejections,rate,wilson_low,wilson_high,normal_rejections,budget_failures,coverage_failures,mean_bias_budget,mean_sampling_radius,mean_lower_bound,mean_p,target,total_observations
eight_balanced,0.0,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,458,0,0,0.2815877066714289,0.026247331388567254,-0.3070446538600863,1.0,0.0,7456
eight_balanced,0.0,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,491,0,0,0.2815877066714289,0.013123665694283627,-0.2939371673317069,1.0,0.0,26656
eight_balanced,0.0,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,458,0,0,0.08112552889229645,0.026247331388567254,-0.10658247608095375,1.0,0.0,22816
eight_balanced,0.0,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,491,0,0,0.08112552889229645,0.013123665694283627,-0.09347498955257438,1.0,0.0,42016
eight_balanced,0.0,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,83,0,0,0.15972308101090255,0.019097506710654775,-0.1787633129278553,1.0,0.0,7936
eight_balanced,0.0,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,142,0,0,0.15972308101090255,0.009548753355327387,-0.16923968202437395,1.0,0.0,27136
eight_balanced,0.0,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,83,0,0,0.014779898542573715,0.019097506710654775,-0.03382013045952648,1.0,0.0,23296
eight_balanced,0.0,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,142,0,0,0.014779898542573715,0.009548753355327387,-0.02429649955604511,1.0,0.0,42496
eight_balanced,0.0,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,60,0,0,0.15263345547624171,0.018201914191382822,-0.17080145209497347,1.0,0.0,15616
eight_balanced,0.0,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,59,0,0,0.15263345547624171,0.009100957095691411,-0.16172487021090945,1.0,0.0,34816
eight_balanced,0.0,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,60,0,0,0.009492879962849142,0.018201914191382822,-0.027660876581580878,1.0,0.0,30976
eight_balanced,0.0,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,59,0,0,0.009492879962849142,0.009100957095691411,-0.018584294697516872,1.0,0.0,50176
eight_balanced,0.25,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,982,0,0,0.2858597347593763,0.025847523810295103,-0.2941366971057837,1.0,0.013214285714285713,7456
eight_balanced,0.25,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,986,0,0,0.2858597347593763,0.012923761905147551,-0.2811933050413195,1.0,0.013214285714285713,26656
eight_balanced,0.25,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,982,0,0,0.08245122346843342,0.025847523810295103,-0.09072818581484074,1.0,0.013214285714285713,22816
eight_balanced,0.25,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,986,0,0,0.08245122346843342,0.012923761905147551,-0.07778479375037661,1.0,0.013214285714285713,42016
eight_balanced,0.25,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.161020211740629,0.01906557666011761,-0.16669712381863236,1.0,0.013214285714285713,7936
eight_balanced,0.25,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.161020211740629,0.009532788330058805,-0.15714330744843646,1.0,0.013214285714285713,27136
eight_balanced,0.25,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.014993274038950094,0.01906557666011761,-0.020670186116953402,0.9938461514073201,0.013214285714285713,23296
eight_balanced,0.25,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.014993274038950094,0.009532788330058805,-0.011116369746757537,0.9782782761750266,0.013214285714285713,42496
eight_balanced,0.25,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.15382292214267443,0.018189494035184352,-0.15880474354790988,1.0,0.013214285714285713,15616
eight_balanced,0.25,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.15382292214267443,0.009094747017592176,-0.1496902842135156,1.0,0.013214285714285713,34816
eight_balanced,0.25,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.009579364378244599,0.018189494035184352,-0.014561185783480046,0.8781385426753503,0.013214285714285713,30976
eight_balanced,0.25,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.009579364378244599,0.009094747017592176,-0.005446726449085805,0.6130013955330551,0.013214285714285713,50176
eight_balanced,0.5,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.2952542000092792,0.025372540059824714,-0.286294570588361,1.0,0.026428571428571426,7456
eight_balanced,0.5,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.2952542000092792,0.012686270029912357,-0.27357124069790223,1.0,0.026428571428571426,26656
eight_balanced,0.5,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.0872444017331614,0.025372540059824714,-0.07828477231224319,0.9994450818330131,0.026428571428571426,22816
eight_balanced,0.5,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.0872444017331614,0.012686270029912357,-0.06556144242178445,0.9986891436337401,0.026428571428571426,42016
