design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,rejections,power,target,mean,bias,bias_allowance,absolute_allowance,signed_allowance,bias_width,radius,lower,coverage_failures,allowance_failures
eight_rare,-0.125,estimated,8192,512,25,64,10816,independent_triples,1000,0,0,-0.0068275510204081,-0.0067933379326075996,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.016173707754272602,-0.14810901957172631,0,0
eight_rare,-0.125,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0,-0.0068275510204081,-0.0067831390165609996,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.015950182977937401,-0.14787529587934459,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,independent_triples,1000,0,0,-0.0068275510204081,-0.0068041653942362001,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.0051709103079399001,-0.13711704958702231,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0,-0.0068275510204081,-0.0068133668968729001,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.0051076394303174004,-0.1370629802120365,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,independent_triples,1000,0,0,-0.0068275510204081,-0.0068209495785260003,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.0018592449405292,-0.1338221684039014,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0,-0.0068275510204081,-0.0068250468441727,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.0018395493557631999,-0.133806570084782,0,0
eight_rare,-0.125,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0,-0.0068275510204081,-0.0068303707723662999,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.0007481826197916,-0.13272052727700409,0,0
eight_rare,-0.125,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0,-0.0068275510204081,-0.0068251273692366997,-4.8087732622436077e-06,0.1251419738848461,0.13273764684198269,0.1251419738848461,0.2443350582852423,0.00074090179077579996,-0.13270800304485869,0,0
eight_rare,-0.125,estimated,8192,8192,25,64,26176,independent_triples,1000,0,0,-0.0068275510204081,-0.0067933379326075996,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.016173707754272602,-0.031267700251559102,0,0
eight_rare,-0.125,estimated,8192,8192,25,64,26176,pooled_variance,1000,0,0,-0.0068275510204081,-0.0067831390165609996,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.015950182977937401,-0.0310339765591773,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,independent_triples,1000,0,0,-0.0068275510204081,-0.0068041653942362001,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.0051709103079399001,-0.020275730266854999,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,pooled_variance,1000,0,0,-0.0068275510204081,-0.0068133668968729001,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.0051076394303174004,-0.020221660891869199,0,0
eight_rare,-0.125,estimated,8192,8192,400,64,50176,independent_triples,1000,0,0,-0.0068275510204081,-0.0068209495785260003,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.0018592449405292,-0.016980849083734099,0,0
eight_rare,-0.125,estimated,8192,8192,400,64,50176,pooled_variance,1000,0,0,-0.0068275510204081,-0.0068250468441727,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.0018395493557631999,-0.0169652507646148,0,0
eight_rare,-0.125,estimated,8192,8192,1600,64,126976,independent_triples,1000,0,0,-0.0068275510204081,-0.0068303707723662999,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.0007481826197916,-0.0158792079568368,0,0
eight_rare,-0.125,estimated,8192,8192,1600,64,126976,pooled_variance,1000,0,0,-0.0068275510204081,-0.0068251273692366997,-4.8087732622436077e-06,0.0083006545646787996,0.0089280068624508005,0.0083006545646787996,0.016571780170549302,0.00074090179077579996,-0.0158666837246914,0,0
eight_rare,0,estimated,8192,512,25,64,10816,independent_triples,1000,0,0,0,-3.2959946199376182e-05,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.0162616536533342,-0.1428719597490081,0,0
eight_rare,0,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0,0,-2.1252536012275342e-05,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.016042944635181799,-0.14264154332066861,0,0
eight_rare,0,estimated,8192,512,100,64,15616,independent_triples,1000,0,0,0,-3.4668624051478469e-05,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.0052233623874889997,-0.13183537716101509,0,0
eight_rare,0,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0,0,-3.3881509991662788e-05,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.0051587457081156999,-0.13176997336758189,0,0
eight_rare,0,estimated,8192,512,400,64,34816,independent_triples,1000,0,0,0,4.7198242328082803e-06,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.0018855052455633999,-0.1284581315708051,0,0
eight_rare,0,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0,0,3.3420713589103057e-06,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.0018646278733973,-0.12843863195151289,0,0
eight_rare,0,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0,0,4.3338504483440004e-06,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.00076123838182680001,-0.127334250680853,0,0
eight_rare,0,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0,0,-1.1225795460671881e-07,9.3810875041706562e-07,0.1265773461494745,0.13279177318897051,0.1265773461494745,0.2443095356939318,0.00075388123758759996,-0.12733133964501669,0,0
eight_rare,0,estimated,8192,8192,25,64,26176,independent_triples,1000,0,0,0,-3.2959946199376182e-05,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.0162616536533342,-0.024708470889414198,0,0
eight_rare,0,estimated,8192,8192,25,64,26176,pooled_variance,1000,0,0,0,-2.1252536012275342e-05,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.016042944635181799,-0.024478054461074698,0,0
eight_rare,0,estimated,8192,8192,100,64,30976,independent_triples,1000,0,0,0,-3.4668624051478469e-05,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.0052233623874889997,-0.013671888301421201,0,0
eight_rare,0,estimated,8192,8192,100,64,30976,pooled_variance,1000,0,0,0,-3.3881509991662788e-05,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.0051587457081156999,-0.0136064845079881,0,0
eight_rare,0,estimated,8192,8192,400,64,50176,independent_triples,1000,0,0,0,4.7198242328082803e-06,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.0018855052455633999,-0.0102946427112113,0,0
eight_rare,0,estimated,8192,8192,400,64,50176,pooled_variance,1000,0,0,0,3.3420713589103057e-06,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.0018646278733973,-0.010275143091919001,0,0
eight_rare,0,estimated,8192,8192,1600,64,126976,independent_triples,1000,0,0,0,4.3338504483440004e-06,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.00076123838182680001,-0.0091707618212592008,0,0
eight_rare,0,estimated,8192,8192,1600,64,126976,pooled_variance,1000,0,0,0,-1.1225795460671881e-07,9.3810875041706562e-07,0.0084138572898806007,0.0089346339431170992,0.0084138572898806007,0.0165671636563463,0.00075388123758759996,-0.0091678507854229003,0,0
eight_rare,0.125,estimated,8192,512,25,64,10816,independent_triples,1000,0,0,0.0068275510204081,0.0068264927924392002,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.016366235901660201,-0.137217929744647,0,0
eight_rare,0.125,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0,0.0068275510204081,0.0068202121281264001,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.0161375333354697,-0.13699550784276929,0,0
eight_rare,0.125,estimated,8192,512,100,64,15616,independent_triples,1000,0,0,0.0068275510204081,0.0068434998067974,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.0052685392234420999,-0.12610322605207069,0,0
eight_rare,0.125,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0,0.0068275510204081,0.0068777352513497,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.0052020305083133999,-0.12600248189238969,0,0
eight_rare,0.125,estimated,8192,512,400,64,34816,independent_triples,1000,0,0,0.0068275510204081,0.0068477741875377996,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.0019074988488576999,-0.1227379112967459,0,0
eight_rare,0.125,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0,0.0068275510204081,0.0068636648274366004,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.0018863136210618,-0.12270083542905121,0,0
eight_rare,0.125,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0,0.0068275510204081,0.0068368688907294002,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.00077189335659059999,-0.1216132111012873,0,0
eight_rare,0.125,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0,0.0068275510204081,0.0068372643450991004,6.5737955579802157e-06,0.12767818663542599,0.13294547525286951,0.12767818663542599,0.24438097511640991,0.0007643212090742,-0.1216052434994012,0,0
eight_rare,0.125,estimated,8192,8192,25,64,26176,independent_triples,1000,0,0,0.0068275510204081,0.0068264927924392002,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.016366235901660201,-0.018058361398286302,0,0
eight_rare,0.125,estimated,8192,8192,25,64,26176,pooled_variance,1000,0,0,0.0068275510204081,0.0068202121281264001,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.0161375333354697,-0.017835939496408701,0,0
eight_rare,0.125,estimated,8192,8192,100,64,30976,independent_triples,1000,0,0,0.0068275510204081,0.0068434998067974,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.0052685392234420999,-0.0069436577057099998,0,0
eight_rare,0.125,estimated,8192,8192,100,64,30976,pooled_variance,1000,0,0,0.0068275510204081,0.0068777352513497,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.0052020305083133999,-0.0068429135460289997,0,0
eight_rare,0.125,estimated,8192,8192,400,64,50176,independent_triples,1000,0,0,0.0068275510204081,0.0068477741875377996,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.0019074988488576999,-0.0035783429503852002,0,0
eight_rare,0.125,estimated,8192,8192,400,64,50176,pooled_variance,1000,0,0,0.0068275510204081,0.0068636648274366004,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.0018863136210618,-0.0035412670826905001,0,0
eight_rare,0.125,estimated,8192,8192,1600,64,126976,independent_triples,1000,0,0,0.0068275510204081,0.0068368688907294002,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.00077189335659059999,-0.0024536427549266002,0,0
eight_rare,0.125,estimated,8192,8192,1600,64,126976,pooled_variance,1000,0,0,0.0068275510204081,0.0068372643450991004,6.5737955579802157e-06,0.0085186182890654005,0.0089512167911219003,0.0085186182890654005,0.016585955447956199,0.0007643212090742,-0.0024456751530405,0,0
eight_rare,0.25,estimated,8192,512,25,64,10816,independent_triples,1000,0,0,0.013655102040816301,0.0136835834185003,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.016370616178038502,-0.13141835276861979,0,0
eight_rare,0.25,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0,0.013655102040816301,0.0136524498522562,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.016137596340453801,-0.13121646649727919,0,0
eight_rare,0.25,estimated,8192,512,100,64,15616,independent_triples,1000,0,0,0.013655102040816301,0.013648260812459199,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.0052817039590406,-0.120364763155663,0,0
eight_rare,0.25,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0,0.013655102040816301,0.0136510189912339,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.0052184888158294,-0.1202987898336772,0,0
eight_rare,0.25,estimated,8192,512,400,64,34816,independent_triples,1000,0,0,0.013655102040816301,0.0136488606023441,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.001918093105183,-0.1170005525119206,0,0
eight_rare,0.25,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0,0.013655102040816301,0.0136520115962173,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.0018976161866220999,-0.1169769245994864,0,0
eight_rare,0.25,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0,0.013655102040816301,0.0136658617439723,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.00077829813769979999,-0.115843756402809,0,0
eight_rare,0.25,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0,0.013655102040816301,0.013662828808707899,1.2628641121814316e-05,0.12873132000908161,0.13295930103442341,0.12873132000908161,0.244245844396692,0.0007707743066126,-0.1158392655069863,0,0
eight_rare,0.25,estimated,8192,8192,25,64,26176,independent_triples,1000,0,0,0.013655102040816301,0.0136835834185003,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.016370616178038502,-0.011251091293102901,0,0
eight_rare,0.25,estimated,8192,8192,25,64,26176,pooled_variance,1000,0,0,0.013655102040816301,0.0136524498522562,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.016137596340453801,-0.0110492050217623,0,0
eight_rare,0.25,estimated,8192,8192,100,64,30976,independent_triples,1000,433,0.433,0.013655102040816301,0.013648260812459199,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.0052817039590406,-0.0001975016801461,0,0
eight_rare,0.25,estimated,8192,8192,100,64,30976,pooled_variance,1000,461,0.46100000000000002,0.013655102040816301,0.0136510189912339,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.0052184888158294,-0.00013152835816030001,0,0
eight_rare,0.25,estimated,8192,8192,400,64,50176,independent_triples,1000,1000,1,0.013655102040816301,0.0136488606023441,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.001918093105183,0.0031667089635962001,0,0
eight_rare,0.25,estimated,8192,8192,400,64,50176,pooled_variance,1000,1000,1,0.013655102040816301,0.0136520115962173,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.0018976161866220999,0.0031903368760303999,0,0
eight_rare,0.25,estimated,8192,8192,1600,64,126976,independent_triples,1000,1000,1,0.013655102040816301,0.0136658617439723,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.00077829813769979999,0.0043235050727077999,0,0
eight_rare,0.25,estimated,8192,8192,1600,64,126976,pooled_variance,1000,1000,1,0.013655102040816301,0.013662828808707899,1.2628641121814316e-05,0.0085640585335647005,0.0089183079635077999,0.0085640585335647005,0.0165123083905745,0.0007707743066126,0.0043279959685305,0,0
eight_rare,0.5,estimated,8192,512,25,64,10816,independent_triples,1000,0,0,0.027310204081632601,0.027367316822760401,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.016450151137375,-0.1197013620335677,0,0
eight_rare,0.5,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0,0.027310204081632601,0.027325120924574099,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.016225408459171999,-0.1195188152535511,0,0
eight_rare,0.5,estimated,8192,512,100,64,15616,independent_triples,1000,0,0,0.027310204081632601,0.027363308369572101,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.0053145812307221997,-0.10856980058010331,0,0
eight_rare,0.5,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0,0.027310204081632601,0.027334646447452302,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.0052513027473883997,-0.1085351840188893,0,0
eight_rare,0.5,estimated,8192,512,400,64,34816,independent_triples,1000,0,0,0.027310204081632601,0.027338364964665299,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.001932478997851,-0.10521264175213881,0,0
eight_rare,0.5,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0,0.027310204081632601,0.027336611899430499,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.0019119697142891,-0.1051938855338118,0,0
eight_rare,0.5,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0,0.027310204081632601,0.0273329910637964,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.00078487921981460005,-0.1040704158749714,0,0
eight_rare,0.5,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0,0.027310204081632601,0.0273330328623013,2.2312395852883051e-05,0.13061852771895319,0.13293010306060299,0.13061852771895319,0.2425699427741313,0.00077729099725310001,-0.1040627858539049,0,0
eight_rare,0.5,estimated,8192,8192,25,64,26176,independent_triples,1000,867,0.86699999999999999,0.027310204081632601,0.027367316822760401,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.016450151137375,0.0021785862282957002,0,0
eight_rare,0.5,estimated,8192,8192,25,64,26176,pooled_variance,1000,933,0.93300000000000005,0.027310204081632601,0.027325120924574099,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.016225408459171999,0.0023611330083123001,0,0
eight_rare,0.5,estimated,8192,8192,100,64,30976,independent_triples,1000,1000,1,0.027310204081632601,0.027363308369572101,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.0053145812307221997,0.013310147681760099,0,0
eight_rare,0.5,estimated,8192,8192,100,64,30976,pooled_variance,1000,1000,1,0.027310204081632601,0.027334646447452302,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.0052513027473883997,0.013344764242974099,0,0
eight_rare,0.5,estimated,8192,8192,400,64,50176,independent_triples,1000,1000,1,0.027310204081632601,0.027338364964665299,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.001932478997851,0.016667306509724599,0,0
eight_rare,0.5,estimated,8192,8192,400,64,50176,pooled_variance,1000,1000,1,0.027310204081632601,0.027336611899430499,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.0019119697142891,0.0166860627280517,0,0
eight_rare,0.5,estimated,8192,8192,1600,64,126976,independent_triples,1000,1000,1,0.027310204081632601,0.0273329910637964,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.00078487921981460005,0.017809532386892001,0,0
eight_rare,0.5,estimated,8192,8192,1600,64,126976,pooled_variance,1000,1000,1,0.027310204081632601,0.0273330328623013,2.2312395852883051e-05,0.0087385794570896992,0.0089587796163078,0.0087385794570896992,0.016480889756848398,0.00077729099725310001,0.017817162407958501,0,0
