design,signal,fit,validation_pairs,groups,total_observations,target,absolute_range,signed_range,absolute_variance,signed_variance,replications,signed_increment,paired_ci_lower,paired_ci_upper
two_balanced,0.125,estimated,8192,100,30976,0.0050000000000000001,0,0,5,6,1000,0.001,-0.0043598608615769002,0.0063637850570316002
two_balanced,0.125,estimated,8192,400,50176,0.0050000000000000001,0,0,1000,1000,1000,0,-0.0043724395646712001,0.0043724395646712001
two_balanced,0.25,estimated,8192,100,30976,0.01,0,0,1000,1000,1000,0,-0.0043724395646712001,0.0043724395646712001
two_balanced,0.25,estimated,8192,400,50176,0.01,58,78,1000,1000,1000,0,-0.0043724395646712001,0.0043724395646712001
eight_rare,0.125,estimated,8192,100,30976,0.0068275510204081,0,0,0,0,1000,0,-0.0043724395646712001,0.0043724395646712001
eight_rare,0.125,estimated,8192,400,50176,0.0068275510204081,0,0,0,0,1000,0,-0.0043724395646712001,0.0043724395646712001
eight_rare,0.25,estimated,8192,100,30976,0.013655102040816301,0,0,274,435,1000,0.161,0.1313791856900593,0.1888048051555333
eight_rare,0.25,estimated,8192,400,50176,0.013655102040816301,0,0,1000,1000,1000,0,-0.0043724395646712001,0.0043724395646712001
two_balanced,0.25,opposed_shifts,8192,100,30976,0.01,0,0,0,0,1000,0,-0.0043724395646712001,0.0043724395646712001
two_balanced,0.25,opposed_shifts,8192,400,50176,0.01,0,0,0,0,1000,0,-0.0043724395646712001,0.0043724395646712001
two_balanced,0.5,opposed_shifts,8192,100,30976,0.02,0,0,0,1000,1000,1,0.99125512087065737,1
two_balanced,0.5,opposed_shifts,8192,400,50176,0.02,0,70,0,1000,1000,1,0.99125512087065737,1
