design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,rejections,power,power_ci_lower,power_ci_upper,target,mean,bias,bias_allowance,absolute_allowance,signed_allowance,radius,lower,coverage_failures,allowance_failures,display_order
two_balanced,0.125,estimated,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0036820838968656712,0.0050000000000000001,0.004995760513230545,3.2240100940740958e-06,0.0018374674739031001,0.0018374674739031001,0.0017611043490048145,0.017453094314559423,-0.014294801275231977,0,0,0
two_balanced,0.125,estimated,8192,8192,100,64,30976,absolute_variance,1000,5,0.0050000000000000001,0.0016254195175627599,0.011629470559812147,0.0050000000000000001,0.004995760513230545,3.2240100940740958e-06,0.0018374674739031001,0.0018374674739031001,0.0017611043490048145,0.004657667365729372,-0.001499374326401933,0,0,0
two_balanced,0.125,estimated,8192,8192,100,64,30976,signed_range,1000,0,0,0,0.0036820838968656712,0.0050000000000000001,0.004995760513230545,3.2240100940740958e-06,0.0017611043490048145,0.0018374674739031001,0.0017611043490048145,0.017453094314559423,-0.014218438150333692,0,0,0
two_balanced,0.125,estimated,8192,8192,100,64,30976,signed_variance,1000,6,0.0060000000000000001,0.0022049824851513768,0.013013423270974496,0.0050000000000000001,0.004995760513230545,3.2240100940740958e-06,0.0017611043490048145,0.0018374674739031001,0.0017611043490048145,0.004657667365729372,-0.0014230112015036417,0,0,0
two_balanced,0.125,estimated,8192,8192,400,64,50176,absolute_range,1000,0,0,0,0.0036820838968656712,0.0050000000000000001,0.0050107148395640523,3.2240100940740958e-06,0.0018374674739031001,0.0018374674739031001,0.0017611043490048145,0.008726547157279687,-0.0055532997916187309,0,0,1
two_balanced,0.125,estimated,8192,8192,400,64,50176,absolute_variance,1000,1000,1,0.99631791610313436,1,0.0050000000000000001,0.0050107148395640523,3.2240100940740958e-06,0.0018374674739031001,0.0018374674739031001,0.0017611043490048145,0.0016596679474485008,0.0015135794182124251,0,0,1
two_balanced,0.125,estimated,8192,8192,400,64,50176,signed_range,1000,0,0,0,0.0036820838968656712,0.0050000000000000001,0.0050107148395640523,3.2240100940740958e-06,0.0017611043490048145,0.0018374674739031001,0.0017611043490048145,0.008726547157279687,-0.0054769366667204462,0,0,1
two_balanced,0.125,estimated,8192,8192,400,64,50176,signed_variance,1000,1000,1,0.99631791610313436,1,0.0050000000000000001,0.0050107148395640523,3.2240100940740958e-06,0.0017611043490048145,0.0018374674739031001,0.0017611043490048145,0.0016596679474485008,0.0015899425431106407,0,0,1
two_balanced,0.25,estimated,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0036820838968656712,0.01,0.010000654361996613,4.4230655299436979e-06,0.0018418881181724734,0.0018418881181724734,0.0017803327339620662,0.017452890800200963,-0.0092941245563768239,0,0,2
two_balanced,0.25,estimated,8192,8192,100,64,30976,absolute_variance,1000,1000,1,0.99631791610313436,1,0.01,0.010000654361996613,4.4230655299436979e-06,0.0018418881181724734,0.0018418881181724734,0.0017803327339620662,0.0047791039448585168,0.0033796622989656147,0,0,2
two_balanced,0.25,estimated,8192,8192,100,64,30976,signed_range,1000,0,0,0,0.0036820838968656712,0.01,0.010000654361996613,4.4230655299436979e-06,0.0017803327339620662,0.0018418881181724734,0.0017803327339620662,0.017452890800200963,-0.009232569172166416,0,0,2
two_balanced,0.25,estimated,8192,8192,100,64,30976,signed_variance,1000,1000,1,0.99631791610313436,1,0.01,0.010000654361996613,4.4230655299436979e-06,0.0017803327339620662,0.0018418881181724734,0.0017803327339620662,0.0047791039448585168,0.0034412176831759315,0,0,2
two_balanced,0.25,estimated,8192,8192,400,64,50176,absolute_range,1000,58,0.058000000000000003,0.044332860252820697,0.074336495382351597,0.01,0.010003190650513272,4.4230655299436979e-06,0.0018418881181724734,0.0018418881181724734,0.0017803327339620662,0.008726445400100459,-0.00056514286775966548,0,0,3
two_balanced,0.25,estimated,8192,8192,400,64,50176,absolute_variance,1000,1000,1,0.99631791610313436,1,0.01,0.010003190650513272,4.4230655299436979e-06,0.0018418881181724734,0.0018418881181724734,0.0017803327339620662,0.0017191351561836061,0.0064421673761571614,0,0,3
two_balanced,0.25,estimated,8192,8192,400,64,50176,signed_range,1000,78,0.078,0.062141213132714014,0.096393633402582987,0.01,0.010003190650513272,4.4230655299436979e-06,0.0017803327339620662,0.0018418881181724734,0.0017803327339620662,0.008726445400100459,-0.00050358748354925977,0,0,3
two_balanced,0.25,estimated,8192,8192,400,64,50176,signed_variance,1000,1000,1,0.99631791610313436,1,0.01,0.010003190650513272,4.4230655299436979e-06,0.0017803327339620662,0.0018418881181724734,0.0017803327339620662,0.0017191351561836061,0.0065037227603674981,0,0,3
eight_rare,0.125,estimated,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068809138245706745,6.5737955579802157e-06,0.0089512167911219229,0.0089512167911219229,0.0085186182890653536,0.018925937827213111,-0.020996240793764359,0,0,4
eight_rare,0.125,estimated,8192,8192,100,64,30976,absolute_variance,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068809138245706745,6.5737955579802157e-06,0.0089512167911219229,0.0089512167911219229,0.0085186182890653536,0.0052677482509660613,-0.0073380512175173209,0,0,4
eight_rare,0.125,estimated,8192,8192,100,64,30976,signed_range,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068809138245706745,6.5737955579802157e-06,0.0085186182890653536,0.0089512167911219229,0.0085186182890653536,0.018925937827213111,-0.020563642291707786,0,0,4
eight_rare,0.125,estimated,8192,8192,100,64,30976,signed_variance,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068809138245706745,6.5737955579802157e-06,0.0085186182890653536,0.0089512167911219229,0.0085186182890653536,0.0052677482509660613,-0.0069054527154607396,0,0,4
eight_rare,0.125,estimated,8192,8192,400,64,50176,absolute_range,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068639327124223352,6.5737955579802157e-06,0.0089512167911219229,0.0089512167911219229,0.0085186182890653536,0.0094629689136065311,-0.011550252992306114,0,0,5
eight_rare,0.125,estimated,8192,8192,400,64,50176,absolute_variance,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068639327124223352,6.5737955579802157e-06,0.0089512167911219229,0.0089512167911219229,0.0085186182890653536,0.0019074494340456391,-0.0039947335127452554,0,0,5
eight_rare,0.125,estimated,8192,8192,400,64,50176,signed_range,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068639327124223352,6.5737955579802157e-06,0.0085186182890653536,0.0089512167911219229,0.0085186182890653536,0.0094629689136065311,-0.011117654490249545,0,0,5
eight_rare,0.125,estimated,8192,8192,400,64,50176,signed_variance,1000,0,0,0,0.0036820838968656712,0.0068275510204081,0.0068639327124223352,6.5737955579802157e-06,0.0085186182890653536,0.0089512167911219229,0.0085186182890653536,0.0019074494340456391,-0.0035621350106886541,0,0,5
eight_rare,0.25,estimated,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.018838002408812862,-0.014106832134924278,0,0,6
eight_rare,0.25,estimated,8192,8192,100,64,30976,absolute_variance,1000,274,0.27400000000000002,0.24655555491546699,0.30278181831000911,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.0052809166616530363,-0.00054974638776446273,0,0,6
eight_rare,0.25,estimated,8192,8192,100,64,30976,signed_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.018838002408812862,-0.013752582704981187,0,0,6
eight_rare,0.25,estimated,8192,8192,100,64,30976,signed_variance,1000,435,0.435,0.40400337063157604,0.46638038632130563,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.0052809166616530363,-0.00019549695782140349,0,0,6
eight_rare,0.25,estimated,8192,8192,400,64,50176,absolute_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.0094190012044064048,-0.0046873661592540736,0,0,7
eight_rare,0.25,estimated,8192,8192,400,64,50176,absolute_variance,1000,1000,1,0.99631791610313436,1,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.0019180439199665558,0.0028135911251857431,0,0,7
eight_rare,0.25,estimated,8192,8192,400,64,50176,signed_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.0094190012044064048,-0.004333116729310982,0,0,7
eight_rare,0.25,estimated,8192,8192,400,64,50176,signed_variance,1000,1000,1,0.99631791610313436,1,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.0019180439199665558,0.0031678405551287675,0,0,7
