domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label
electricity,dlinear,complementary_all,34992,11,2,14,D,True,0.016424778683149968,0.0018743633107999465,8.76285754661947,8.76285754661947,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,9.518107961439743e-19,9.518107961439743e-19,5.2696450764555704e-18,RETAIN
electricity,dlinear,complementary_middle,21024,11,2,14,D,True,0.0186264093407543,0.0027211676264260621,6.8450062244853056,6.8450062244853056,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.8236273120990929e-12,3.8236273120990929e-12,2.5403148089137072e-11,RETAIN
electricity,dlinear,directional_middle,21024,11,2,14,D,True,0.019467501870370923,0.002838819707253408,6.8576041728292649,6.8576041728292649,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.5012479914119345e-12,3.5012479914119345e-12,3.7230691301096446e-11,RETAIN
electricity,dlinear,directional_all,34992,11,2,14,D,True,0.015887598288983552,0.0020348464475067472,7.8077627471351843,7.8077627471351843,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.9106016154745796e-15,2.9106016154745796e-15,2.417156466597148e-14,RETAIN
electricity,drift,complementary_all,34992,11,2,14,D,True,0.018744925795639918,0.0020676210490288473,9.0659387533534392,9.0659387533534392,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,6.1767920290226065e-20,6.1767920290226065e-20,5.1486679449223741e-19,RETAIN
electricity,drift,complementary_middle,21024,11,2,14,D,True,0.020798768513573047,0.0029855141378317229,6.9665617221556628,6.9665617221556628,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.6239022191498096e-12,1.6239022191498096e-12,1.3485960185243026e-11,RETAIN
electricity,drift,directional_middle,21024,11,2,14,D,True,0.019697714247169679,0.0029889888587822425,6.5900928968985228,6.5900928968985228,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.1977572991857372e-11,2.1977572991857372e-11,1.2167755375141349e-10,RETAIN
electricity,drift,directional_all,34992,11,2,14,D,True,0.016454788492395379,0.0021604553871965929,7.6163518996553385,7.6163518996553385,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.3047283799797261e-14,1.3047283799797261e-14,7.2235527391853737e-14,RETAIN
electricity,histgbr_lag,complementary_all,34992,11,2,14,D,True,0.012935027232924837,0.0017268800395336059,7.4904028865944374,7.4904028865944374,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.4331257558681913e-14,3.4331257558681913e-14,1.1404380561487386e-13,RETAIN
electricity,histgbr_lag,complementary_middle,21024,11,2,14,D,True,0.014858638473516747,0.0026348995261700329,5.6391670065365149,5.6391670065365149,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,8.5437374534968466e-09,8.5437374534968466e-09,2.8381143094034703e-08,RETAIN
electricity,histgbr_lag,directional_middle,21024,11,2,14,D,True,0.015936140607701651,0.0027102559284689722,5.879939396241447,5.879939396241447,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.052083603612991e-09,2.052083603612991e-09,7.513349503778172e-09,RETAIN
electricity,histgbr_lag,directional_all,34992,11,2,14,D,True,0.01257791700636611,0.0018607576316579473,6.7595676042769224,6.7595676042769224,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,6.9202084351425966e-12,6.9202084351425966e-12,2.2987998742627852e-11,RETAIN
electricity,holt_winters,complementary_all,34992,11,2,14,D,True,0.012364927624776109,0.0013707922947147116,9.0202780336969202,9.0202780336969202,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,9.3806266975036875e-20,9.3806266975036875e-20,6.2322352497994527e-19,RETAIN
electricity,holt_winters,complementary_middle,21024,11,2,14,D,True,0.01298860789332293,0.0018551424922038514,7.0014071414497492,7.0014071414497492,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.2670218021542374e-12,1.2670218021542374e-12,1.3485960185243026e-11,RETAIN
electricity,holt_winters,directional_middle,21024,11,2,14,D,True,0.012192376431269823,0.0011224521984173198,10.862267852886136,10.862267852886136,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,8.718215877099787e-28,8.718215877099787e-28,2.8960736876503976e-26,RETAIN
electricity,holt_winters,directional_all,34992,11,2,14,D,True,0.011694952145373645,0.0010105584998433216,11.57276114859936,11.57276114859936,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.831517351434609e-31,2.831517351434609e-31,9.4059186113469258e-30,RETAIN
electricity,lasso_lag,complementary_all,34992,11,2,14,D,True,0.014181085173273534,0.0016980076230683223,8.3516027729299154,8.3516027729299154,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.367140629059485e-17,3.367140629059485e-17,1.2427985414426743e-16,RETAIN
