signal,lag,n,calendar_gaps,alpha,alpha_sign,standard_error,statistic,p_two_sided,by_reject,by_adjusted_p
AM,6,738,0,0.21033875619451,positive,0.11821959083668976,1.779220810238423,0.07520356788709315,False,0.5633399080060159
AM,12,738,0,0.21033875619451,positive,0.1292957507401903,1.6268033171265563,0.1037788769148869,False,0.7682479322548258
AM,24,738,0,0.21033875619451,positive,0.14539942826963584,1.4466271201867966,0.1480013862687228,False,1.0
AOP,6,582,0,0.23980063636720622,positive,0.09136723355397548,2.6245802465447663,0.008675584651270876,False,0.0827115530349697
AOP,12,582,0,0.23980063636720622,positive,0.08702540218138555,2.7555245980638374,0.005859809821515749,False,0.05899495351226623
AOP,24,582,0,0.23980063636720622,positive,0.08915324496823512,2.689757803573454,0.0071503893093543165,False,0.07085448111743668
AbnormalAccruals,6,630,0,0.2041319284047901,positive,0.09030629147947536,2.260439721978671,0.023793973548645386,False,0.20369998387182447
AbnormalAccruals,12,630,0,0.2041319284047901,positive,0.09718794549817578,2.1003832045057655,0.03569514526198456,False,0.29360204604969553
AbnormalAccruals,24,630,0,0.2041319284047901,positive,0.10762088233801828,1.8967687680133265,0.05785846306018561,False,0.4579426822506678
Accruals,6,738,0,0.41571929557284093,positive,0.07468347681758739,5.566415936797177,2.6003213590965044e-08,True,8.390807760145259e-07
Accruals,12,738,0,0.41571929557284093,positive,0.08241827965821655,5.044018114631886,4.558561153757052e-07,True,1.247128800010696e-05
Accruals,24,738,0,0.41571929557284093,positive,0.0910662966087384,4.565018135732006,4.994511608835247e-06,True,0.00012324355174439124
AccrualsBM,6,725,1,1.2991618961892317,positive,0.1763805168302531,7.365676887314785,1.7625024924195864e-13,True,1.7061913758007297e-11
AccrualsBM,12,725,1,1.2991618961892317,positive,0.17474903524806057,7.434443883166733,1.0500879465035248e-13,True,1.6518744708313243e-11
AccrualsBM,24,725,1,1.2991618961892317,positive,0.1684681663847018,7.711616527139964,1.242339504548582e-14,True,2.9300680238322168e-12
Activism1,6,197,0,0.0970926598101783,positive,0.1479350127693494,0.6563196770838748,0.5116184595240396,False,1.0
Activism1,12,197,0,0.0970926598101783,positive,0.1264063949723829,0.7680992708588119,0.4424282100735405,False,1.0
Activism1,24,197,0,0.0970926598101783,positive,0.11930167286448604,0.8138415621419256,0.41573572175881157,False,1.0
Activism2,6,197,0,-0.1129415357659449,negative,0.27372388700934636,-0.41261117909701645,0.6798915094661933,False,1.0
Activism2,12,197,0,-0.1129415357659449,negative,0.26955302059329295,-0.41899562289214104,0.6752193312845858,False,1.0
Activism2,24,197,0,-0.1129415357659449,negative,0.23552306403159542,-0.4795349289052803,0.6315581257390447,False,1.0
AdExp,6,726,0,0.313876120156575,positive,0.1600861896196603,1.96066956745173,0.04991758132402189,False,0.3926222489714173
AdExp,12,726,0,0.313876120156575,positive,0.15402118152295224,2.037876330079971,0.04156230230975699,False,0.33528672093762313
AdExp,24,726,0,0.313876120156575,positive,0.129800422903351,2.4181440486544963,0.015599899871615225,False,0.14435248260563358
AgeIPO,6,528,1,0.2825064206051993,positive,0.2507555662132456,1.126620736167238,0.2599028680317764,False,1.0
AgeIPO,12,528,1,0.2825064206051993,positive,0.2568454668253536,1.0999081435892903,0.27137214615283667,False,1.0
AgeIPO,24,528,1,0.2825064206051993,positive,0.26779313022166934,1.0549427476774735,0.2914515099505469,False,1.0
AnalystRevision,6,586,0,0.5183122402226327,positive,0.0711568235223099,7.284083445070107,3.2386451770289807e-13,True,2.717149069696369e-11
AnalystRevision,12,586,0,0.5183122402226327,positive,0.0790281961077162,6.558573594621444,5.432489533760615e-11,True,3.598211209985855e-09
AnalystRevision,24,586,0,0.5183122402226327,positive,0.09220571309811844,5.621259494746095,1.895702724651737e-08,True,8.226471383204155e-07
AnalystValue,6,582,0,-0.23195276203713902,negative,0.12314056339873497,-1.8836422023347823,0.059613389290447016,False,0.4602539926439097
AnalystValue,12,582,0,-0.23195276203713902,negative,0.11711057049976147,-1.9806304507551815,0.04763273147622908,False,0.37700726326690953
AnalystValue,24,582,0,-0.23195276203713902,negative,0.11144883502405491,-2.081248870722379,0.03741113243926089,False,0.30374596070529736
AnnouncementReturn,6,640,0,0.8243408201529883,positive,0.07432112431245262,11.091608580723108,1.3778748731754687e-28,True,5.780027179824067e-26
AnnouncementReturn,12,640,0,0.8243408201529883,positive,0.07425781903571355,11.101064249631811,1.2395894665929591e-28,True,5.19993574758983e-26
AnnouncementReturn,24,640,0,0.8243408201529883,positive,0.07451100057111132,11.063343853049716,1.8892043801758716e-28,True,2.377498758031702e-25
AssetGrowth,6,738,0,0.9617189402239539,positive,0.14386757279489795,6.684751271886752,2.3131718427417204e-11,True,1.3232032876670964e-09
AssetGrowth,12,738,0,0.9617189402239539,positive,0.15218850394291533,6.319261411392064,2.628163707736644e-10,True,1.632340266560392e-08
AssetGrowth,24,738,0,0.9617189402239539,positive,0.16561102588364662,5.807094878451082,6.356611921297802e-09,True,3.333157312755501e-07
BM,6,738,0,0.45244301883592514,positive,0.12479049770479304,3.6256207576496218,0.0002882681487178721,True,0.004076129819744822
BM,12,738,0,0.45244301883592514,positive,0.1249552599904749,3.6208401220598,0.0002936479399626512,True,0.004247653290476389
BM,24,738,0,0.45244301883592514,positive,0.13628360882617396,3.319863795307944,0.0009006137663903713,True,0.011806161043725706
BMdec,6,738,0,0.4794804859489732,positive,0.09484392351786548,5.055468691767636,4.293350599425879e-07,True,1.0390450222815132e-05
BMdec,12,738,0,0.4794804859489732,positive,0.09919656641534325,4.8336399461787165,1.3405895911118708e-06,True,3.308011585115092e-05
BMdec,24,738,0,0.4794804859489732,positive,0.10437984098890858,4.593611959994487,4.3563911889734045e-06,True,0.00010964737060709467
BPEBM,6,738,0,0.2366791412974191,positive,0.058128307915699354,4.071667484982761,4.6677781345276945e-05,True,0.0007938159858463102
BPEBM,12,738,0,0.2366791412974191,positive,0.058011252337346615,4.079883328859792,4.505831007312348e-05,True,0.0007767716991384527
BPEBM,24,738,0,0.2366791412974191,positive,0.05566811780759649,4.251610268474386,2.1223896650375222e-05,True,0.00042396101931412277
Beta,6,738,0,0.13362000587693507,positive,0.1689537467947751,0.7908673729458083,0.4290213895453243,False,1.0
Beta,12,738,0,0.13362000587693507,positive,0.17988447451139802,0.7428101076531121,0.4575966551196563,False,1.0
Beta,24,738,0,0.13362000587693507,positive,0.20629164455487908,0.647723790099451,0.5171636143281364,False,1.0
