model,rows,observed_periods,supplied_cohort_sha256,parsed_cohort_sha256,ordered_fold_sha256,fold_0_periods,fold_1_periods,fold_2_periods,fold_3_periods,fold_4_periods
dlinear,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
drift,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
histgbr_lag,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
holt_winters,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
lasso_lag,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
linear_lag,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
naive_1,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
ridge_lag,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
seasonal_naive_7,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
ses,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
theta,34992,729,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,13bf4f9941747534fffc096c7e8898f7886248e3faee0b25f72b247a16a18851,146,146,146,146,145
