model,row_count,cluster_count,singleton_clusters,minimum_cluster_size,maximum_cluster_size,nonconstant_forecast_clusters,nonconstant_baseline_clusters,same_weak_order_clusters,reversed_weak_order_clusters,exact_baseline_copy,zero_forecast_rank_variation,same_weak_order,reversed_weak_order,abstain,reason
dlinear,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
drift,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
histgbr_lag,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
holt_winters,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
lasso_lag,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
linear_lag,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
naive_1,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
ridge_lag,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
seasonal_naive_7,34992,729,0,48,48,729,729,729,0,True,False,True,False,True,exact_observed_baseline_copy
ses,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
theta,34992,729,0,48,48,729,729,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
