model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,final_label,label_scope,finite_certificate_issued,short_panel_empirical_concern,guard_reason
dlinear,contiguous,2,14,34992,729,0,0.016424778683149968,0.0018743633107999467,8.76285754661947,9.518107961439743e-19,computed,0.028764023256008978,0.021141800863718297,0.019116121586904778,0.018481846328304439,0.017133355902135959,9.518107961439743e-19,8.76285754661947,True,False,no_exact_sample_redundancy_detected,False,False,9.518107961439743e-19,True,NOMINAL_POSITIVE,True,5.2696450764555704e-18,True,5.2696450764555704e-18,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
drift,contiguous,2,14,34992,729,0,0.018744925795639918,0.0020676210490288473,9.0659387533534392,6.1767920290226065e-20,computed,0.030949269719130212,0.023286824639384491,0.021255220233439003,0.021073889846950127,0.019327776343700313,6.1767920290226065e-20,9.0659387533534392,True,False,no_exact_sample_redundancy_detected,False,False,6.1767920290226065e-20,True,NOMINAL_POSITIVE,True,5.1486679449223741e-19,True,5.1486679449223741e-19,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
histgbr_lag,contiguous,2,14,34992,729,0,0.012935027232924837,0.0017268800395336059,7.4904028865944374,3.4331257558681913e-14,computed,0.025337385584969167,0.017636257528221861,0.01564150961370293,0.014997131973123775,0.013666680716427919,3.4331257558681913e-14,7.4904028865944374,True,False,no_exact_sample_redundancy_detected,False,False,3.4331257558681913e-14,True,NOMINAL_POSITIVE,True,1.1404380561487386e-13,True,1.1404380561487386e-13,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
holt_winters,contiguous,2,14,34992,729,0,0.012364927624776109,0.0013707922947147116,9.0202780336969202,9.3806266975036875e-20,computed,0.02284542623246516,0.016655885127541879,0.014903741770390845,0.013628916142302163,0.013126200406235768,9.3806266975036875e-20,9.0202780336969202,True,False,no_exact_sample_redundancy_detected,False,False,9.3806266975036875e-20,True,NOMINAL_POSITIVE,True,6.2322352497994527e-19,True,6.2322352497994527e-19,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
lasso_lag,contiguous,2,14,34992,729,0,0.014181085173273534,0.0016980076230683225,8.3516027729299136,3.3671406290595324e-17,computed,0.026317949138488658,0.018778088992648701,0.016761100541251298,0.016345274362269995,0.014811510014579832,3.3671406290595324e-17,8.3516027729299136,True,False,no_exact_sample_redundancy_detected,False,False,3.3671406290595324e-17,True,NOMINAL_POSITIVE,True,1.2427985414426918e-16,True,1.2427985414426918e-16,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
linear_lag,contiguous,2,14,34992,729,0,0.014161779694399993,0.00169475250033349,8.3562524271911478,3.2371048413929353e-17,computed,0.026295756569279613,0.018759385757553936,0.016739524878682122,0.016326547671168957,0.014791550393240524,3.2371048413929353e-17,8.3562524271911478,True,False,no_exact_sample_redundancy_detected,False,False,3.2371048413929353e-17,True,NOMINAL_POSITIVE,True,1.2427985414426918e-16,True,1.2427985414426918e-16,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
naive_1,contiguous,2,14,34992,729,0,0.018772741766643744,0.0020707815334970753,9.0655346606944516,6.1997315627357857e-20,computed,0.03098923224024587,0.0233162867286381,0.021286679944740872,0.021102634509600551,0.019357759135000607,6.1997315627357857e-20,9.0655346606944516,True,False,no_exact_sample_redundancy_detected,False,False,6.1997315627357857e-20,True,NOMINAL_POSITIVE,True,5.1486679449223741e-19,True,5.1486679449223741e-19,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
ridge_lag,contiguous,2,14,34992,729,0,0.015082634535626844,0.0017677621808969222,8.5320495588237204,7.1888717614481126e-18,computed,0.027273428653530985,0.019777559324138463,0.017706107279056305,0.017146796961133678,0.015764778755919272,7.1888717614481126e-18,8.5320495588237204,True,False,no_exact_sample_redundancy_detected,False,False,7.1888717614481126e-18,True,NOMINAL_POSITIVE,True,3.411494580626887e-17,True,3.411494580626887e-17,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
seasonal_naive_7,contiguous,2,14,34992,729,0,-0.00038159831740872791,7.1254232992983731e-05,-5.355447688929627,0.99999995732758185,computed,0.012325053667027321,0.0046776625503206189,0.0025638403737733564,0.00123919399951536,0.00060760637080058578,0.99999995732758185,-5.355447688929627,False,True,exact_observed_baseline_copy,False,True,1,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1,False,1,11,ABSTAIN,operational normal-reference screen; calibration not established,False,False,exact_observed_baseline_copy
ses,contiguous,2,14,34992,729,0,0.010674247130368934,0.0011328792614840367,9.4222283815011334,2.2080721807549066e-21,computed,0.020733718904154586,0.014636781146478208,0.012959600239705511,0.012282553638567766,0.011206525867898375,2.2080721807549066e-21,9.4222283815011334,True,False,no_exact_sample_redundancy_detected,False,False,2.2080721807549066e-21,True,NOMINAL_POSITIVE,True,7.3349178699672218e-20,True,7.3349178699672218e-20,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
theta,contiguous,2,14,34992,729,0,0.017390939902150002,0.001882314213336264,9.2391269103397118,1.2425836313398486e-20,computed,0.029632125533076519,0.022028848247780865,0.019978538798593029,0.019556601858434643,0.018052221007370646,1.2425836313398486e-20,9.2391269103397118,True,False,no_exact_sample_redundancy_detected,False,False,1.2425836313398486e-20,True,NOMINAL_POSITIVE,True,2.0638475865692471e-19,True,2.0638475865692471e-19,11,RETAIN,operational normal-reference screen; calibration not established,False,False,none
