screen,model,ordered_rank,family_size,harmonic_factor,pvalue,rank_cutoff,passes_own_rank_cutoff,step_up_last_passing_rank,step_up_cutoff,retained_by_step_up,final_label
raw,Last month,1,10,2.9289682539682538,0.072972454413337162,0.0017070857607370277,False,0,0,False,NULL
raw,Exponential twelve-month mean,2,10,2.9289682539682538,0.098338703258946725,0.0034141715214740555,False,0,0,False,NULL
raw,Elastic net,3,10,2.9289682539682538,0.17182457331152917,0.0051212572822110832,False,0,0,False,NULL
raw,Ridge,4,10,2.9289682539682538,0.17298882231054957,0.006828343042948111,False,0,0,False,NULL
raw,Trailing twelve-month return,5,10,2.9289682539682538,0.19494714814485409,0.0085354288036851387,False,0,0,False,ABSTAIN
raw,Trailing three-month return,6,10,2.9289682539682538,0.58065406853125456,0.010242514564422166,False,0,0,False,NULL
raw,LightGBM,7,10,2.9289682539682538,0.6060775641670102,0.011949600325159194,False,0,0,False,NULL
raw,Seasonal twelve-month lag,8,10,2.9289682539682538,0.86442207956323669,0.013656686085896222,False,0,0,False,NULL
raw,Small MLP,9,10,2.9289682539682538,0.87229376364684752,0.01536377184663325,False,0,0,False,NULL
raw,Training portfolio mean,10,10,2.9289682539682538,0.98262563157473293,0.017070857607370277,False,0,0,False,NULL
guarded,Last month,1,10,2.9289682539682538,0.072972454413337162,0.0017070857607370277,False,0,0,False,NULL
guarded,Exponential twelve-month mean,2,10,2.9289682539682538,0.098338703258946725,0.0034141715214740555,False,0,0,False,NULL
guarded,Elastic net,3,10,2.9289682539682538,0.17182457331152917,0.0051212572822110832,False,0,0,False,NULL
guarded,Ridge,4,10,2.9289682539682538,0.17298882231054957,0.006828343042948111,False,0,0,False,NULL
guarded,Trailing three-month return,5,10,2.9289682539682538,0.58065406853125456,0.0085354288036851387,False,0,0,False,NULL
guarded,LightGBM,6,10,2.9289682539682538,0.6060775641670102,0.010242514564422166,False,0,0,False,NULL
guarded,Seasonal twelve-month lag,7,10,2.9289682539682538,0.86442207956323669,0.011949600325159194,False,0,0,False,NULL
guarded,Small MLP,8,10,2.9289682539682538,0.87229376364684752,0.013656686085896222,False,0,0,False,NULL
guarded,Training portfolio mean,9,10,2.9289682539682538,0.98262563157473293,0.01536377184663325,False,0,0,False,NULL
guarded,Trailing twelve-month return,10,10,2.9289682539682538,1,0.017070857607370277,False,0,0,False,ABSTAIN
