model,rows,observed_periods,supplied_cohort_sha256,parsed_cohort_sha256,ordered_fold_sha256,fold_0_periods,fold_1_periods,fold_2_periods,fold_3_periods,fold_4_periods
Elastic net,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Exponential twelve-month mean,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Last month,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
LightGBM,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Ridge,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Seasonal twelve-month lag,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Small MLP,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Trailing three-month return,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Trailing twelve-month return,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
Training portfolio mean,27272,132,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,4affe28d0c6a33a65793190ba5d321e5a0deb7dee4725307db68fc51590bd27f,27,27,26,26,26
