model,row_count,cluster_count,singleton_clusters,minimum_cluster_size,maximum_cluster_size,nonconstant_forecast_clusters,nonconstant_baseline_clusters,same_weak_order_clusters,reversed_weak_order_clusters,exact_baseline_copy,zero_forecast_rank_variation,same_weak_order,reversed_weak_order,abstain,reason
Elastic net,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
Exponential twelve-month mean,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
Last month,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
LightGBM,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
Ridge,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
Seasonal twelve-month lag,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
Small MLP,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
Trailing three-month return,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
Trailing twelve-month return,27272,132,0,198,209,132,132,132,0,True,False,True,False,True,exact_observed_baseline_copy
Training portfolio mean,27272,132,0,198,209,132,132,0,0,False,False,False,False,False,no_exact_sample_redundancy_detected
