model,rows,observed_periods,supplied_cohort_sha256,parsed_cohort_sha256,ordered_fold_sha256,fold_0_periods,fold_1_periods,fold_2_periods,fold_3_periods,fold_4_periods
Alternating least squares,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
Global mean,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
Item mean,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
Item nearest neighbours,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
SVD (32 factors),12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
SVD (40 factors),12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
SVD interaction,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
Slope One,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
User and item bias,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
User mean,12088,279,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,983696f9741d78d2a9ef5e0d240c0f60521b42f520a73b34852d5932cef1a147,56,56,56,56,55
