model,resolution_q,beta,weight,mean_residual_product,weighted_mean_contribution,combined_mean,standard_error,statistic,normal_p_one_sided
Alternating least squares,8,2,-0.20463945033686862,0.19439965739391593,-0.039781839034766536,0.18936057708658732,0.014859311967678663,12.743562925287275,1.692860927125186e-37
Alternating least squares,12,2,0.15424254552731625,0.19127314594162176,0.029502456921053601,0.18936057708658732,0.014859311967678663,12.743562925287275,1.692860927125186e-37
Alternating least squares,16,2,0.27985124407978113,0.19004663744024533,0.053184787920831769,0.18936057708658732,0.014859311967678663,12.743562925287275,1.692860927125186e-37
Alternating least squares,24,2,0.36957174304582741,0.19023365739859704,0.070304984350782265,0.18936057708658732,0.014859311967678663,12.743562925287275,1.692860927125186e-37
Alternating least squares,32,2,0.40097391768394358,0.18991306808317021,0.076150186928686261,0.18936057708658732,0.014859311967678663,12.743562925287275,1.692860927125186e-37
Global mean,8,2,-0.20463945033686862,0,-0,0,0,,1
Global mean,12,2,0.15424254552731625,0,0,0,0,,1
Global mean,16,2,0.27985124407978113,0,0,0,0,,1
Global mean,24,2,0.36957174304582741,0,0,0,0,,1
Global mean,32,2,0.40097391768394358,0,0,0,0,,1
Item mean,8,2,-0.20463945033686862,0.0095943606022818595,-0.0019633846799846674,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
Item mean,12,2,0.15424254552731625,0.0054814690550437362,0.00084547574027915866,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
Item mean,16,2,0.27985124407978113,0.0026058441408775006,0.00072924872470257697,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
Item mean,24,2,0.36957174304582741,0.002200524980558147,0.00081325185268075985,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
Item mean,32,2,0.40097391768394358,0.0011419315567498596,0.00045788477003691578,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
Item nearest neighbours,8,2,-0.20463945033686862,0.18981735710542724,-0.038844119622451732,0.18235442203648225,0.014106708952613756,12.926787009573539,1.5891269146153602e-38
Item nearest neighbours,12,2,0.15424254552731625,0.18573932984792718,0.028648907040282119,0.18235442203648225,0.014106708952613756,12.926787009573539,1.5891269146153602e-38
