model,rows,observed_periods,supplied_cohort_sha256,parsed_cohort_sha256,ordered_fold_sha256,fold_0_periods,fold_1_periods,fold_2_periods,fold_3_periods,fold_4_periods
Croston SBA,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Eight week mean,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Exponential smoothing,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Four week mean,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Last week,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Past price and calendar,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Past price calendar and history,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Ridge with history,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Theta,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
Training series mean,112000,28,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,c83e7013285dae8afeeec164a5ef2e5fb081030d3cb30b61cd37f76592ec008c,6,6,6,5,5
