model,resolution_q,beta,weight,mean_residual_product,weighted_mean_contribution,combined_mean,standard_error,statistic,normal_p_one_sided
Croston SBA,8,2,-0.20463945033686862,-0.017206435888449109,0.003521115582468795,-0.016164966702066887,0.001881619142788107,-8.5909875885479643,1
Croston SBA,12,2,0.15424254552731625,-0.01513680293742454,-0.0023347390162137189,-0.016164966702066887,0.001881619142788107,-8.5909875885479643,1
Croston SBA,16,2,0.27985124407978113,-0.017132459062469019,-0.0047945399827778751,-0.016164966702066887,0.001881619142788107,-8.5909875885479643,1
Croston SBA,24,2,0.36957174304582741,-0.015880785035456819,-0.0058690894064898688,-0.016164966702066887,0.001881619142788107,-8.5909875885479643,1
Croston SBA,32,2,0.40097391768394358,-0.016678675554966202,-0.0066877138790542197,-0.016164966702066887,0.001881619142788107,-8.5909875885479643,1
Eight week mean,8,2,-0.20463945033686862,0.030151016488015187,-0.0061700874412052905,0.036028685081427571,0.0093808411536916436,3.8406667900190592,6.135028571319296e-05
Eight week mean,12,2,0.15424254552731625,0.033961471563141624,0.0052383038237525286,0.036028685081427571,0.0093808411536916436,3.8406667900190592,6.135028571319296e-05
Eight week mean,16,2,0.27985124407978113,0.032077129489518075,0.0089768245941498678,0.036028685081427571,0.0093808411536916436,3.8406667900190592,6.135028571319296e-05
Eight week mean,24,2,0.36957174304582741,0.039547626170955155,0.014615685137324677,0.036028685081427571,0.0093808411536916436,3.8406667900190592,6.135028571319296e-05
Eight week mean,32,2,0.40097391768394358,0.033338724485173908,0.013367958967405797,0.036028685081427571,0.0093808411536916436,3.8406667900190592,6.135028571319296e-05
Exponential smoothing,8,2,-0.20463945033686862,0.031969398572766851,-0.0065422001515312803,0.041595793878583365,0.0096967749942340857,4.2896523744561605,8.9476500483701796e-06
Exponential smoothing,12,2,0.15424254552731625,0.038116589962755437,0.0058791998626763512,0.041595793878583365,0.0096967749942340857,4.2896523744561605,8.9476500483701796e-06
Exponential smoothing,16,2,0.27985124407978113,0.035680878652090117,0.0099853382806471234,0.041595793878583365,0.0096967749942340857,4.2896523744561605,8.9476500483701796e-06
Exponential smoothing,24,2,0.36957174304582741,0.04652765281623801,0.017195305751128181,0.041595793878583365,0.0096967749942340857,4.2896523744561605,8.9476500483701796e-06
Exponential smoothing,32,2,0.40097391768394358,0.037603817781354833,0.015078150135662986,0.041595793878583365,0.0096967749942340857,4.2896523744561605,8.9476500483701796e-06
Four week mean,8,2,-0.20463945033686862,0.05198989102899032,-0.010639182723246276,0.06097165474591551,0.010098253610320605,6.0378415019802372,7.8094682129394496e-10
Four week mean,12,2,0.15424254552731625,0.057772550605814578,0.0089109852670465374,0.06097165474591551,0.010098253610320605,6.0378415019802372,7.8094682129394496e-10
Four week mean,16,2,0.27985124407978113,0.055128190549069159,0.015427692709024237,0.06097165474591551,0.010098253610320605,6.0378415019802372,7.8094682129394496e-10
Four week mean,24,2,0.36957174304582741,0.066334386245277446,0.024515314748542343,0.06097165474591551,0.010098253610320605,6.0378415019802372,7.8094682129394496e-10
Four week mean,32,2,0.40097391768394358,0.056753927726755818,0.022756844744548671,0.06097165474591551,0.010098253610320605,6.0378415019802372,7.8094682129394496e-10
Last week,8,2,-0.20463945033686862,0.0081460797708153149,-0.0016670092866999306,0.026879263144797574,0.013924618855058966,1.9303410329994091,0.026782298007846747
Last week,12,2,0.15424254552731625,0.020084863456970185,0.0030979404661716542,0.026879263144797574,0.013924618855058966,1.9303410329994091,0.026782298007846747
