task,baseline,candidate,weight,bounded_mse,raw_mse
appliances,seasonal_day,persistence,0.69999999999999996,0.02056736920938261,131046.70147261901
appliances,seasonal_day,seasonal_day,0,0.041298396921980812,259901.75050595234
appliances,seasonal_day,seasonal_week,0.65000000000000002,0.028796925754577606,182671.6212380456
appliances,seasonal_day,ridge_full,0.94999999999999996,0.023903569716204786,152336.47406692701
appliances,seasonal_day,hist_gradient_boosting,1,0.018651651649886511,119428.59009251214
appliances,seasonal_day,extra_trees,1.1000000000000001,0.017748898090906903,114034.66760580741
appliances,seasonal_day,category_copy,0.050000000000000003,0.041398034148503092,260414.88896054929
appliances,seasonal_day,independent_noise,0.14999999999999999,0.039263683759448983,247270.7006914723
appliances,ridge,persistence,0.050000000000000003,0.020447438040141409,130251.45501458643
appliances,ridge,seasonal_day,0,0.020803959959488867,132473.15326478585
appliances,ridge,seasonal_week,0.10000000000000001,0.020214654935871264,128944.46381289601
appliances,ridge,ridge_full,0,0.020803959959488867,132473.15326478585
appliances,ridge,hist_gradient_boosting,0.65000000000000002,0.018049049947729899,115674.29273491938
appliances,ridge,extra_trees,1,0.017276876960937562,111262.58745113514
appliances,ridge,category_copy,0.050000000000000003,0.022732291520320407,144116.79136489751
appliances,ridge,independent_noise,0,0.020803959959488867,132473.15326478585
metro,seasonal_day,persistence,0.40000000000000002,0.011288732829835614,512791.10594045673
metro,seasonal_day,seasonal_day,0,0.022417207734206961,1016372.8879008377
metro,seasonal_day,seasonal_week,0.69999999999999996,0.0065698644543705229,298424.49707669002
metro,seasonal_day,ridge_full,0.90000000000000002,0.0053810870547546467,244784.03469732701
metro,seasonal_day,hist_gradient_boosting,1,0.0015449458216217418,70909.363132627695
metro,seasonal_day,extra_trees,1.05,0.0014384640528834641,66073.700420029287
metro,seasonal_day,category_copy,0,0.022417207734206961,1016372.8879008377
metro,seasonal_day,independent_noise,0.050000000000000003,0.021747478998488345,986363.28107161506
metro,ridge,persistence,0,0.0052521276337665779,238913.74826260598
metro,ridge,seasonal_day,0.10000000000000001,0.0053747165425689549,244483.60606657475
metro,ridge,seasonal_week,0.40000000000000002,0.0046293095139142131,210588.07474469827
metro,ridge,ridge_full,0,0.0052521276337665779,238913.74826260598
metro,ridge,hist_gradient_boosting,1.1000000000000001,0.0015706208767731736,72058.455726350076
metro,ridge,extra_trees,1.1000000000000001,0.0013722438312609921,63077.040971857132
metro,ridge,category_copy,0,0.0052521276337665779,238913.74826260598
metro,ridge,independent_noise,0,0.0052521276337665779,238913.74826260598
