task,baseline,method,block,rows,first,last,bounded_gain_vs_baseline,bounded_gain_vs_ungated,bounded_gain_vs_convex
appliances,seasonal_day,reference_u,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0,-0.038438427101800239,-0.039178999586485637
appliances,seasonal_day,reference_u,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0,-0.02550501355865337,-0.02638111412127794
appliances,seasonal_day,reference_u,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0,-0.025043735412644697,-0.025052227141696536
appliances,seasonal_day,reference_u,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0,-0.022578637964521912,-0.023120429384351885
appliances,seasonal_day,reference_u,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0,-0.004187900450010505,-0.0049740433889806689
appliances,seasonal_day,reference_u,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0,-0.025543278498812754,-0.025422306143466827
appliances,seasonal_day,reference_betting,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0,-0.038438427101800239,-0.039178999586485637
appliances,seasonal_day,reference_betting,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0,-0.02550501355865337,-0.02638111412127794
appliances,seasonal_day,reference_betting,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0,-0.025043735412644697,-0.025052227141696536
appliances,seasonal_day,reference_betting,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0,-0.022578637964521912,-0.023120429384351885
appliances,seasonal_day,reference_betting,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0,-0.004187900450010505,-0.0049740433889806689
appliances,seasonal_day,reference_betting,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0,-0.025543278498812754,-0.025422306143466827
appliances,seasonal_day,known_forecast_u,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0.038438427101800239,0,-0.0007405724846854052
appliances,seasonal_day,known_forecast_u,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0.02550501355865337,0,-0.00087610056262457398
appliances,seasonal_day,known_forecast_u,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0.025043735412644697,0,-8.4917290518428918e-06
appliances,seasonal_day,known_forecast_u,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0.022578637964521912,0,-0.00054179141982997375
appliances,seasonal_day,known_forecast_u,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0.004187900450010505,0,-0.00078614293897016365
appliances,seasonal_day,known_forecast_u,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0.025543278498812754,0,0.00012097235534592161
appliances,seasonal_day,known_forecast_pairs,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0.038438427101800239,0,-0.0007405724846854052
appliances,seasonal_day,known_forecast_pairs,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0.02550501355865337,0,-0.00087610056262457398
appliances,seasonal_day,known_forecast_pairs,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0.025043735412644697,0,-8.4917290518428918e-06
appliances,seasonal_day,known_forecast_pairs,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0.022578637964521912,0,-0.00054179141982997375
appliances,seasonal_day,known_forecast_pairs,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0.004187900450010505,0,-0.00078614293897016365
appliances,seasonal_day,known_forecast_pairs,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0.025543278498812754,0,0.00012097235534592161
appliances,seasonal_day,loss_gain,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0.038438427101800239,0,-0.0007405724846854052
appliances,seasonal_day,loss_gain,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0.02550501355865337,0,-0.00087610056262457398
appliances,seasonal_day,loss_gain,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0.025043735412644697,0,-8.4917290518428918e-06
appliances,seasonal_day,loss_gain,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0.022578637964521912,0,-0.00054179141982997375
appliances,seasonal_day,loss_gain,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0.004187900450010505,0,-0.00078614293897016365
appliances,seasonal_day,loss_gain,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0.025543278498812754,0,0.00012097235534592161
appliances,seasonal_day,ungated,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0.038438427101800239,0,-0.0007405724846854052
appliances,seasonal_day,ungated,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0.02550501355865337,0,-0.00087610056262457398
appliances,seasonal_day,ungated,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0.025043735412644697,0,-8.4917290518428918e-06
appliances,seasonal_day,ungated,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0.022578637964521912,0,-0.00054179141982997375
appliances,seasonal_day,ungated,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0.004187900450010505,0,-0.00078614293897016365
appliances,seasonal_day,ungated,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0.025543278498812754,0,0.00012097235534592161
appliances,seasonal_day,convex,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0.039178999586485637,0.0007405724846854052,0
appliances,seasonal_day,convex,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0.02638111412127794,0.00087610056262457398,0
appliances,seasonal_day,convex,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0.025052227141696536,8.4917290518428918e-06,0
appliances,seasonal_day,convex,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0.023120429384351885,0.00054179141982997375,0
appliances,seasonal_day,convex,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0.0049740433889806689,0.00078614293897016365,0
appliances,seasonal_day,convex,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0.025422306143466827,-0.00012097235534592161,0
appliances,seasonal_day,baseline,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0,-0.038438427101800239,-0.039178999586485637
appliances,seasonal_day,baseline,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0,-0.02550501355865337,-0.02638111412127794
appliances,seasonal_day,baseline,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0,-0.025043735412644697,-0.025052227141696536
appliances,seasonal_day,baseline,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0,-0.022578637964521912,-0.023120429384351885
appliances,seasonal_day,baseline,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0,-0.004187900450010505,-0.0049740433889806689
appliances,seasonal_day,baseline,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0,-0.025543278498812754,-0.025422306143466827
appliances,ridge,reference_u,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0,-0.0015338815723705153,-0.0015338815723705153
appliances,ridge,reference_u,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0,0.00088180959029692766,0.00088180959029692766
appliances,ridge,reference_u,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0,-0.0014743504462055427,-0.0014743504462055427
appliances,ridge,reference_u,3,168,2016-04-26 00:00:00,2016-05-02 23:00:00,0,-0.0030640572192951378,-0.0030640572192951378
appliances,ridge,reference_u,4,168,2016-05-03 00:00:00,2016-05-09 23:00:00,0,-0.0070162771349716099,-0.0070162771349716099
appliances,ridge,reference_u,5,168,2016-05-10 00:00:00,2016-05-16 23:00:00,0,-0.0089557412087619449,-0.0089557412087619449
appliances,ridge,reference_betting,0,168,2016-04-05 00:00:00,2016-04-11 23:00:00,0,-0.0015338815723705153,-0.0015338815723705153
appliances,ridge,reference_betting,1,168,2016-04-12 00:00:00,2016-04-18 23:00:00,0,0.00088180959029692766,0.00088180959029692766
appliances,ridge,reference_betting,2,168,2016-04-19 00:00:00,2016-04-25 23:00:00,0,-0.0014743504462055427,-0.0014743504462055427
