task,baseline,method,selected,selection_loss,retained
appliances,seasonal_day,reference_u,baseline,0.046777606786498047,
appliances,seasonal_day,reference_betting,baseline,0.046777606786498047,
appliances,seasonal_day,known_forecast_u,extra_trees,0.014403740752299306,persistence;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees
appliances,seasonal_day,known_forecast_pairs,extra_trees,0.014403740752299306,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees
appliances,seasonal_day,loss_gain,extra_trees,0.014403740752299306,persistence;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;independent_noise
appliances,seasonal_day,ungated,extra_trees,0.014403740752299306,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
appliances,seasonal_day,convex,extra_trees,0.015210501550141571,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
appliances,seasonal_day,baseline,baseline,0.046777606786498047,
appliances,ridge,reference_u,baseline,0.016336215220869092,
appliances,ridge,reference_betting,baseline,0.016336215220869092,
appliances,ridge,known_forecast_u,extra_trees,0.015210501550141571,persistence;seasonal_day;ridge_full;hist_gradient_boosting;extra_trees
appliances,ridge,known_forecast_pairs,extra_trees,0.015210501550141571,persistence;seasonal_day;ridge_full;hist_gradient_boosting;extra_trees
appliances,ridge,loss_gain,baseline,0.016336215220869092,
appliances,ridge,ungated,extra_trees,0.015210501550141571,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
appliances,ridge,convex,extra_trees,0.015210501550141571,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
appliances,ridge,baseline,baseline,0.016336215220869092,
metro,seasonal_day,reference_u,baseline,0.021676943212761313,
metro,seasonal_day,reference_betting,baseline,0.021676943212761313,
metro,seasonal_day,known_forecast_u,extra_trees,0.0022462024494220587,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees
metro,seasonal_day,known_forecast_pairs,extra_trees,0.0022462024494220587,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees
metro,seasonal_day,loss_gain,extra_trees,0.0022462024494220587,persistence;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees
metro,seasonal_day,ungated,extra_trees,0.0022462024494220587,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
metro,seasonal_day,convex,extra_trees,0.0021753931720602001,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
metro,seasonal_day,baseline,baseline,0.021676943212761313,
metro,ridge,reference_u,baseline,0.0059836025108103439,
metro,ridge,reference_betting,baseline,0.0059836025108103439,
metro,ridge,known_forecast_u,extra_trees,0.002152044102122191,persistence;hist_gradient_boosting;extra_trees
metro,ridge,known_forecast_pairs,extra_trees,0.002152044102122191,persistence;hist_gradient_boosting;extra_trees
metro,ridge,loss_gain,extra_trees,0.002152044102122191,hist_gradient_boosting;extra_trees
metro,ridge,ungated,extra_trees,0.002152044102122191,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
metro,ridge,convex,extra_trees,0.0021753931720602001,persistence;seasonal_day;seasonal_week;ridge_full;hist_gradient_boosting;extra_trees;category_copy;independent_noise
metro,ridge,baseline,baseline,0.0059836025108103439,
