method,mean,radius,lower,p,bias,variance,width,exact_target,query_calls,distinct_labels,archive_rows,delta,task,baseline,candidate,weight,five_gate_seconds,p_by
reference_u,0.042115401545859521,0.0047420403905664562,-0.0049731378849696408,1,0.042346499040262706,0.0039602240576497895,0.98351378044615378,0.042019251659775658,32768,336,336,0.00022996057818659661,appliances,seasonal_day,persistence,0.69999999999999996,0.06544257327914238,1
reference_betting,0.042401438684672069,,,1,0.042346499040262706,0.0039602240576497895,0.98351378044615378,0.042019251659775658,32768,336,336,0.00022996057818659661,appliances,seasonal_day,persistence,0.69999999999999996,0.065443370491266251,1
known_forecast_u,0.041947029626202358,0.0019136839441496239,0.040033345682052732,2.3601027272475464e-132,0,0.0055313309378776081,0.6385359432234432,0.042019251659775658,32768,336,336,0,appliances,seasonal_day,persistence,0.69999999999999996,0.065443754196166992,5.1315376441010927e-131
known_forecast_pairs,0.041778950927931317,0.0019136956448039344,0.039865255283127385,1.0324121171152276e-131,0,0.0055313309378776081,0.6385359432234432,0.042019251659775658,32768,336,336,0,appliances,seasonal_day,persistence,0.69999999999999996,0.065444156527519226,2.2447589174991088e-130
loss_gain,0.029996614233170002,0.0019709601492202793,0.028025654083949723,4.1824687090878309e-64,0,0.0092814611156962056,2,0.029463098083975878,32768,336,336,0,appliances,seasonal_day,persistence,0.69999999999999996,0.065444536507129669,3.0312939882055611e-63
reference_u,0.00027824029929333899,0.0047953290915057345,-0.041423799100798908,1,0.036906710308586513,0.0022902513919945467,1.3130492954538955,0.00028583707854406041,32768,336,336,0.00022996057818659661,appliances,seasonal_day,seasonal_day,0,0.062544781714677811,1
reference_betting,0.0012605395932832335,,,1,0.036906710308586513,0.0022902513919945467,1.3130492954538955,0.00028583707854406041,32768,336,336,0.00022996057818659661,appliances,seasonal_day,seasonal_day,0,0.062545601278543472,1
known_forecast_u,0.00024237372872406521,0.00024988169966967102,-7.5079709456058114e-06,0.06061060664605205,0,0.00010247234688170952,0.066755548373195431,0.00028583707854406041,32768,336,336,0,appliances,seasonal_day,seasonal_day,0,0.062545962631702423,0.21964129360783621
known_forecast_pairs,0.00030612808347162113,0.00024988292291106115,5.6245160560559979e-05,0.010510844096208533,0,0.00010247234688170952,0.066755548373195431,0.00028583707854406041,32768,336,336,0,appliances,seasonal_day,seasonal_day,0,0.062546312808990479,0.038089296939117584
loss_gain,0,0.00052536914535554176,-0.00052536914535554176,1,0,0,2,0,32768,336,336,0,appliances,seasonal_day,seasonal_day,0,0.062546662986278534,1
reference_u,0.010014186133129162,0.0051965531472813594,-0.034307000564324071,1,0.039124633550171872,0.0048126545996699452,1.069480977973905,0.010057801608400285,32768,336,336,0.00022996057818659661,appliances,seasonal_day,seasonal_week,0.65000000000000002,0.062951628118753433,1
reference_betting,0.010966591903930317,,,1,0.039124633550171872,0.0048126545996699452,1.069480977973905,0.010057801608400285,32768,336,336,0.00022996057818659661,appliances,seasonal_day,seasonal_week,0.65000000000000002,0.062952473759651184,1
known_forecast_u,0.0095821764003072418,0.0022041591339797997,0.0073780172663274416,5.173602730673551e-17,0,0.0076436287355188433,0.66412791077969646,0.010057801608400285,32768,336,336,0,appliances,seasonal_day,seasonal_week,0.65000000000000002,0.062952812761068344,2.2497781017386125e-16
