model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
dlinear,contiguous,1,14,34992,729,0,0.0127133052102189,0.0019482723842729,6.525424942038105,3.3904504324515895e-11,computed,0.0287640232560091,0.0211418008637183,0.0191161215869045,0.0184818463283029,0.0171333559021347,True,1.877103149146528e-10,3.3904504324515895e-11,6.525424942038105,True,False,no_exact_sample_redundancy_detected,False,False,3.3904504324515895e-11,True,NOMINAL_POSITIVE,True,1.8771031491465277e-10,True,1.8771031491465277e-10,11
dlinear,contiguous,2,14,34992,729,0,0.0164247786831488,0.0018743633107999,8.7628575466187,9.518107961504668e-19,computed,0.0287640232560091,0.0211418008637183,0.0191161215869045,0.0184818463283029,0.0171333559021347,True,5.269645076491516e-18,9.518107961504668e-19,8.7628575466187,True,False,no_exact_sample_redundancy_detected,False,False,9.518107961504668e-19,True,NOMINAL_POSITIVE,True,5.269645076491516e-18,True,5.269645076491516e-18,11
drift,contiguous,1,14,34992,729,0,0.0151087593472765,0.0021343071442728,7.078999565652357,7.259942033027585e-13,computed,0.0309492697191289,0.0232868246393844,0.0212552202334388,0.0210738898469485,0.0193277763437008,True,8.038849305909684e-12,7.259942033027585e-13,7.078999565652357,True,False,no_exact_sample_redundancy_detected,False,False,7.259942033027585e-13,True,NOMINAL_POSITIVE,True,8.038849305909684e-12,True,8.038849305909684e-12,11
drift,contiguous,2,14,34992,729,0,0.0187449257956397,0.0020676210490287,9.065938753353752,6.176792029004888e-20,computed,0.0309492697191289,0.0232868246393844,0.0212552202334388,0.0210738898469485,0.0193277763437008,True,5.148667944931997e-19,6.176792029004888e-20,9.065938753353752,True,False,no_exact_sample_redundancy_detected,False,False,6.176792029004888e-20,True,NOMINAL_POSITIVE,True,5.148667944931997e-19,True,5.148667944931997e-19,11
histgbr_lag,contiguous,1,14,34992,729,0,0.0092141535274744,0.0018086962297905,5.094362102220823,1.7495870782464605e-07,computed,0.0253373855849688,0.017636257528222,0.0156415096137026,0.0149971319731222,0.013666680716428,True,5.811892218535294e-07,1.7495870782464605e-07,5.094362102220823,True,False,no_exact_sample_redundancy_detected,False,False,1.7495870782464605e-07,True,NOMINAL_POSITIVE,True,5.811892218535295e-07,True,5.811892218535295e-07,11
histgbr_lag,contiguous,2,14,34992,729,0,0.0129350272329243,0.0017268800395335,7.490402886594411,3.433125755868872e-14,computed,0.0253373855849688,0.017636257528222,0.0156415096137026,0.0149971319731222,0.013666680716428,True,1.1404380561489648e-13,3.433125755868872e-14,7.490402886594411,True,False,no_exact_sample_redundancy_detected,False,False,3.433125755868872e-14,True,NOMINAL_POSITIVE,True,1.1404380561489648e-13,True,1.1404380561489648e-13,11
holt_winters,contiguous,1,14,34992,729,0,0.0091355138295746,0.0013103045657306,6.972053725906401,1.5617360801757284e-12,computed,0.0228454262324597,0.0166558851275415,0.0149037417703904,0.0136289161423014,0.0131262004062516,True,1.0375753095840508e-11,1.5617360801757284e-12,6.972053725906401,True,False,no_exact_sample_redundancy_detected,False,False,1.5617360801757284e-12,True,NOMINAL_POSITIVE,True,1.0375753095840508e-11,True,1.0375753095840508e-11,11
holt_winters,contiguous,2,14,34992,729,0,0.0123649276247831,0.0013707922947153,9.020278033697927,9.380626697417548e-20,computed,0.0228454262324597,0.0166558851275415,0.0149037417703904,0.0136289161423014,0.0131262004062516,True,6.232235249742225e-19,9.380626697417548e-20,9.020278033697927,True,False,no_exact_sample_redundancy_detected,False,False,9.380626697417548e-20,True,NOMINAL_POSITIVE,True,6.232235249742225e-19,True,6.232235249742225e-19,11
lasso_lag,contiguous,1,14,34992,729,0,0.0105422200504431,0.0017584288881846,5.995249578347559,1.0158658099499364e-09,computed,0.0263179491384883,0.0187780889926486,0.0167611005412516,0.0163452743622681,0.01481151001458,True,3.749521288215129e-09,1.0158658099499364e-09,5.995249578347559,True,False,no_exact_sample_redundancy_detected,False,False,1.0158658099499364e-09,True,NOMINAL_POSITIVE,True,3.749521288215129e-09,True,3.749521288215129e-09,11
lasso_lag,contiguous,2,14,34992,729,0,0.0141810851732731,0.0016980076230683,8.351602772929603,3.367140629068412e-17,computed,0.0263179491384883,0.0187780889926486,0.0167611005412516,0.0163452743622681,0.01481151001458,True,1.242798541445969e-16,3.367140629068412e-17,8.351602772929603,True,False,no_exact_sample_redundancy_detected,False,False,3.367140629068412e-17,True,NOMINAL_POSITIVE,True,1.2427985414459695e-16,True,1.2427985414459695e-16,11
linear_lag,contiguous,1,14,34992,729,0,0.0105236043307682,0.0017550901751655,5.996047655942184,1.0108885595442448e-09,computed,0.0262957565692787,0.0187593857575539,0.0167395248786835,0.0163265476711667,0.0147915503932407,True,3.749521288215129e-09,1.0108885595442448e-09,5.996047655942184,True,False,no_exact_sample_redundancy_detected,False,False,1.0108885595442448e-09,True,NOMINAL_POSITIVE,True,3.749521288215129e-09,True,3.749521288215129e-09,11
