model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
dlinear,contiguous,14,34992,729,0,0.0236669681283857,0.0018818368163469,12.576525192193802,1.4213035708866518e-36,computed,0.970100459869094,True,True,1.5737928997684189e-35,1.4213035708866518e-36,12.576525192193802,True,False,no_exact_sample_redundancy_detected,False,False,1.4213035708866518e-36,True,NOMINAL_POSITIVE,True,1.573792899768419e-35,True,2.3606893496526288e-35,11
dlinear,interleaved,14,34992,729,0,0.0215961741605119,0.0019160923735502,11.270946254275534,9.129843555279049e-30,computed,0.9722091978027771,True,True,1.0109369495449263e-28,9.129843555279049e-30,11.270946254275534,True,False,no_exact_sample_redundancy_detected,False,False,9.129843555279049e-30,True,NOMINAL_POSITIVE,True,1.0109369495449265e-28,True,1.5164054243173897e-28,11
drift,contiguous,14,34992,729,0,0.0258213539619689,0.002111033101819,12.231619646190822,1.0534757219411063e-34,computed,0.948503113355735,True,True,5.8325070211251285e-34,1.0534757219411063e-34,12.231619646190822,True,False,no_exact_sample_redundancy_detected,False,False,1.0534757219411063e-34,True,NOMINAL_POSITIVE,True,5.832507021125128e-34,True,6.999008425350153e-34,11
drift,interleaved,14,34992,729,0,0.0230210089442787,0.0021522691433547,10.696157130420996,5.3043558565951255e-27,computed,0.9525446250586098,True,True,2.2417676845077476e-26,5.3043558565951255e-27,10.696157130420996,True,False,no_exact_sample_redundancy_detected,False,False,5.3043558565951255e-27,True,NOMINAL_POSITIVE,True,2.2417676845077473e-26,True,2.5219886450712157e-26,11
histgbr_lag,contiguous,14,34992,729,0,0.0202197211353665,0.0017144554401658,11.79366967590017,2.1039880540303418e-32,computed,0.9763182689344728,True,True,7.7657382712052e-32,2.1039880540303418e-32,11.79366967590017,True,False,no_exact_sample_redundancy_detected,False,False,2.1039880540303418e-32,True,NOMINAL_POSITIVE,True,7.7657382712052e-32,True,8.73645555510585e-32,11
histgbr_lag,interleaved,14,34992,729,0,0.0181805255358306,0.0017291856342052,10.513923534985986,3.726349700481957e-26,computed,0.9784774910382588,True,True,1.2378430943533534e-25,3.726349700481957e-26,10.513923534985986,True,False,no_exact_sample_redundancy_detected,False,False,3.726349700481957e-26,True,NOMINAL_POSITIVE,True,1.2378430943533534e-25,True,1.3753812159481706e-25,11
holt_winters,contiguous,14,34992,729,0,0.0182561682332493,0.0017060669654181,10.700733677693028,5.048775772687555e-27,computed,0.9036116696406178,True,True,1.6771351932835234e-26,5.048775772687555e-27,10.700733677693028,True,False,no_exact_sample_redundancy_detected,False,False,5.048775772687555e-27,True,NOMINAL_POSITIVE,True,1.6771351932835234e-26,True,1.8634835480928038e-26,11
holt_winters,interleaved,14,34992,729,0,0.0168100881167197,0.0015708935977204,10.700971817004516,5.035816195688096e-27,computed,0.9243246273677156,True,True,2.2417676845077476e-26,5.035816195688096e-27,10.700971817004516,True,False,no_exact_sample_redundancy_detected,False,False,5.035816195688096e-27,True,NOMINAL_POSITIVE,True,2.2417676845077473e-26,True,2.5219886450712157e-26,11
lasso_lag,contiguous,14,34992,729,0,0.021296194100941,0.0017504327995536,12.166244888904629,2.3511075046919943e-34,computed,0.9672664765629608,True,True,9.76257739708688e-34,2.3511075046919943e-34,12.166244888904629,True,False,no_exact_sample_redundancy_detected,False,False,2.3511075046919943e-34,True,NOMINAL_POSITIVE,True,9.76257739708688e-34,True,1.1157231310956434e-33,11
lasso_lag,interleaved,14,34992,729,0,0.0188847762865424,0.0017676423424911,10.683595788912656,6.073669061967449e-27,computed,0.970305501365888,True,True,2.2417676845077476e-26,6.073669061967449e-27,10.683595788912656,True,False,no_exact_sample_redundancy_detected,False,False,6.073669061967449e-27,True,NOMINAL_POSITIVE,True,2.2417676845077473e-26,True,2.5219886450712157e-26,11
linear_lag,contiguous,14,34992,729,0,0.0212804389068516,0.0017473455092154,12.17872412446161,2.0177265090173846e-34,computed,0.9673094528425084,True,True,9.575164614305796e-34,2.0177265090173846e-34,12.17872412446161,True,False,no_exact_sample_redundancy_detected,False,False,2.0177265090173846e-34,True,NOMINAL_POSITIVE,True,9.575164614305796e-34,True,1.1157231310956434e-33,11
linear_lag,interleaved,14,34992,729,0,0.0188672609107246,0.0017645865821235,10.692170677178948,5.537408686420897e-27,computed,0.9703528081285728,True,True,2.2417676845077476e-26,5.537408686420897e-27,10.692170677178948,True,False,no_exact_sample_redundancy_detected,False,False,5.537408686420897e-27,True,NOMINAL_POSITIVE,True,2.2417676845077473e-26,True,2.5219886450712157e-26,11
naive_1,contiguous,14,34992,729,0,0.0258613398182867,0.002113886243004,12.23402626507264,1.0227151242155303e-34,computed,0.9483735294767598,True,True,5.8325070211251285e-34,1.0227151242155303e-34,12.23402626507264,True,False,no_exact_sample_redundancy_detected,False,False,1.0227151242155303e-34,True,NOMINAL_POSITIVE,True,5.832507021125128e-34,True,6.999008425350153e-34,11
naive_1,interleaved,14,34992,729,0,0.0230592453550519,0.0021553925979426,10.698396838265918,5.1777143037694226e-27,computed,0.9524214519993334,True,True,2.2417676845077476e-26,5.1777143037694226e-27,10.698396838265918,True,False,no_exact_sample_redundancy_detected,False,False,5.1777143037694226e-27,True,NOMINAL_POSITIVE,True,2.2417676845077473e-26,True,2.5219886450712157e-26,11
