model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
Last month,contiguous,1,12,27272,132,0,0.0266382534033629,0.0185592735013212,1.4353069047377591,0.0755998305261924,computed,0.0281376896985269,0.0275646590937591,0.0272550274692357,0.0269475325161636,0.0272243368380875,False,1.0,0.0755998305261924,1.4353069047377591,False,False,no_exact_sample_redundancy_detected,False,False,0.0755998305261924,False,NOT_POSITIVE,False,1.0,False,1.0,10
Last month,contiguous,2,12,27272,132,0,0.0269962107373503,0.018566793093101,1.4540050401801183,0.0729724544139681,computed,0.0281376896985269,0.0275646590937591,0.0272550274692357,0.0269475325161636,0.0272243368380875,False,1.0,0.0729724544139681,1.4540050401801183,False,False,no_exact_sample_redundancy_detected,False,False,0.0729724544139681,False,NOT_POSITIVE,False,1.0,False,1.0,10
Trailing three-month return,contiguous,1,12,27272,132,0,-0.0051454820340061,0.0226641483204055,-0.2270317843522671,0.5898004864688182,computed,-0.0028119242473014,-0.0039433440308119,-0.004195155869295,-0.004604099017408,-0.0042707260461996,False,1.0,0.5898004864688182,-0.2270317843522671,False,False,no_exact_sample_redundancy_detected,False,False,0.5898004864688182,False,NOT_POSITIVE,False,1.0,False,1.0,10
Trailing three-month return,contiguous,2,12,27272,132,0,-0.0046208150310951,0.0226992314055956,-0.2035670260604521,0.5806540685311798,computed,-0.0028119242473014,-0.0039433440308119,-0.004195155869295,-0.004604099017408,-0.0042707260461996,False,1.0,0.5806540685311798,-0.2035670260604521,False,False,no_exact_sample_redundancy_detected,False,False,0.5806540685311798,False,NOT_POSITIVE,False,1.0,False,1.0,10
Trailing twelve-month return,contiguous,1,12,27272,132,0,-0.0005357462666813,0.0003851012114311,-1.3911830209268767,0.917915032692986,computed,0.0022043707579705,0.0013180077790393,0.0007523833033913,0.0003802551112157,0.0001805872842311,False,1.0,0.917915032692986,-1.3911830209268767,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
Trailing twelve-month return,contiguous,2,12,27272,132,0,0.0001756893931891,0.0002043353558539,0.8598090744253166,0.1949471481441638,computed,0.0022043707579705,0.0013180077790393,0.0007523833033913,0.0003802551112157,0.0001805872842311,False,1.0,0.1949471481441638,0.8598090744253166,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
Seasonal twelve-month lag,contiguous,1,12,27272,132,0,-0.0253712406727823,0.0228805354007686,-1.1088569488601234,0.8662540508092178,computed,-0.024388311602902,-0.0248069777853906,-0.0250478481394846,-0.0250746771445829,-0.0250275900597801,False,1.0,0.8662540508092178,-1.1088569488601234,False,False,no_exact_sample_redundancy_detected,False,False,0.8662540508092178,False,NOT_POSITIVE,False,1.0,False,1.0,10
Seasonal twelve-month lag,contiguous,2,12,27272,132,0,-0.0251474551578449,0.0228529155183539,-1.100404678678665,0.86442207956318,computed,-0.024388311602902,-0.0248069777853906,-0.0250478481394846,-0.0250746771445829,-0.0250275900597801,False,1.0,0.86442207956318,-1.100404678678665,False,False,no_exact_sample_redundancy_detected,False,False,0.86442207956318,False,NOT_POSITIVE,False,1.0,False,1.0,10
Training portfolio mean,contiguous,1,12,27272,132,0,-0.0154699049551225,0.007331255359836,-2.1101304204834594,0.9825764381630144,computed,-0.0155216244791106,-0.0155138058223461,-0.0154833983251764,-0.0154739793058091,-0.0154983323662547,False,1.0,0.9825764381630144,-2.1101304204834594,False,False,no_exact_sample_redundancy_detected,False,False,0.9825764381630144,False,NOT_POSITIVE,False,1.0,False,1.0,10
Training portfolio mean,contiguous,2,12,27272,132,0,-0.015482773033366,0.0073333780542951,-2.11127435661084,0.9826256315747316,computed,-0.0155216244791106,-0.0155138058223461,-0.0154833983251764,-0.0154739793058091,-0.0154983323662547,False,1.0,0.9826256315747316,-2.11127435661084,False,False,no_exact_sample_redundancy_detected,False,False,0.9826256315747316,False,NOT_POSITIVE,False,1.0,False,1.0,10
Exponential twelve-month mean,contiguous,1,12,27272,132,0,0.0192183025794318,0.0154217083967392,1.2461850584268177,0.106348231600366,computed,0.0223307546688598,0.0211903759090766,0.0205931910606363,0.020130796658734,0.0201759042128389,False,1.0,0.106348231600366,1.2461850584268177,False,False,no_exact_sample_redundancy_detected,False,False,0.106348231600366,False,NOT_POSITIVE,False,1.0,False,1.0,10
Exponential twelve-month mean,contiguous,2,12,27272,132,0,0.0199915192628529,0.0154843889051812,1.29107576574517,0.0983387032589169,computed,0.0223307546688598,0.0211903759090766,0.0205931910606363,0.020130796658734,0.0201759042128389,False,1.0,0.0983387032589169,1.29107576574517,False,False,no_exact_sample_redundancy_detected,False,False,0.0983387032589169,False,NOT_POSITIVE,False,1.0,False,1.0,10
Ridge,contiguous,1,12,27272,132,0,0.0158246742450295,0.0173957535255255,0.909686046184163,0.1814940525844526,computed,0.0180832404245882,0.0174546940163238,0.0169203306218631,0.0166136536792527,0.0163705920138748,False,1.0,0.1814940525844526,0.909686046184163,False,False,no_exact_sample_redundancy_detected,False,False,0.1814940525844526,False,NOT_POSITIVE,False,1.0,False,1.0,10
Ridge,contiguous,2,12,27272,132,0,0.0164310049936607,0.0174349066815969,0.942420013696092,0.1729888223105285,computed,0.0180832404245882,0.0174546940163238,0.0169203306218631,0.0166136536792527,0.0163705920138748,False,1.0,0.1729888223105285,0.942420013696092,False,False,no_exact_sample_redundancy_detected,False,False,0.1729888223105285,False,NOT_POSITIVE,False,1.0,False,1.0,10
Elastic net,contiguous,1,12,27272,132,0,0.0160003054465932,0.0174334967750211,0.917790943095168,0.1793641623770294,computed,0.0181395637370428,0.0174646416857504,0.016961445640208,0.016799175059078,0.0165101762173829,False,1.0,0.1793641623770294,0.917790943095168,False,False,no_exact_sample_redundancy_detected,False,False,0.1793641623770294,False,NOT_POSITIVE,False,1.0,False,1.0,10
