model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
Last month,contiguous,12,27272,132,0,0.0279021455727073,0.0186033155218211,1.4998479996739809,0.0668268902300097,computed,0.0876200804630338,False,False,0.914864610132872,0.0668268902300097,1.4998479996739809,False,False,no_exact_sample_redundancy_detected,False,False,0.0668268902300097,False,NOT_POSITIVE,False,0.9148646101328721,False,1.0,10
Last month,interleaved,12,27272,132,0,0.0191915345730111,0.0184103872700394,1.042429705117769,0.1486062501697262,computed,0.0801615974493442,False,False,1.0,0.1486062501697262,1.042429705117769,False,False,no_exact_sample_redundancy_detected,False,False,0.1486062501697262,False,NOT_POSITIVE,False,1.0,False,1.0,10
Trailing three-month return,contiguous,12,27272,132,0,-0.0035286475092691,0.0226630984204081,-0.1557001361337092,0.5618653050700343,computed,0.2273050901461535,True,False,1.0,0.5618653050700343,-0.1557001361337092,False,False,no_exact_sample_redundancy_detected,False,False,0.5618653050700343,False,NOT_POSITIVE,False,1.0,False,1.0,10
Trailing three-month return,interleaved,12,27272,132,0,-0.0175142256068884,0.0223881465062743,-0.7822990439150487,0.7829805756933778,computed,0.2309934810673758,True,False,1.0,0.7829805756933778,-0.7822990439150487,False,False,no_exact_sample_redundancy_detected,False,False,0.7829805756933778,False,NOT_POSITIVE,False,1.0,False,1.0,10
Trailing twelve-month return,contiguous,12,27272,132,0,0.0010771392465502,0.0008779788233663,1.2268396661553016,0.1099414294410757,computed,0.989918368621362,True,False,0.914864610132872,0.1099414294410757,1.2268396661553016,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,0.9148646101328721,False,1.0,10
Trailing twelve-month return,interleaved,12,27272,132,0,0.0004539056885804,0.0008163625043584,0.5560099663532995,0.2891020208178267,computed,0.9900521951527206,True,False,1.0,0.2891020208178267,0.5560099663532995,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
Seasonal twelve-month lag,contiguous,12,27272,132,0,-0.0246992855731845,0.022804155207462,-1.0831046074051576,0.860619002923543,computed,0.0751680437656301,False,False,1.0,0.860619002923543,-1.0831046074051576,False,False,no_exact_sample_redundancy_detected,False,False,0.860619002923543,False,NOT_POSITIVE,False,1.0,False,1.0,10
Seasonal twelve-month lag,interleaved,12,27272,132,0,-0.0284049479823923,0.0219736919311252,-1.292679813270587,0.9019390888,computed,0.0709550336402324,False,False,1.0,0.9019390888,-1.292679813270587,False,False,no_exact_sample_redundancy_detected,False,False,0.9019390888,False,NOT_POSITIVE,False,1.0,False,1.0,10
Training portfolio mean,contiguous,12,27272,132,0,-0.0154743431537022,0.007335102418297,-2.109628778338835,0.9825548282413152,computed,0.9627595157163028,True,False,1.0,0.9825548282413152,-2.109628778338835,False,False,no_exact_sample_redundancy_detected,False,False,0.9825548282413152,False,NOT_POSITIVE,False,1.0,False,1.0,10
Training portfolio mean,interleaved,12,27272,132,0,-0.0148361916074449,0.0061866206043083,-2.39810917079886,0.9917600236445424,computed,0.9734583537336012,True,False,1.0,0.9917600236445424,-2.39810917079886,False,False,no_exact_sample_redundancy_detected,False,False,0.9917600236445424,False,NOT_POSITIVE,False,1.0,False,1.0,10
