model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
Item mean,contiguous,1,0,12088,279,0,-0.0019939891804614,0.000599757199435,-3.324660683256264,0.999557368978341,computed,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,False,1.0,0.999557368978341,-3.324660683256264,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
Item mean,contiguous,2,0,12088,279,0,0.0008824764077638,0.0003378778513208,2.6118208231587663,0.0045030720816899,computed,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,True,0.0164866939657505,0.0045030720816899,2.6118208231587663,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.01648669396575057,False,1.0,10
User mean,contiguous,1,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
User mean,contiguous,2,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
User and item bias,contiguous,1,0,12088,279,0,-0.0019939891804614,0.000599757199435,-3.324660683256264,0.999557368978341,computed,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,False,1.0,0.999557368978341,-3.324660683256264,False,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
User and item bias,contiguous,2,0,12088,279,0,0.0008824764077638,0.0003378778513208,2.6118208231587663,0.0045030720816899,computed,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,True,0.0164866939657505,0.0045030720816899,2.6118208231587663,True,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.01648669396575057,False,1.0,10
SVD (40 factors),contiguous,1,0,12088,279,0,0.0463802740520024,0.0047546577114675,9.754703044162287,8.805767090804199e-23,computed,0.0576945159720376,0.0534639137744723,0.0507246301655114,0.0504786895553565,0.0495070876826698,True,6.447953065200973e-22,8.805767090804199e-23,9.754703044162287,True,False,no_exact_sample_redundancy_detected,False,False,8.805767090804199e-23,True,NOMINAL_POSITIVE,True,6.447953065200972e-22,True,6.447953065200972e-22,10
SVD (40 factors),contiguous,2,0,12088,279,0,0.0491417351626482,0.0046278559178764,10.6186830434423,1.2198939842374156e-26,computed,0.0576945159720376,0.0534639137744723,0.0507246301655114,0.0504786895553565,0.0495070876826698,True,8.932576882595599e-26,1.2198939842374156e-26,10.6186830434423,True,False,no_exact_sample_redundancy_detected,False,False,1.2198939842374156e-26,True,NOMINAL_POSITIVE,True,8.932576882595599e-26,True,8.932576882595599e-26,10
SVD interaction,contiguous,1,0,12088,279,0,0.2310709021756984,0.0169479741459053,13.634131146673088,1.2548097633823835e-42,computed,0.228447084051684,0.2284089979228566,0.2287635793514077,0.2299769388119135,0.2310342993573311,True,3.675297961716417e-41,1.2548097633823835e-42,13.634131146673088,True,False,no_exact_sample_redundancy_detected,False,False,1.2548097633823835e-42,True,NOMINAL_POSITIVE,True,3.675297961716418e-41,True,3.675297961716418e-41,10
SVD interaction,contiguous,2,0,12088,279,0,0.2301325781009396,0.016924449717156,13.597640215602308,2.0678143707877632e-42,computed,0.228447084051684,0.2284089979228566,0.2287635793514077,0.2299769388119135,0.2310342993573311,True,6.056562647136697e-41,2.0678143707877632e-42,13.597640215602308,True,False,no_exact_sample_redundancy_detected,False,False,2.0678143707877632e-42,True,NOMINAL_POSITIVE,True,6.056562647136698e-41,True,6.056562647136698e-41,10
