model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
Item mean,contiguous,0,12088,279,0,0.0070379642411894,0.0011290773610614,6.233376457546543,2.282436921551788e-10,computed,0.986993538624637,True,True,8.35648160613777e-10,2.282436921551788e-10,6.233376457546543,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,8.35648160613777e-10,False,1.0,10
Item mean,interleaved,0,12088,279,0,0.0077129357928695,0.0011282403947875,6.836252121890978,4.0645913059136775e-12,computed,0.9868816420832472,True,True,1.4881323625470658e-11,4.0645913059136775e-12,6.836252121890978,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,1.488132362547066e-11,False,1.0,10
User mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,False,False,1.0,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
User mean,interleaved,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,False,False,1.0,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10
User and item bias,contiguous,0,12088,279,0,0.0070379642411894,0.0011290773610614,6.233376457546543,2.282436921551788e-10,computed,0.986993538624637,True,True,8.35648160613777e-10,2.282436921551788e-10,6.233376457546543,True,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,8.35648160613777e-10,False,1.0,10
User and item bias,interleaved,0,12088,279,0,0.0077129357928695,0.0011282403947875,6.836252121890978,4.0645913059136775e-12,computed,0.9868816420832472,True,True,1.4881323625470658e-11,4.0645913059136775e-12,6.836252121890978,True,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,1.488132362547066e-11,False,1.0,10
SVD (40 factors),contiguous,0,12088,279,0,0.0549138280556303,0.0046560975995812,11.79395983034562,2.0967495845645955e-32,computed,0.8905538738753679,True,True,1.5353282424277062e-31,2.0967495845645955e-32,11.79395983034562,True,False,no_exact_sample_redundancy_detected,False,False,2.0967495845645955e-32,True,NOMINAL_POSITIVE,True,1.5353282424277062e-31,True,1.5353282424277062e-31,10
SVD (40 factors),interleaved,0,12088,279,0,0.0574308275190331,0.0048629980263574,11.80975752154503,1.7378108662316755e-32,computed,0.8902255156477752,True,True,1.2724982146484123e-31,1.7378108662316755e-32,11.80975752154503,True,False,no_exact_sample_redundancy_detected,False,False,1.7378108662316755e-32,True,NOMINAL_POSITIVE,True,1.2724982146484123e-31,True,1.2724982146484123e-31,10
SVD interaction,contiguous,0,12088,279,0,0.2276584748034003,0.016922677670345,13.45286362112448,1.4808812088107348e-41,computed,-0.2529547742237616,False,True,2.1687270242523873e-40,1.4808812088107348e-41,13.45286362112448,True,False,no_exact_sample_redundancy_detected,False,False,1.4808812088107348e-41,True,NOMINAL_POSITIVE,True,2.1687270242523873e-40,True,2.1687270242523873e-40,10
SVD interaction,interleaved,0,12088,279,0,0.2228211934934099,0.016862994523824,13.21361951334374,3.660863984729573e-40,computed,-0.2496095252492358,False,True,3.574184797789547e-39,3.660863984729573e-40,13.21361951334374,True,False,no_exact_sample_redundancy_detected,False,False,3.660863984729573e-40,True,NOMINAL_POSITIVE,True,3.574184797789547e-39,True,3.574184797789547e-39,10
