model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
Last week,contiguous,1,2,112000,28,0,0.0327829233023012,0.018542463410052,1.7679918022396806,0.0385311370723777,computed,0.0081460797708313,0.0200848634569432,0.0156311220897766,0.0364679090153277,0.0189449586795644,False,0.1410705965928672,0.0385311370723777,1.7679918022396806,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,0.14107059659286697,False,1.0,10
Last week,contiguous,2,2,112000,28,0,0.0268792631447879,0.0139246188550576,1.9303410329989004,0.0267822980078782,computed,0.0081460797708313,0.0200848634569432,0.0156311220897766,0.0364679090153277,0.0189449586795644,False,0.0980556257917407,0.0267822980078782,1.9303410329989004,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,0.09805562579174057,False,1.0,10
Four week mean,contiguous,1,2,112000,28,0,0.0638133857440494,0.0120624936820742,5.29023164081578,6.10807714135647e-08,computed,0.0519898910289841,0.0577725506057945,0.0551281905490704,0.0663343862452425,0.0567539277267438,True,5.963454679940754e-07,6.10807714135647e-08,5.29023164081578,True,False,no_exact_sample_redundancy_detected,False,False,6.10807714135647e-08,True,NOMINAL_POSITIVE,True,5.963454679940754e-07,True,5.963454679940754e-07,10
Four week mean,contiguous,2,2,112000,28,0,0.0609716547458963,0.0100982536103274,6.037841501974247,7.809468213229206e-10,computed,0.0519898910289841,0.0577725506057945,0.0551281905490704,0.0663343862452425,0.0567539277267438,True,7.624561492307511e-09,7.809468213229206e-10,6.037841501974247,True,False,no_exact_sample_redundancy_detected,False,False,7.809468213229206e-10,True,NOMINAL_POSITIVE,True,7.62456149230751e-09,True,7.62456149230751e-09,10
Past price and calendar,contiguous,1,2,112000,28,0,0.010256953421495,0.0014129635499237,7.259177649733696,1.9472535744706814e-13,computed,0.0099135933415705,0.009298401528344,0.0101558688365725,0.0101805859514732,0.010132396822894,True,5.7034439020508316e-12,1.9472535744706814e-13,7.259177649733696,True,False,no_exact_sample_redundancy_detected,False,False,1.9472535744706814e-13,True,NOMINAL_POSITIVE,True,5.703443902050832e-12,True,5.703443902050832e-12,10
Past price and calendar,contiguous,2,2,112000,28,0,0.0100729131023285,0.0013123186073075,7.675661265670232,8.228373655658398e-15,computed,0.0099135933415705,0.009298401528344,0.0101558688365725,0.0101805859514732,0.010132396822894,True,2.410064521921216e-13,8.228373655658398e-15,7.675661265670232,True,False,no_exact_sample_redundancy_detected,False,False,8.228373655658398e-15,True,NOMINAL_POSITIVE,True,2.4100645219212154e-13,True,2.4100645219212154e-13,10
Past price calendar and history,contiguous,1,2,112000,28,0,0.056507756353804,0.0140510177156217,4.021613060168551,2.8900476383469857e-05,computed,0.0395919028389557,0.0480514440716234,0.0444506628304394,0.059687961780139,0.0465920720113109,True,0.0002116214446293,2.8900476383469857e-05,4.021613060168551,True,False,no_exact_sample_redundancy_detected,False,False,2.8900476383469857e-05,True,NOMINAL_POSITIVE,True,0.00021162144462935615,True,0.00021162144462935615,10
Past price calendar and history,contiguous,2,2,112000,28,0,0.0524902748297118,0.0111428830061684,4.710654756103474,1.2346110906508275e-06,computed,0.0395919028389557,0.0480514440716234,0.0444506628304394,0.059687961780139,0.0465920720113109,True,9.040341726283492e-06,1.2346110906508275e-06,4.710654756103474,True,False,no_exact_sample_redundancy_detected,False,False,1.2346110906508275e-06,True,NOMINAL_POSITIVE,True,9.040341726283489e-06,True,9.040341726283489e-06,10
Training series mean,contiguous,1,2,112000,28,0,1.0758967053258337e-13,6.03012773634013e-13,,1.0,undefined_rank_or_scale,2.720256409108477e-15,-2.572312389691881e-15,3.5786728657862123e-13,-1.2228145277780517e-12,1.0001076631809265e-12,False,1.0,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10
Training series mean,contiguous,2,2,112000,28,0,4.8295564935965014e-14,4.1328553776151544e-13,,1.0,undefined_rank_or_scale,2.720256409108477e-15,-2.572312389691881e-15,3.5786728657862123e-13,-1.2228145277780517e-12,1.0001076631809265e-12,False,1.0,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10
