model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size
Last week,contiguous,2,112000,28,0,0.0053004231597864,0.0005434265255012,9.753707099404965,8.892618673679846e-23,computed,0.9913176034044964,True,True,1.3023098894926773e-21,8.892618673679846e-23,9.753707099404965,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,1.3023098894926773e-21,False,1.0,10
Last week,interleaved,2,112000,28,0,0.003903735886783,0.0005773807564886,6.761111871000924,6.846836645401629e-12,computed,0.9917286294904608,True,True,3.3423611957479766e-11,6.846836645401629e-12,6.761111871000924,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,3.342361195747977e-11,False,1.0,10
Four week mean,contiguous,2,112000,28,0,0.0498751435678784,0.0060350334375928,8.264269632244487,7.027630157384846e-17,computed,0.8497820816544976,True,True,5.145926407902534e-16,7.027630157384846e-17,8.264269632244487,True,False,no_exact_sample_redundancy_detected,False,False,7.027630157384846e-17,True,NOMINAL_POSITIVE,True,5.145926407902534e-16,True,6.861235210536712e-16,10
Four week mean,interleaved,2,112000,28,0,0.0360021930130386,0.0039658646122071,9.078018675227025,5.528459694291446e-20,computed,0.8750722559566245,True,True,8.096341468961341e-19,5.528459694291446e-20,9.078018675227025,True,False,no_exact_sample_redundancy_detected,False,False,5.528459694291446e-20,True,NOMINAL_POSITIVE,True,8.096341468961341e-19,True,8.096341468961341e-19,10
Past price and calendar,contiguous,2,112000,28,0,0.0093842377073896,0.0013401486576632,7.002385633659719,1.2582014170270693e-12,computed,0.728236358300032,True,True,6.142053345950262e-12,1.2582014170270693e-12,7.002385633659719,True,False,no_exact_sample_redundancy_detected,False,False,1.2582014170270693e-12,True,NOMINAL_POSITIVE,True,6.142053345950262e-12,True,7.370464015140316e-12,10
Past price and calendar,interleaved,2,112000,28,0,0.0081239537875299,0.0010320979701267,7.871301003074785,1.7548603230364162e-15,computed,0.7981600121484465,True,True,1.0279860352644276e-14,1.7548603230364162e-15,7.871301003074785,True,False,no_exact_sample_redundancy_detected,False,False,1.7548603230364162e-15,True,NOMINAL_POSITIVE,True,1.0279860352644276e-14,True,1.0279860352644276e-14,10
Past price calendar and history,contiguous,2,112000,28,0,0.0370328897130672,0.0045795292397143,8.086614971668334,3.067290388255597e-16,computed,0.9202031389289408,True,True,1.796799234580521e-15,3.067290388255597e-16,8.086614971668334,True,False,no_exact_sample_redundancy_detected,False,False,3.067290388255597e-16,True,NOMINAL_POSITIVE,True,1.7967992345805205e-15,True,2.2459990432256507e-15,10
Past price calendar and history,interleaved,2,112000,28,0,0.0270352473689293,0.0030946076034468,8.736244084328044,1.2049448618606358e-18,computed,0.932630981548553,True,True,8.823113120429914e-18,1.2049448618606358e-18,8.736244084328044,True,False,no_exact_sample_redundancy_detected,False,False,1.2049448618606358e-18,True,NOMINAL_POSITIVE,True,8.823113120429913e-18,True,8.823113120429913e-18,10
Training series mean,contiguous,2,112000,28,0,-2.985888055628891e-13,1.3625917048721448e-13,,1.0,undefined_rank_or_scale,1.0,True,False,1.0,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10
Training series mean,interleaved,2,112000,28,0,-5.261776208748816e-13,1.315211982067926e-12,,1.0,undefined_rank_or_scale,1.0,True,False,1.0,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10
Eight week mean,contiguous,2,112000,28,0,0.0285601182762256,0.0070211417735675,4.067731317397069,2.3736537013375047e-05,computed,0.8362036471122307,True,True,8.690445421414742e-05,2.3736537013375047e-05,4.067731317397069,True,False,no_exact_sample_redundancy_detected,False,False,2.3736537013375047e-05,True,NOMINAL_POSITIVE,True,8.690445421414742e-05,True,9.931937624473992e-05,10
Eight week mean,interleaved,2,112000,28,0,0.0224615690199633,0.0047422044849615,4.736524772643916,1.0870708808325844e-06,computed,0.8815954856350116,True,True,3.979995124714934e-06,1.0870708808325844e-06,4.736524772643916,True,False,no_exact_sample_redundancy_detected,False,False,1.0870708808325844e-06,True,NOMINAL_POSITIVE,True,3.979995124714934e-06,True,4.548565856817067e-06,10
Exponential smoothing,contiguous,2,112000,28,0,0.0303215361989449,0.0052337002557881,5.793517916011947,3.44635642898404e-09,computed,0.8982780113216662,True,True,1.442038367479093e-08,3.44635642898404e-09,5.793517916011947,True,False,no_exact_sample_redundancy_detected,False,False,3.44635642898404e-09,True,NOMINAL_POSITIVE,True,1.4420383674790926e-08,True,1.6823780953922746e-08,10
Exponential smoothing,interleaved,2,112000,28,0,0.022669756224948,0.0035313372461869,6.419595367003328,6.831851860015463e-11,computed,0.9222670700434226,True,True,2.858611030542751e-10,6.831851860015463e-11,6.419595367003328,True,False,no_exact_sample_redundancy_detected,False,False,6.831851860015463e-11,True,NOMINAL_POSITIVE,True,2.858611030542751e-10,True,3.3350462022998763e-10,10
Croston SBA,contiguous,2,112000,28,0,-0.016101048585738,0.0012037486080341,-13.375756763726134,1.0,computed,0.9554598179474536,True,False,1.0,1.0,-13.375756763726134,False,False,no_exact_sample_redundancy_detected,False,False,1.0,False,NOT_POSITIVE,False,1.0,False,1.0,10
Croston SBA,interleaved,2,112000,28,0,-0.014249309018907,0.0007397747123397,-19.261687080164744,1.0,computed,0.9691043650652926,True,False,1.0,1.0,-19.261687080164744,False,False,no_exact_sample_redundancy_detected,False,False,1.0,False,NOT_POSITIVE,False,1.0,False,1.0,10
