task,baseline,candidate,status,old_bias,joint_bias,improvement,relative_improvement,true_bias_diagnostic,exact_target_diagnostic,validation_event_diagnostic,full_u_mean,radius,old_lower,joint_lower,old_variance_p,joint_variance_p,old_betting_p,joint_betting_p,dual_max_absolute_residual,certificate,old_variance_by,joint_variance_by,old_betting_by,joint_betting_by
appliances,seasonal_day,persistence,certified,0.04234649904026271,0.041953550511027476,0.0003929485292352361,0.00927936283142613,0.00016701889019125237,0.04201925165977566,True,0.04211540154585952,0.004742040390566456,-0.004973137884969648,-0.004580189355734412,1.0,1.0,1.0,1.0,0.006748227955123934,appliances__seasonal_day__persistence.json,1.0,1.0,1.0,1.0
appliances,seasonal_day,seasonal_day,certified,0.03690671030858651,0.03551716093504888,0.0013895493735376352,0.03765031783974391,4.218012230408112e-06,0.00028583707854406046,True,0.000278240299293339,0.0047953290915057345,-0.04142379910079891,-0.04003424972726127,1.0,1.0,1.0,1.0,0.0860345058540515,appliances__seasonal_day__seasonal_day.json,1.0,1.0,1.0,1.0
appliances,seasonal_day,seasonal_week,certified,0.039124633550171865,0.03894248716252147,0.00018214638765039204,0.0046555423303023345,9.954664407962294e-05,0.010057801608400283,True,0.010014186133129162,0.0051965531472813594,-0.034307000564324064,-0.03412485417667367,1.0,1.0,1.0,1.0,0.0024686125841816564,appliances__seasonal_day__seasonal_week.json,1.0,1.0,1.0,1.0
appliances,seasonal_day,ridge_full,certified,0.040914348999562575,0.040269319892829565,0.0006450291067330097,0.015765351826565927,0.00017679033387333641,0.030515157153465006,True,0.0305082655215486,0.004914396194160741,-0.015320479672174717,-0.014675450565441707,1.0,1.0,1.0,1.0,0.0821807470474871,appliances__seasonal_day__ridge_full.json,1.0,1.0,1.0,1.0
appliances,seasonal_day,hist_gradient_boosting,certified,0.04179598644697884,0.04136474569902971,0.0004312407479491326,0.01031775499535564,0.00016665659559790398,0.035212619639672774,True,0.0351838025243478,0.004710533670292596,-0.011322717592923637,-0.010891476844974504,1.0,1.0,1.0,1.0,0.017496337545842053,appliances__seasonal_day__hist_gradient_boosting.json,1.0,1.0,1.0,1.0
appliances,seasonal_day,extra_trees,certified,0.04187542414943179,0.04138857291908633,0.00048685123034545447,0.011626180277198712,0.00017691017644180026,0.035610794719324566,True,0.03549715030272952,0.004775502999677547,-0.011153776846379814,-0.01066692561603436,1.0,1.0,1.0,1.0,0.056311482314054674,appliances__seasonal_day__extra_trees.json,1.0,1.0,1.0,1.0
appliances,seasonal_day,category_copy,certified,0.03650161141354864,0.03519286262357075,0.001308748789977894,0.03585454831432767,-3.959853281282102e-06,2.494537832730134e-33,True,1.701784889833053e-06,0.004690417812535887,-0.0411903274411947,-0.039881578651216804,1.0,1.0,1.0,1.0,0.07822649807963539,appliances__seasonal_day__category_copy.json,1.0,1.0,1.0,1.0
appliances,seasonal_day,independent_noise,certified,0.03921043232004486,0.03896738291024905,0.00024304940979581052,0.006198590411143226,-5.639773559680883e-05,0.0019796569018352504,True,0.0013221414796053957,0.005522007474547556,-0.04341029831498702,-0.04316724890519121,1.0,1.0,1.0,1.0,0.07319870210980622,appliances__seasonal_day__independent_noise.json,1.0,1.0,1.0,1.0
appliances,ridge,persistence,certified,0.03849618960133357,0.03837779292795264,0.00011839667338093413,0.003075542660378851,0.00012161712695414758,0.018315390993407368,True,0.018343841416718583,0.005385118525559145,-0.025537466710174136,-0.025419070036793202,1.0,1.0,1.0,1.0,0.1544523336257814,appliances__ridge__persistence.json,1.0,1.0,1.0,1.0
appliances,ridge,seasonal_day,certified,0.0391603373109319,0.038628041859443255,0.0005322954514886472,0.01359271875679306,7.049666734671261e-05,0.007002506283021247,True,0.007347699198607825,0.005087808316311772,-0.03690044642863585,-0.036368150977147205,1.0,1.0,1.0,1.0,0.3819650972524546,appliances__ridge__seasonal_day.json,1.0,1.0,1.0,1.0
