task,baseline,candidate,dual_verified,joint_bias,old_bias,p_variance,p_betting
appliances,seasonal_day,persistence,True,0.041953550511027476,0.04234649904026271,1,1.0
appliances,seasonal_day,seasonal_day,True,0.03551716093504888,0.03690671030858651,1,1.0
appliances,seasonal_day,seasonal_week,True,0.03894248716252147,0.039124633550171865,1,1.0
appliances,seasonal_day,ridge_full,True,0.040269319892829565,0.040914348999562575,1,1.0
appliances,seasonal_day,hist_gradient_boosting,True,0.04136474569902971,0.04179598644697884,1,1.0
appliances,seasonal_day,extra_trees,True,0.04138857291908633,0.04187542414943179,1,1.0
appliances,seasonal_day,category_copy,True,0.03519286262357075,0.03650161141354864,1,1.0
appliances,seasonal_day,independent_noise,True,0.03896738291024905,0.03921043232004486,1,1.0
appliances,ridge,persistence,True,0.03837779292795264,0.03849618960133357,1,1.0
appliances,ridge,seasonal_day,True,0.038628041859443255,0.0391603373109319,1,1.0
appliances,ridge,seasonal_week,True,0.03801656659377135,0.03832965501944166,1,1.0
appliances,ridge,ridge_full,True,0.036942484486170934,0.037369219066871566,1,1.0
appliances,ridge,hist_gradient_boosting,True,0.03693221638717573,0.03706453154479724,1,1.0
appliances,ridge,extra_trees,True,0.03808839262225818,0.03810464741467888,1,1.0
appliances,ridge,category_copy,True,0.03715007377176887,0.037251888372998386,1,1.0
appliances,ridge,independent_noise,True,0.03804039246453422,0.038577626640490796,1,1.0
metro,seasonal_day,persistence,True,0.03953579901663974,0.03966269562406156,1,1.0
metro,seasonal_day,seasonal_day,True,0.0360161912791369,0.03852711629915339,1,1.0
metro,seasonal_day,seasonal_week,True,0.038280363718517806,0.03875201404773703,1,1.0
metro,seasonal_day,ridge_full,True,0.03830382290280618,0.038353384067713145,1,1.0
metro,seasonal_day,hist_gradient_boosting,True,0.03870456377076635,0.039432568876783515,1,1.0
metro,seasonal_day,extra_trees,True,0.038615707697757434,0.039216514460032915,1,1.0
metro,seasonal_day,category_copy,True,0.03614010251624798,0.03839959331875122,1,1.0
metro,seasonal_day,independent_noise,True,0.03727143069584328,0.037405771242357166,1,1.0
metro,ridge,persistence,True,0.03563937096839071,0.03638279877402776,1,1.0
metro,ridge,seasonal_day,True,0.03595595171378635,0.037263175733980934,1,1.0
metro,ridge,seasonal_week,True,0.03689061968586238,0.03771545633391522,1,1.0
metro,ridge,ridge_full,True,0.035671652451544945,0.03615983468442255,1,1.0
metro,ridge,hist_gradient_boosting,True,0.03602625802923291,0.037109097956396546,1,1.0
metro,ridge,extra_trees,True,0.03611969345934162,0.03704775719264477,1,1.0
metro,ridge,category_copy,True,0.03536446443163256,0.03581673091429796,1,1.0
metro,ridge,independent_noise,True,0.034421544921835315,0.03457678028488802,1,1.0
