design,signal,training_rows,validation_pairs,groups,peers,total_observations,first,second,first_only,second_only,both,neither,difference
two_balanced,-0.125,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
two_balanced,-0.125,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,-0.125,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,-0.125,8192,8192,100,64,30976,signed_variance,independent_betting,0,0,0,300,0
two_balanced,-0.125,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,-0.125,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,-0.125,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
two_balanced,-0.125,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,-0.125,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,-0.125,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,0,300,0
two_balanced,-0.125,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,-0.125,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0,8192,8192,100,64,30976,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0.125,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0.125,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0.125,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0.125,8192,8192,100,64,30976,signed_variance,independent_betting,0,262,1,37,0.87333333333333341
two_balanced,0.125,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,271,2,27,0.90333333333333332
two_balanced,0.125,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,253,10,37,0.84333333333333338
two_balanced,0.125,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0.125,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0.125,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0.125,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,300,0,0
two_balanced,0.125,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,300,0,0
two_balanced,0.125,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,300,0,0
two_balanced,0.25,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0.25,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0.25,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0.25,8192,8192,100,64,30976,signed_variance,independent_betting,0,0,300,0,0
two_balanced,0.25,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,0,300,0,0
two_balanced,0.25,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,0,300,0,0
two_balanced,0.25,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
two_balanced,0.25,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
two_balanced,0.25,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
two_balanced,0.25,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,300,0,0
two_balanced,0.25,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,300,0,0
two_balanced,0.25,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,300,0,0
eight_rare,-0.125,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
eight_rare,-0.125,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,-0.125,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,-0.125,8192,8192,100,64,30976,signed_variance,independent_betting,0,0,0,300,0
eight_rare,-0.125,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,-0.125,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,-0.125,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
eight_rare,-0.125,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,-0.125,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,-0.125,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,0,300,0
eight_rare,-0.125,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,-0.125,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0,8192,8192,100,64,30976,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0.125,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,8192,100,64,30976,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0.125,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0.125,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0.125,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0.125,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0.25,8192,512,100,64,15616,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0.25,8192,512,100,64,15616,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0.25,8192,512,100,64,15616,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0.25,8192,8192,100,64,30976,signed_variance,independent_betting,0,166,130,4,0.55333333333333334
eight_rare,0.25,8192,8192,100,64,30976,pooled_variance,pooled_betting,0,156,138,6,0.52000000000000002
eight_rare,0.25,8192,8192,100,64,30976,independent_bernstein,independent_betting,0,167,129,4,0.55666666666666664
eight_rare,0.25,8192,512,400,64,34816,signed_variance,independent_betting,0,0,0,300,0
eight_rare,0.25,8192,512,400,64,34816,pooled_variance,pooled_betting,0,0,0,300,0
eight_rare,0.25,8192,512,400,64,34816,independent_bernstein,independent_betting,0,0,0,300,0
eight_rare,0.25,8192,8192,400,64,50176,signed_variance,independent_betting,0,0,300,0,0
eight_rare,0.25,8192,8192,400,64,50176,pooled_variance,pooled_betting,0,0,300,0,0
eight_rare,0.25,8192,8192,400,64,50176,independent_bernstein,independent_betting,0,0,300,0,0
