model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p
Last month,contiguous,1,12,27272,132,0,0.02663825340336295,0.018559273501321274,1.4353069047377591,0.07559983052619244,computed,0.028137689698526973,0.027564659093759148,0.027255027469235752,0.026947532516163646,0.02722433683808758,False,1.0
Last month,contiguous,2,12,27272,132,0,0.026996210737350385,0.018566793093101084,1.4540050401801183,0.07297245441396812,computed,0.028137689698526973,0.027564659093759148,0.027255027469235752,0.026947532516163646,0.02722433683808758,False,1.0
Trailing three-month return,contiguous,1,12,27272,132,0,-0.005145482034006108,0.022664148320405544,-0.2270317843522671,0.5898004864688182,computed,-0.002811924247301428,-0.003943344030811978,-0.004195155869295034,-0.004604099017408042,-0.004270726046199623,False,1.0
Trailing three-month return,contiguous,2,12,27272,132,0,-0.004620815031095116,0.022699231405595616,-0.20356702606045213,0.5806540685311798,computed,-0.002811924247301428,-0.003943344030811978,-0.004195155869295034,-0.004604099017408042,-0.004270726046199623,False,1.0
Trailing twelve-month return,contiguous,1,12,27272,132,0,-0.0005357462666813212,0.0003851012114311026,-1.3911830209268767,0.9179150326929859,computed,0.0022043707579705646,0.001318007779039307,0.0007523833033913841,0.00038025511121576714,0.00018058728423116786,False,1.0
Trailing twelve-month return,contiguous,2,12,27272,132,0,0.00017568939318916992,0.00020433535585397033,0.8598090744253166,0.19494714814416386,computed,0.0022043707579705646,0.001318007779039307,0.0007523833033913841,0.00038025511121576714,0.00018058728423116786,False,1.0
Seasonal twelve-month lag,contiguous,1,12,27272,132,0,-0.025371240672782368,0.02288053540076865,-1.1088569488601234,0.8662540508092178,computed,-0.02438831160290208,-0.024806977785390694,-0.025047848139484668,-0.025074677144582922,-0.025027590059780145,False,1.0
Seasonal twelve-month lag,contiguous,2,12,27272,132,0,-0.025147455157844962,0.02285291551835396,-1.100404678678665,0.86442207956318,computed,-0.02438831160290208,-0.024806977785390694,-0.025047848139484668,-0.025074677144582922,-0.025027590059780145,False,1.0
Training portfolio mean,contiguous,1,12,27272,132,0,-0.015469904955122514,0.007331255359836076,-2.1101304204834594,0.9825764381630144,computed,-0.015521624479110674,-0.01551380582234615,-0.015483398325176435,-0.01547397930580915,-0.015498332366254758,False,1.0
Training portfolio mean,contiguous,2,12,27272,132,0,-0.015482773033366086,0.00733337805429517,-2.11127435661084,0.9826256315747316,computed,-0.015521624479110674,-0.01551380582234615,-0.015483398325176435,-0.01547397930580915,-0.015498332366254758,False,1.0
Exponential twelve-month mean,contiguous,1,12,27272,132,0,0.019218302579431853,0.015421708396739255,1.2461850584268177,0.106348231600366,computed,0.02233075466885983,0.02119037590907668,0.02059319106063632,0.020130796658734035,0.020175904212838998,False,1.0
Exponential twelve-month mean,contiguous,2,12,27272,132,0,0.019991519262852957,0.015484388905181296,1.2910757657451701,0.09833870325891697,computed,0.02233075466885983,0.02119037590907668,0.02059319106063632,0.020130796658734035,0.020175904212838998,False,1.0
Ridge,contiguous,1,12,27272,132,0,0.015824674245029518,0.017395753525525512,0.909686046184163,0.18149405258445261,computed,0.018083240424588247,0.017454694016323803,0.016920330621863152,0.01661365367925279,0.01637059201387488,False,1.0
Ridge,contiguous,2,12,27272,132,0,0.016431004993660715,0.017434906681596984,0.942420013696092,0.17298882231052853,computed,0.018083240424588247,0.017454694016323803,0.016920330621863152,0.01661365367925279,0.01637059201387488,False,1.0
Elastic net,contiguous,1,12,27272,132,0,0.016000305446593255,0.017433496775021175,0.9177909430951681,0.1793641623770294,computed,0.018139563737042834,0.017464641685750463,0.01696144564020805,0.016799175059078054,0.016510176217382926,False,1.0
Elastic net,contiguous,2,12,27272,132,0,0.016557052549489172,0.017484063652400815,0.946979654081484,0.17182457331149925,computed,0.018139563737042834,0.017464641685750463,0.01696144564020805,0.016799175059078054,0.016510176217382926,False,1.0
LightGBM,contiguous,1,12,27272,132,0,-0.004233586351450755,0.014279499436822352,-0.29648002510043614,0.6165682403543867,computed,-0.002738324948098608,-0.003440250315262948,-0.0034100275279343134,-0.0039652333108114515,-0.003700089439641752,False,1.0
LightGBM,contiguous,2,12,27272,132,0,-0.0038736416443474974,0.014394257303732137,-0.269110212677881,0.606077564166934,computed,-0.002738324948098608,-0.003440250315262948,-0.0034100275279343134,-0.0039652333108114515,-0.003700089439641752,False,1.0
Small MLP,contiguous,1,12,27272,132,0,-0.009348639366376305,0.00796305939945262,-1.1740009583526314,0.8798026791185469,computed,-0.008209375540334822,-0.008453378962748361,-0.008804476839869898,-0.009072113957496289,-0.008973988287019766,False,1.0
Small MLP,contiguous,2,12,27272,132,0,-0.009038984597525952,0.007947750435855275,-1.137301009949647,0.8722937636469138,computed,-0.008209375540334822,-0.008453378962748361,-0.008804476839869898,-0.009072113957496289,-0.008973988287019766,False,1.0
