model,n,mae,rmse,pooled_spearman,mean_monthly_spearman,months,prediction_sha256
Last month,27272,3.769197830617141,6.392951498407612,0.0605868771909135,0.05099817172068026,132,34dd2e216333a00500b72756d8c4d916e7a3942b992ac2c0b173aa587aab6ead
Trailing three-month return,27272,5.615174992842512,9.729576472053736,0.03429072259850773,0.03241795930682364,132,d7f7a8c6108097601f58f35d88b3cd5f06df5b9494a500da77c003ad04431b7d
Trailing twelve-month return,27272,11.791534754631686,23.973016410478778,0.08254587521045102,0.07919201649357664,132,e4515f4d4cfdfaadfb8d39d30057e2d5bc27e480f07f88adcd061f7addd54f5a
Seasonal twelve-month lag,27272,3.8343524715575046,6.458202401379942,0.001395096984392818,0.0037492261719687696,132,89c0f8d5426e14cb5f34bc543e71d3a24b473765b8df4e174da53be03a6e9e01
Training portfolio mean,27272,2.7585160166287803,4.65258647987982,0.04204637227412106,0.047194966807735356,132,f26f835f81bde6e69757fd1e7db0f63d82bf19fc562784e5b7577cf0d8bb8a8a
Exponential twelve-month mean,27272,2.850866955452415,4.860569287949868,0.08833883778424373,0.08238922633797464,132,d039a7507b3b921baa846dc7fae059ad2b8308814d44f60414ae637d1c18049c
Ridge,27272,2.757891441529482,4.674990498187603,0.0660986246861422,0.05621479494652584,132,689542d2c0c3a344288eae3646f7a870598e36c9f1a4e94c9b41fed2c3c4a35a
Elastic net,27272,2.7497758669914183,4.659841478835205,0.0660307284524215,0.056695745603337795,132,a1c324222d3bef8db4756916d765a006f1105f281add9b2fbdd5e4e4a5925cce
LightGBM,27272,2.7512386639308986,4.669961606108315,0.05983765888151019,0.04504316581721996,132,77d6bdea1160fc4a3bcc8916607caf8948a33871ac4db988489dd5594e012142
Small MLP,27272,2.93683190556913,5.0487713050374134,0.02290846968718457,0.01681513299631733,132,e4bcae5ae84cd41fd002573239502b422b80b790311ac2692234c10dc2e01631
