model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p
Last month,contiguous,12,27272,132,0,0.027902145572707364,0.018603315521821144,1.4998479996739809,0.06682689023000979,computed,0.08762008046303382,False,False,0.9148646101328721
Last month,interleaved,12,27272,132,0,0.019191534573011128,0.01841038727003943,1.042429705117769,0.14860625016972628,computed,0.08016159744934426,False,False,1.0
Trailing three-month return,contiguous,12,27272,132,0,-0.003528647509269199,0.02266309842040815,-0.15570013613370923,0.5618653050700343,computed,0.22730509014615352,True,False,1.0
Trailing three-month return,interleaved,12,27272,132,0,-0.017514225606888485,0.02238814650627438,-0.7822990439150487,0.7829805756933778,computed,0.23099348106737583,True,False,1.0
Trailing twelve-month return,contiguous,12,27272,132,0,0.0010771392465502429,0.0008779788233663871,1.2268396661553016,0.10994142944107571,computed,0.989918368621362,True,False,0.9148646101328721
Trailing twelve-month return,interleaved,12,27272,132,0,0.000453905688580433,0.0008163625043584427,0.5560099663532995,0.2891020208178267,computed,0.9900521951527206,True,False,1.0
Seasonal twelve-month lag,contiguous,12,27272,132,0,-0.02469928557318451,0.022804155207462096,-1.0831046074051576,0.860619002923543,computed,0.07516804376563013,False,False,1.0
Seasonal twelve-month lag,interleaved,12,27272,132,0,-0.02840494798239238,0.02197369193112524,-1.292679813270587,0.9019390888,computed,0.07095503364023248,False,False,1.0
Training portfolio mean,contiguous,12,27272,132,0,-0.015474343153702295,0.007335102418297077,-2.109628778338835,0.9825548282413152,computed,0.9627595157163028,True,False,1.0
Training portfolio mean,interleaved,12,27272,132,0,-0.014836191607444987,0.006186620604308328,-2.39810917079886,0.9917600236445423,computed,0.9734583537336012,True,False,1.0
Exponential twelve-month mean,contiguous,12,27272,132,0,0.02134114361259,0.015489166695068826,1.377810958634994,0.08413083084253237,computed,0.6449059086253741,True,False,0.9148646101328721
Exponential twelve-month mean,interleaved,12,27272,132,0,0.012900563950409002,0.014902000993578506,0.8656934029173697,0.1933291593753177,computed,0.6514110074177282,True,False,1.0
Ridge,contiguous,12,27272,132,0,0.017682410880539897,0.017502098652678162,1.01030232039254,0.15617523489600582,computed,0.20248109206325582,True,False,0.9148646101328721
Ridge,interleaved,12,27272,132,0,0.012732747053410853,0.017100476865844372,0.7445843267004207,0.2282615229010025,computed,0.1941904950705997,False,False,1.0
Elastic net,contiguous,12,27272,132,0,0.01776720815385462,0.017583001861883784,1.0104763847162046,0.15613355399343093,computed,0.2120146437547219,True,False,0.9148646101328721
Elastic net,interleaved,12,27272,132,0,0.012154822524287059,0.017246470396913235,0.7047715993217095,0.2404761927446989,computed,0.2030124985878815,True,False,1.0
LightGBM,contiguous,12,27272,132,0,-0.0030781635439936406,0.014617180425180424,-0.21058531498256758,0.5833945638498335,computed,0.330768786453962,True,False,1.0
LightGBM,interleaved,12,27272,132,0,-0.009427710808253362,0.014706992871721315,-0.641035926955606,0.7392503294047941,computed,0.3349115153978792,True,False,1.0
Small MLP,contiguous,12,27272,132,0,-0.00831740207548534,0.007941792554333037,-1.0472953075244165,0.8525183001740031,computed,0.06226467186009388,False,False,1.0
Small MLP,interleaved,12,27272,132,0,-0.00841636138853126,0.009060640696160532,-0.9288925221477674,0.8235276056445471,computed,0.06732871106167981,False,False,1.0
