regime,alternative,method,x,y,low,high
linear,null,gcm_coarse,0.0466666666666666,5,0.0227865491612619,0.0931864723991274
linear,null,gcm_fine,0.08,4,0.0463536415186529,0.1346213637505314
linear,null,gcm_spline,0.0533333333333333,3,0.0272695399201938,0.1017038783819546
linear,null,extrapolated,0.0733333333333333,2,0.0414388151603849,0.1265357933670403
linear,null,extrapolated_beta2,0.0733333333333333,1,0.0414388151603849,0.1265357933670403
linear,null,kci_gamma,0.0866666666666666,0,0.0513471782747241,0.1426282237362191
linear,positive_covariance,gcm_coarse,0.9266666666666666,5,0.8914686583942826,0.9510760061607711
linear,positive_covariance,gcm_fine,0.9133333333333332,4,0.8760440413057516,0.9401711024819568
linear,positive_covariance,gcm_spline,0.9166666666666666,3,0.8798783980359391,0.9429191259436056
linear,positive_covariance,extrapolated,0.91,2,0.8722229892013517,0.9374097743945206
linear,positive_covariance,extrapolated_beta2,0.9433333333333334,1,0.9111340419775252,0.9643225235367106
linear,positive_covariance,kci_gamma,0.7266666666666667,0,0.6736074258805683,0.7739944271643041
smooth,null,gcm_coarse,0.0466666666666666,5,0.0227865491612619,0.0931864723991274
smooth,null,gcm_fine,0.06,4,0.0318840442092053,0.110089770834702
smooth,null,gcm_spline,0.04,3,0.0184591606020744,0.084513464216556
smooth,null,extrapolated,0.0666666666666666,2,0.0366118566696074,0.1183623551160589
smooth,null,extrapolated_beta2,0.0666666666666666,1,0.0366118566696074,0.1183623551160589
smooth,null,kci_gamma,0.0733333333333333,0,0.0414388151603849,0.1265357933670403
smooth,positive_covariance,gcm_coarse,0.9733333333333334,5,0.9482710570494102,0.9864269301913527
smooth,positive_covariance,gcm_fine,0.94,4,0.9071605548470916,0.961713630475308
smooth,positive_covariance,gcm_spline,0.9333333333333332,3,0.899276940483885,0.9564324844548416
smooth,positive_covariance,extrapolated,0.9366666666666666,2,0.9032086875144784,0.9590831176160848
smooth,positive_covariance,extrapolated_beta2,0.9566666666666668,1,0.9272825343659884,0.9745035519155928
smooth,positive_covariance,kci_gamma,0.7533333333333333,0,0.7015546972961404,0.7987061972834228
nonlinear,null,gcm_coarse,0.0266666666666666,5,0.0104179408229679,0.0665538905121445
nonlinear,null,gcm_fine,0.04,4,0.0184591606020744,0.084513464216556
nonlinear,null,gcm_spline,0.0533333333333333,3,0.0272695399201938,0.1017038783819546
nonlinear,null,extrapolated,0.08,2,0.0463536415186529,0.1346213637505314
nonlinear,null,extrapolated_beta2,0.0533333333333333,1,0.0272695399201938,0.1017038783819546
nonlinear,null,kci_gamma,0.0266666666666666,0,0.0104179408229679,0.0665538905121445
nonlinear,positive_covariance,gcm_coarse,0.5966666666666667,5,0.540271195643406,0.6506178299198485
nonlinear,positive_covariance,gcm_fine,0.8033333333333333,4,0.7546412316550143,0.8443553658020945
nonlinear,positive_covariance,gcm_spline,0.9333333333333332,3,0.899276940483885,0.9564324844548416
nonlinear,positive_covariance,extrapolated,0.8533333333333334,2,0.8088374877749912,0.8888948125596631
nonlinear,positive_covariance,extrapolated_beta2,0.82,1,0.7725668011129554,0.859341697303335
nonlinear,positive_covariance,kci_gamma,0.77,0,0.7191446136117753,0.8140281819269698
heavy_tail,null,gcm_coarse,0.02,5,0.0068247513229674,0.057146683270386
heavy_tail,null,gcm_fine,0.04,4,0.0184591606020744,0.084513464216556
heavy_tail,null,gcm_spline,0.0266666666666666,3,0.0104179408229679,0.0665538905121445
heavy_tail,null,extrapolated,0.04,2,0.0184591606020744,0.084513464216556
heavy_tail,null,extrapolated_beta2,0.0333333333333333,1,0.0143204318980925,0.0756517961787789
heavy_tail,null,kci_gamma,0.04,0,0.0184591606020744,0.084513464216556
heavy_tail,positive_covariance,gcm_coarse,0.9633333333333334,5,0.9355461518281072,0.979404694837147
heavy_tail,positive_covariance,gcm_fine,0.9266666666666666,4,0.8914686583942826,0.9510760061607711
heavy_tail,positive_covariance,gcm_spline,0.93,3,0.8953639895740667,0.9537630551728236
heavy_tail,positive_covariance,extrapolated,0.9266666666666666,2,0.8914686583942826,0.9510760061607711
heavy_tail,positive_covariance,extrapolated_beta2,0.9533333333333334,1,0.923202639772079,0.972001066317666
heavy_tail,positive_covariance,kci_gamma,0.8933333333333333,0,0.8532967116826325,0.9234241509540578
