regime,first,second,first_only,second_only,n,conditional_bank_rate_difference,paired_pvalue,holm60_pvalue
linear,extrapolated,extrapolated_beta2,0,10,300,-0.03333333333333333,0.001953125,0.076171875
linear,extrapolated,gcm_coarse,6,11,300,-0.016666666666666666,0.332305908203125,1.0
linear,extrapolated,gcm_fine,3,4,300,-0.0033333333333333335,1.0,1.0
linear,extrapolated,gcm_spline,12,14,300,-0.006666666666666667,0.8450189828872681,1.0
linear,extrapolated,kci_gamma,60,5,300,0.18333333333333332,4.869560700851427e-13,2.5321715644427423e-11
linear,extrapolated_beta2,gcm_coarse,8,3,300,0.016666666666666666,0.2265625,1.0
linear,extrapolated_beta2,gcm_fine,10,1,300,0.03,0.01171875,0.3984375
linear,extrapolated_beta2,gcm_spline,13,5,300,0.02666666666666667,0.09625244140625,1.0
linear,extrapolated_beta2,kci_gamma,67,2,300,0.21666666666666667,8.185726402265558e-18,4.8295785773366795e-16
linear,gcm_coarse,gcm_fine,10,6,300,0.013333333333333334,0.454498291015625,1.0
linear,gcm_coarse,gcm_spline,13,10,300,0.01,0.6776394844055176,1.0
linear,gcm_coarse,kci_gamma,63,3,300,0.2,1.3002836654618655e-15,7.411616893132633e-14
linear,gcm_fine,gcm_spline,14,15,300,-0.0033333333333333335,1.0,1.0
linear,gcm_fine,kci_gamma,60,4,300,0.18666666666666668,7.363044635805283e-14,3.9760441033348526e-12
linear,gcm_spline,kci_gamma,65,8,300,0.19,3.230981506909271e-12,1.6478005685237282e-10
smooth,extrapolated,extrapolated_beta2,0,6,300,-0.02,0.03125,0.90625
smooth,extrapolated,gcm_coarse,2,13,300,-0.03666666666666667,0.00738525390625,0.265869140625
smooth,extrapolated,gcm_fine,2,3,300,-0.0033333333333333335,1.0,1.0
smooth,extrapolated,gcm_spline,11,10,300,0.0033333333333333335,1.0,1.0
smooth,extrapolated,kci_gamma,63,8,300,0.18333333333333332,1.0271364278048329e-11,4.930254853463198e-10
smooth,extrapolated_beta2,gcm_coarse,2,7,300,-0.016666666666666666,0.1796875,1.0
smooth,extrapolated_beta2,gcm_fine,6,1,300,0.016666666666666666,0.125,1.0
smooth,extrapolated_beta2,gcm_spline,12,5,300,0.023333333333333334,0.143463134765625,1.0
smooth,extrapolated_beta2,kci_gamma,66,5,300,0.20333333333333334,1.1901876782304671e-14,6.546032230267569e-13
smooth,gcm_coarse,gcm_fine,12,2,300,0.03333333333333333,0.012939453125,0.427001953125
smooth,gcm_coarse,gcm_spline,14,2,300,0.04,0.004180908203125,0.154693603515625
smooth,gcm_coarse,kci_gamma,69,3,300,0.22,2.6371947296289014e-17,1.5295729431847628e-15
smooth,gcm_fine,gcm_spline,12,10,300,0.006666666666666667,0.8318119049072266,1.0
smooth,gcm_fine,kci_gamma,64,8,300,0.18666666666666668,5.765519304519332e-12,2.8251044592144726e-10
smooth,gcm_spline,kci_gamma,66,12,300,0.18,3.485851300097458e-10,1.6034915980448306e-08
nonlinear,extrapolated,extrapolated_beta2,20,10,300,0.03333333333333333,0.09873714670538905,1.0
nonlinear,extrapolated,gcm_coarse,95,18,300,0.25666666666666665,7.970114680452795e-14,4.224160780639981e-12
nonlinear,extrapolated,gcm_fine,23,8,300,0.05,0.010673840530216694,0.3735844185575843
nonlinear,extrapolated,gcm_spline,8,32,300,-0.08,0.0001821658297558315,0.007650964849744923
nonlinear,extrapolated,kci_gamma,47,22,300,0.08333333333333333,0.0035448128470210523,0.13470288818679998
nonlinear,extrapolated_beta2,gcm_coarse,75,8,300,0.22333333333333333,9.099722954884666e-15,5.095844854735413e-13
nonlinear,extrapolated_beta2,gcm_fine,8,3,300,0.016666666666666666,0.2265625,1.0
nonlinear,extrapolated_beta2,gcm_spline,6,40,300,-0.11333333333333333,3.1028037028590916e-07,1.3342055922294094e-05
nonlinear,extrapolated_beta2,kci_gamma,42,27,300,0.05,0.09118649056701154,1.0
nonlinear,gcm_coarse,gcm_fine,12,74,300,-0.20666666666666667,4.689760491914722e-12,2.344880245957361e-10
nonlinear,gcm_coarse,gcm_spline,7,108,300,-0.33666666666666667,2.2527678876397467e-24,1.351660732583848e-22
nonlinear,gcm_coarse,kci_gamma,25,77,300,-0.17333333333333334,2.4519113385990644e-07,1.0788409889835883e-05
nonlinear,gcm_fine,gcm_spline,7,46,300,-0.13,4.003196174551249e-08,1.801438278548062e-06
nonlinear,gcm_fine,kci_gamma,40,30,300,0.03333333333333333,0.281978921793656,1.0
