regime,alternative,method,rejections,n,rate,conditional_bank_wilson95_low,conditional_bank_wilson95_high
linear,null,extrapolated,11,150,0.07333333333333333,0.041438815160384994,0.12653579336704038
linear,positive_covariance,extrapolated,273,300,0.91,0.8722229892013517,0.9374097743945206
linear,null,extrapolated_beta2,11,150,0.07333333333333333,0.041438815160384994,0.12653579336704038
linear,positive_covariance,extrapolated_beta2,283,300,0.9433333333333334,0.9111340419775253,0.9643225235367106
linear,null,gcm_coarse,7,150,0.04666666666666667,0.022786549161261972,0.09318647239912747
linear,positive_covariance,gcm_coarse,278,300,0.9266666666666666,0.8914686583942826,0.9510760061607713
linear,null,gcm_fine,12,150,0.08,0.04635364151865291,0.13462136375053146
linear,positive_covariance,gcm_fine,274,300,0.9133333333333333,0.8760440413057516,0.9401711024819569
linear,null,gcm_spline,8,150,0.05333333333333334,0.027269539920193826,0.1017038783819546
linear,positive_covariance,gcm_spline,275,300,0.9166666666666666,0.8798783980359391,0.9429191259436057
linear,null,kci_gamma,13,150,0.08666666666666667,0.051347178274724174,0.14262822373621914
linear,positive_covariance,kci_gamma,218,300,0.7266666666666667,0.6736074258805683,0.7739944271643041
smooth,null,extrapolated,10,150,0.06666666666666667,0.03661185666960744,0.11836235511605896
smooth,positive_covariance,extrapolated,281,300,0.9366666666666666,0.9032086875144784,0.9590831176160847
smooth,null,extrapolated_beta2,10,150,0.06666666666666667,0.03661185666960744,0.11836235511605896
smooth,positive_covariance,extrapolated_beta2,287,300,0.9566666666666667,0.9272825343659885,0.9745035519155927
smooth,null,gcm_coarse,7,150,0.04666666666666667,0.022786549161261972,0.09318647239912747
smooth,positive_covariance,gcm_coarse,292,300,0.9733333333333334,0.9482710570494102,0.9864269301913529
smooth,null,gcm_fine,9,150,0.06,0.03188404420920533,0.11008977083470209
smooth,positive_covariance,gcm_fine,282,300,0.94,0.9071605548470915,0.9617136304753079
smooth,null,gcm_spline,6,150,0.04,0.01845916060207442,0.08451346421655606
smooth,positive_covariance,gcm_spline,280,300,0.9333333333333333,0.899276940483885,0.9564324844548417
smooth,null,kci_gamma,11,150,0.07333333333333333,0.041438815160384994,0.12653579336704038
smooth,positive_covariance,kci_gamma,226,300,0.7533333333333333,0.7015546972961404,0.7987061972834228
nonlinear,null,extrapolated,12,150,0.08,0.04635364151865291,0.13462136375053146
nonlinear,positive_covariance,extrapolated,256,300,0.8533333333333334,0.8088374877749912,0.8888948125596631
nonlinear,null,extrapolated_beta2,8,150,0.05333333333333334,0.027269539920193826,0.1017038783819546
nonlinear,positive_covariance,extrapolated_beta2,246,300,0.82,0.7725668011129554,0.859341697303335
nonlinear,null,gcm_coarse,4,150,0.02666666666666667,0.010417940822967993,0.06655389051214453
nonlinear,positive_covariance,gcm_coarse,179,300,0.5966666666666667,0.540271195643406,0.6506178299198485
nonlinear,null,gcm_fine,6,150,0.04,0.01845916060207442,0.08451346421655606
nonlinear,positive_covariance,gcm_fine,241,300,0.8033333333333333,0.7546412316550143,0.8443553658020945
nonlinear,null,gcm_spline,8,150,0.05333333333333334,0.027269539920193826,0.1017038783819546
nonlinear,positive_covariance,gcm_spline,280,300,0.9333333333333333,0.899276940483885,0.9564324844548417
nonlinear,null,kci_gamma,4,150,0.02666666666666667,0.010417940822967993,0.06655389051214453
nonlinear,positive_covariance,kci_gamma,231,300,0.77,0.7191446136117753,0.8140281819269698
heavy_tail,null,extrapolated,6,150,0.04,0.01845916060207442,0.08451346421655606
heavy_tail,positive_covariance,extrapolated,278,300,0.9266666666666666,0.8914686583942826,0.9510760061607713
heavy_tail,null,extrapolated_beta2,5,150,0.03333333333333333,0.01432043189809255,0.07565179617877894
heavy_tail,positive_covariance,extrapolated_beta2,286,300,0.9533333333333334,0.923202639772079,0.9720010663176659
heavy_tail,null,gcm_coarse,3,150,0.02,0.006824751322967459,0.05714668327038608
heavy_tail,positive_covariance,gcm_coarse,289,300,0.9633333333333334,0.9355461518281071,0.979404694837147
heavy_tail,null,gcm_fine,6,150,0.04,0.01845916060207442,0.08451346421655606
heavy_tail,positive_covariance,gcm_fine,278,300,0.9266666666666666,0.8914686583942826,0.9510760061607713
heavy_tail,null,gcm_spline,4,150,0.02666666666666667,0.010417940822967993,0.06655389051214453
heavy_tail,positive_covariance,gcm_spline,279,300,0.93,0.8953639895740667,0.9537630551728237
heavy_tail,null,kci_gamma,6,150,0.04,0.01845916060207442,0.08451346421655606
heavy_tail,positive_covariance,kci_gamma,268,300,0.8933333333333333,0.8532967116826325,0.9234241509540578
