model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p
dlinear,contiguous,1,14,34992,729,0,0.012713305210218996,0.0019482723842729867,6.525424942038105,3.39045043245159e-11,computed,0.028764023256009172,0.02114180086371839,0.019116121586904577,0.01848184632830291,0.01713335590213478,True,1.877103149146528e-10
dlinear,contiguous,2,14,34992,729,0,0.01642477868314885,0.0018743633107999838,8.7628575466187,9.518107961504668e-19,computed,0.028764023256009172,0.02114180086371839,0.019116121586904577,0.01848184632830291,0.01713335590213478,True,5.269645076491516e-18
drift,contiguous,1,14,34992,729,0,0.01510875934727653,0.0021343071442728925,7.078999565652357,7.259942033027585e-13,computed,0.030949269719128997,0.02328682463938444,0.021255220233438822,0.021073889846948538,0.01932777634370086,True,8.038849305909684e-12
drift,contiguous,2,14,34992,729,0,0.01874492579563974,0.0020676210490287563,9.065938753353752,6.176792029004888e-20,computed,0.030949269719128997,0.02328682463938444,0.021255220233438822,0.021073889846948538,0.01932777634370086,True,5.148667944931997e-19
histgbr_lag,contiguous,1,14,34992,729,0,0.009214153527474483,0.0018086962297905148,5.094362102220823,1.7495870782464602e-07,computed,0.02533738558496887,0.01763625752822209,0.015641509613702607,0.014997131973122208,0.013666680716428098,True,5.811892218535294e-07
histgbr_lag,contiguous,2,14,34992,729,0,0.012935027232924338,0.0017268800395335454,7.490402886594411,3.433125755868872e-14,computed,0.02533738558496887,0.01763625752822209,0.015641509613702607,0.014997131973122208,0.013666680716428098,True,1.1404380561489648e-13
holt_winters,contiguous,1,14,34992,729,0,0.009135513829574669,0.0013103045657306676,6.972053725906401,1.5617360801757284e-12,computed,0.022845426232459772,0.016655885127541535,0.0149037417703904,0.01362891614230147,0.01312620040625164,True,1.0375753095840508e-11
holt_winters,contiguous,2,14,34992,729,0,0.01236492762478314,0.001370792294715338,9.020278033697927,9.380626697417547e-20,computed,0.022845426232459772,0.016655885127541535,0.0149037417703904,0.01362891614230147,0.01312620040625164,True,6.232235249742224e-19
lasso_lag,contiguous,1,14,34992,729,0,0.010542220050443174,0.0017584288881846474,5.995249578347559,1.0158658099499366e-09,computed,0.026317949138488304,0.018778088992648618,0.016761100541251687,0.01634527436226816,0.014811510014580097,True,3.749521288215129e-09
lasso_lag,contiguous,2,14,34992,729,0,0.014181085173273133,0.0016980076230683379,8.351602772929603,3.3671406290684114e-17,computed,0.026317949138488304,0.018778088992648618,0.016761100541251687,0.01634527436226816,0.014811510014580097,True,1.242798541445969e-16
linear_lag,contiguous,1,14,34992,729,0,0.01052360433076827,0.0017550901751655027,5.996047655942184,1.0108885595442448e-09,computed,0.0262957565692787,0.018759385757553915,0.01673952487868352,0.016326547671166782,0.014791550393240729,True,3.749521288215129e-09
linear_lag,contiguous,2,14,34992,729,0,0.014161779694399844,0.0016947525003336837,8.356252427190105,3.237104841421527e-17,computed,0.0262957565692787,0.018759385757553915,0.01673952487868352,0.016326547671166782,0.014791550393240729,True,1.242798541445969e-16
naive_1,contiguous,1,14,34992,729,0,0.015133528109272347,0.002137662399916628,7.079475276293665,7.235065587287064e-13,computed,0.03098923224024515,0.023316286728637926,0.021286679944739612,0.02110263450959557,0.019357759135003295,True,8.038849305909684e-12
naive_1,contiguous,2,14,34992,729,0,0.018772741766642752,0.0020707815334970125,9.065534660694247,6.199731562747374e-20,computed,0.03098923224024515,0.023316286728637926,0.021286679944739612,0.02110263450959557,0.019357759135003295,True,5.148667944931997e-19
ridge_lag,contiguous,1,14,34992,729,0,0.01141179510397216,0.0018406942079036632,6.199723482027396,2.8281224261620067e-10,computed,0.027273428653529466,0.019777559324138463,0.017706107279057203,0.017146796961131465,0.015764778755919705,True,1.3420915896624019e-09
ridge_lag,contiguous,2,14,34992,729,0,0.015082634535626763,0.0017677621808968702,8.532049558823926,7.188871761435324e-18,computed,0.027273428653529466,0.019777559324138463,0.017706107279057203,0.017146796961131465,0.015764778755919705,True,3.411494580620819e-17
seasonal_naive_7,contiguous,1,14,34992,729,0,-0.004245305372864059,0.00017081222058785487,-24.853639618135784,1.0,computed,0.012325053667026709,0.004677662550320622,0.002563840373772979,0.001239193999515158,0.0006076063708007727,False,1.0
seasonal_naive_7,contiguous,2,14,34992,729,0,-0.00038159831740870666,7.12542329929577e-05,-5.355447688931285,0.9999999573275818,computed,0.012325053667026709,0.004677662550320622,0.002563840373772979,0.001239193999515158,0.0006076063708007727,False,1.0
ses,contiguous,1,14,34992,729,0,0.007609189327941716,0.0010635277153552198,7.15466951926141,4.193736982763044e-13,computed,0.02073371890415027,0.014636781146478064,0.01295960023970627,0.012282553638565619,0.011206525867912577,True,8.038849305909684e-12
ses,contiguous,2,14,34992,729,0,0.010674247130374912,0.0011328792614842178,9.422228381504903,2.208072180675627e-21,computed,0.02073371890415027,0.014636781146478064,0.01295960023970627,0.012282553638565619,0.011206525867912577,True,7.334917869703865e-20
theta,contiguous,1,14,34992,729,0,0.013724502262094488,0.0019543945549259007,7.02238052572493,1.0905975039205277e-12,computed,0.029632125533076148,0.022028848247780546,0.019978538798593435,0.01955660185842885,0.018052221007371,True,9.057044409790803e-12
theta,contiguous,2,14,34992,729,0,0.017390939902148142,0.0018823142133360543,9.239126910339753,1.2425836313393661e-20,computed,0.029632125533076148,0.022028848247780546,0.019978538798593435,0.01955660185842885,0.018052221007371,True,2.0638475865684457e-19
