model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p
dlinear,contiguous,14,34992,729,0,0.023666968128385722,0.0018818368163469915,12.576525192193802,1.4213035708866518e-36,computed,0.9701004598690941,True,True,1.573792899768419e-35
dlinear,interleaved,14,34992,729,0,0.021596174160511957,0.0019160923735502366,11.270946254275534,9.12984355527905e-30,computed,0.9722091978027771,True,True,1.0109369495449265e-28
drift,contiguous,14,34992,729,0,0.025821353961968947,0.0021110331018190424,12.231619646190822,1.0534757219411063e-34,computed,0.948503113355735,True,True,5.832507021125128e-34
drift,interleaved,14,34992,729,0,0.02302100894427872,0.002152269143354724,10.696157130420996,5.304355856595126e-27,computed,0.9525446250586098,True,True,2.2417676845077473e-26
histgbr_lag,contiguous,14,34992,729,0,0.02021972113536653,0.0017144554401658898,11.79366967590017,2.103988054030342e-32,computed,0.9763182689344729,True,True,7.7657382712052e-32
histgbr_lag,interleaved,14,34992,729,0,0.018180525535830685,0.0017291856342052916,10.513923534985986,3.726349700481957e-26,computed,0.9784774910382588,True,True,1.2378430943533534e-25
holt_winters,contiguous,14,34992,729,0,0.018256168233249395,0.0017060669654181363,10.700733677693027,5.048775772687555e-27,computed,0.9036116696406178,True,True,1.6771351932835234e-26
holt_winters,interleaved,14,34992,729,0,0.016810088116719777,0.0015708935977204884,10.700971817004516,5.0358161956880964e-27,computed,0.9243246273677155,True,True,2.2417676845077473e-26
lasso_lag,contiguous,14,34992,729,0,0.02129619410094107,0.0017504327995536875,12.166244888904627,2.3511075046919943e-34,computed,0.9672664765629607,True,True,9.76257739708688e-34
lasso_lag,interleaved,14,34992,729,0,0.018884776286542455,0.0017676423424911785,10.683595788912655,6.073669061967449e-27,computed,0.9703055013658881,True,True,2.2417676845077473e-26
linear_lag,contiguous,14,34992,729,0,0.021280438906851665,0.0017473455092154343,12.17872412446161,2.0177265090173846e-34,computed,0.9673094528425085,True,True,9.575164614305796e-34
linear_lag,interleaved,14,34992,729,0,0.018867260910724645,0.0017645865821235313,10.692170677178948,5.537408686420897e-27,computed,0.9703528081285729,True,True,2.2417676845077473e-26
naive_1,contiguous,14,34992,729,0,0.02586133981828674,0.0021138862430040064,12.234026265072641,1.0227151242155305e-34,computed,0.9483735294767598,True,True,5.832507021125128e-34
naive_1,interleaved,14,34992,729,0,0.023059245355051907,0.0021553925979426966,10.698396838265918,5.177714303769423e-27,computed,0.9524214519993334,True,True,2.2417676845077473e-26
ridge_lag,contiguous,14,34992,729,0,0.02224334915230029,0.001790345489660645,12.424054061496507,9.675084307337099e-36,computed,0.9690627847688056,True,True,8.034831175114046e-35
ridge_lag,interleaved,14,34992,729,0,0.020108513497795726,0.0018162225721801636,11.071613031247486,8.613573801767416e-29,computed,0.9713540277076679,True,True,7.153282505156272e-28
seasonal_naive_7,contiguous,14,34992,729,0,0.007193393553958836,0.0002504781031193997,28.71865230682395,1.115957188561233e-181,computed,0.9921178284686057,True,True,3.707059214747991e-180
seasonal_naive_7,interleaved,14,34992,729,0,0.006413020659385669,0.0001961831071897952,32.68895447344231,1.120897892844742e-234,computed,0.9926661655804678,True,True,3.7234715677748483e-233
ses,contiguous,14,34992,729,0,0.016196514487893575,0.001516758686503902,10.678372658755766,6.425226248774352e-27,computed,0.8987301073935781,True,True,1.9403395184384912e-26
ses,interleaved,14,34992,729,0,0.013777739626225943,0.001356453568010284,10.157177474519708,1.5392994947733958e-24,computed,0.9214737731713828,True,True,4.648495671247321e-24
theta,contiguous,14,34992,729,0,0.02451754849675923,0.0019069549487613345,12.856910181692884,3.9329238847774366e-38,computed,0.9653144490120248,True,True,6.532321256321507e-37
theta,interleaved,14,34992,729,0,0.0220905430575808,0.0019448346927159093,11.358571060212808,3.3617686211840385e-30,computed,0.9683652210337279,True,True,5.583670893808275e-29
