model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p
Item mean,contiguous,1,0,12088,279,0,-0.001993989180461473,0.0005997571994350128,-3.3246606832562637,0.999557368978341,computed,0.00959436060204288,0.005481469055013455,0.0026058441409086367,0.0022005249805874586,0.0011419315567132119,False,1.0
Item mean,contiguous,2,0,12088,279,0,0.0008824764077638293,0.0003378778513208085,2.6118208231587663,0.004503072081689903,computed,0.00959436060204288,0.005481469055013455,0.0026058441409086367,0.0022005249805874586,0.0011419315567132119,True,0.01648669396575058
User mean,contiguous,1,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,0.0,0.0,0.0,0.0,0.0,False,1.0
User mean,contiguous,2,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,0.0,0.0,0.0,0.0,0.0,False,1.0
User and item bias,contiguous,1,0,12088,279,0,-0.001993989180461473,0.0005997571994350128,-3.3246606832562637,0.999557368978341,computed,0.00959436060204288,0.005481469055013455,0.0026058441409086367,0.0022005249805874586,0.0011419315567132119,False,1.0
User and item bias,contiguous,2,0,12088,279,0,0.0008824764077638293,0.0003378778513208085,2.6118208231587663,0.004503072081689903,computed,0.00959436060204288,0.005481469055013455,0.0026058441409086367,0.0022005249805874586,0.0011419315567132119,True,0.01648669396575058
SVD (40 factors),contiguous,1,0,12088,279,0,0.04638027405200241,0.004754657711467571,9.754703044162287,8.805767090804199e-23,computed,0.05769451597203761,0.05346391377447238,0.05072463016551147,0.05047868955535654,0.049507087682669836,True,6.447953065200972e-22
SVD (40 factors),contiguous,2,0,12088,279,0,0.049141735162648234,0.0046278559178764,10.618683043442301,1.2198939842374157e-26,computed,0.05769451597203761,0.05346391377447238,0.05072463016551147,0.05047868955535654,0.049507087682669836,True,8.932576882595599e-26
SVD interaction,contiguous,1,0,12088,279,0,0.23107090217569842,0.016947974145905355,13.634131146673088,1.2548097633823834e-42,computed,0.228447084051684,0.22840899792285663,0.22876357935140773,0.22997693881191356,0.23103429935733114,True,3.675297961716417e-41
SVD interaction,contiguous,2,0,12088,279,0,0.2301325781009396,0.016924449717156006,13.597640215602308,2.0678143707877632e-42,computed,0.228447084051684,0.22840899792285663,0.22876357935140773,0.22997693881191356,0.23103429935733114,True,6.056562647136698e-41
Global mean,contiguous,1,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,0.0,0.0,0.0,0.0,0.0,False,1.0
Global mean,contiguous,2,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,0.0,0.0,0.0,0.0,0.0,False,1.0
Slope One,contiguous,1,0,12088,279,0,0.026595117985658893,0.004101044103025547,6.48496268695046,4.4376873723998365e-11,computed,0.0383483280658553,0.03413064964289299,0.03106442742641775,0.030873687718722054,0.029839206210219155,True,2.1663075724658197e-10
Slope One,contiguous,2,0,12088,279,0,0.02948502216574663,0.004108473677981742,7.176636502203645,3.5723657266007083e-13,computed,0.0383483280658553,0.03413064964289299,0.03106442742641775,0.030873687718722054,0.029839206210219155,True,1.7438909674629515e-12
Item nearest neighbours,contiguous,1,0,12088,279,0,0.18011056895245883,0.014349592049515147,12.551615985385768,1.947397191964328e-36,computed,0.18981735710589137,0.1857393298482842,0.18342289633914008,0.18330855731560752,0.18323597272187697,True,2.0747604187317184e-35
Item nearest neighbours,contiguous,2,0,12088,279,0,0.18235442203627983,0.014106708952525047,12.92678700964048,1.589126913232089e-38,computed,0.18981735710589137,0.1857393298482842,0.18342289633914008,0.18330855731560752,0.18323597272187697,True,2.327251140191676e-37
Alternating least squares,contiguous,1,0,12088,279,0,0.1879224731903423,0.014980227308599974,12.544701046188946,2.1250763806546256e-36,computed,0.1943996573941031,0.19127314594126982,0.19004663743943526,0.19023365739894774,0.18991306808362737,True,2.0747604187317184e-35
Alternating least squares,contiguous,2,0,12088,279,0,0.189360577086581,0.014859311967648477,12.743562925312737,1.6928609265725267e-37,computed,0.1943996573941031,0.19127314594126982,0.19004663743943526,0.19023365739894774,0.18991306808362737,True,1.6527786374380712e-36
SVD (32 factors),contiguous,1,0,12088,279,0,0.04387895540299715,0.0047641012158020175,9.210332319862415,1.625584047582604e-20,computed,0.05535211582558462,0.05109479767629519,0.04841356870740663,0.048061381460852995,0.046973439213366545,True,9.522568139053333e-20
SVD (32 factors),contiguous,2,0,12088,279,0,0.04669961500052437,0.004634953502048473,10.075530418996635,3.5438661387809415e-24,computed,0.05535211582558462,0.05109479767629519,0.04841356870740663,0.048061381460852995,0.046973439213366545,True,2.0759742833604864e-23
