model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p
Last week,contiguous,2,112000,28,0,0.005300423159786466,0.0005434265255012449,9.753707099404965,8.892618673679846e-23,computed,0.9913176034044964,True,True,1.3023098894926773e-21
Last week,interleaved,2,112000,28,0,0.0039037358867830543,0.0005773807564886721,6.7611118710009235,6.846836645401629e-12,computed,0.9917286294904608,True,True,3.342361195747977e-11
Four week mean,contiguous,2,112000,28,0,0.04987514356787841,0.006035033437592822,8.264269632244487,7.027630157384846e-17,computed,0.8497820816544976,True,True,5.145926407902534e-16
Four week mean,interleaved,2,112000,28,0,0.036002193013038614,0.003965864612207164,9.078018675227025,5.528459694291446e-20,computed,0.8750722559566245,True,True,8.096341468961341e-19
Past price and calendar,contiguous,2,112000,28,0,0.00938423770738961,0.001340148657663266,7.002385633659719,1.2582014170270693e-12,computed,0.728236358300032,True,True,6.142053345950262e-12
Past price and calendar,interleaved,2,112000,28,0,0.008123953787529978,0.0010320979701267299,7.871301003074785,1.7548603230364162e-15,computed,0.7981600121484465,True,True,1.0279860352644276e-14
Past price calendar and history,contiguous,2,112000,28,0,0.03703288971306721,0.00457952923971438,8.086614971668334,3.0672903882555974e-16,computed,0.9202031389289407,True,True,1.796799234580521e-15
Past price calendar and history,interleaved,2,112000,28,0,0.027035247368929354,0.0030946076034468755,8.736244084328044,1.2049448618606358e-18,computed,0.932630981548553,True,True,8.823113120429913e-18
Training series mean,contiguous,2,112000,28,0,-2.9858880556288904e-13,1.3625917048721446e-13,,1.0,undefined_rank_or_scale,1.0,True,False,1.0
Training series mean,interleaved,2,112000,28,0,-5.261776208748816e-13,1.3152119820679259e-12,,1.0,undefined_rank_or_scale,1.0,True,False,1.0
Eight week mean,contiguous,2,112000,28,0,0.028560118276225652,0.007021141773567582,4.067731317397069,2.3736537013375047e-05,computed,0.8362036471122307,True,True,8.690445421414742e-05
Eight week mean,interleaved,2,112000,28,0,0.0224615690199633,0.004742204484961515,4.736524772643916,1.0870708808325844e-06,computed,0.8815954856350116,True,True,3.979995124714934e-06
Exponential smoothing,contiguous,2,112000,28,0,0.030321536198944943,0.005233700255788148,5.793517916011947,3.4463564289840403e-09,computed,0.8982780113216662,True,True,1.442038367479093e-08
Exponential smoothing,interleaved,2,112000,28,0,0.02266975622494806,0.0035313372461869543,6.4195953670033274,6.831851860015463e-11,computed,0.9222670700434226,True,True,2.858611030542751e-10
Croston SBA,contiguous,2,112000,28,0,-0.016101048585738048,0.0012037486080341013,-13.375756763726134,1.0,computed,0.9554598179474536,True,False,1.0
Croston SBA,interleaved,2,112000,28,0,-0.01424930901890709,0.0007397747123397467,-19.261687080164744,1.0,computed,0.9691043650652926,True,False,1.0
Theta,contiguous,2,112000,28,0,0.049377790791397265,0.00502102680828973,9.834201783164032,4.010053210512493e-23,computed,0.8900714550057072,True,True,1.1745318550314567e-21
Theta,interleaved,2,112000,28,0,0.03902740195794641,0.003263042983895053,11.96043145939803,2.8631804368323857e-33,computed,0.9131759866229366,True,True,8.386164604865015e-32
Ridge with history,contiguous,2,112000,28,0,0.026009660223102745,0.0030949150161537612,8.403998199416321,2.1576465709015935e-17,computed,0.9516978790520116,True,True,2.1065594364847436e-16
Ridge with history,interleaved,2,112000,28,0,0.018830089752383577,0.002132558527729929,8.829811471776054,5.24261529259641e-19,computed,0.9589154068315825,True,True,5.118484586594458e-18
