domain,model,n_rows,clusters_total,clusters_defined,clusters_undefined,mean_cluster_spearman,baseline_clusters_defined,baseline_mean_cluster_spearman,paired_clusters_defined,paired_mean_spearman_difference,original_scale_mae,mae_status,mae_units,baseline_original_scale_mae,exact_baseline_copy,audit_beta,audit_raw_T,audit_raw_p,audit_raw_BY_p,audit_guarded_p,audit_guarded_BY_p,audit_final_label,audit_label_scope,audit_abstention_reason,cohort_sha256,audit_family_size,undefined_fewer_than_two_rows,undefined_constant_prediction,undefined_constant_outcome,undefined_constant_prediction_and_outcome
electricity,dlinear,34992,729,729,0,0.99150090235039345,729,0.98522059337329881,729,0.0062803089770947047,4.5850489680874844,computed,daily mean in original UCI load units,6.3068801092740525,False,2,8.7628575466187009,9.5181079615048048e-19,5.269645076491516e-18,9.5181079615046681e-19,5.269645076491516e-18,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,drift,34992,729,729,0,0.98265695551500598,729,0.98522059337329881,729,-0.0025636378582927482,6.8554568728803877,computed,daily mean in original UCI load units,6.3068801092740525,False,2,9.0659387533537519,6.1767920290049361e-20,5.148667944931997e-19,6.176792029004888e-20,5.148667944931997e-19,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,histgbr_lag,34992,729,729,0,0.99110924091627473,729,0.98522059337329881,729,0.0058886475429757558,5.5592710537299244,computed,daily mean in original UCI load units,6.3068801092740525,False,2,7.4904028865944108,3.4331257558689107e-14,1.1404380561489648e-13,3.4331257558688722e-14,1.1404380561489648e-13,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,holt_winters,34992,729,729,0,0.95410554909875733,729,0.98522059337329881,729,-0.031115044274541526,5.5568639410852585,computed,daily mean in original UCI load units,6.3068801092740525,False,2,9.0202780336979274,9.3806266974176405e-20,6.2322352497422247e-19,9.3806266974175479e-20,6.2322352497422247e-19,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,lasso_lag,34992,729,729,0,0.98750953973416311,729,0.98522059337329881,729,0.0022889463608643558,5.9690790179141988,computed,daily mean in original UCI load units,6.3068801092740525,False,2,8.3516027729296027,3.3671406290684429e-17,1.2427985414459695e-16,3.3671406290684121e-17,1.2427985414459695e-16,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,linear_lag,34992,729,729,0,0.98751371115347109,729,0.98522059337329881,729,0.0022931177801722678,5.9504144183577807,computed,daily mean in original UCI load units,6.3068801092740525,False,2,8.3562524271901051,3.2371048414215549e-17,1.2427985414459695e-16,3.2371048414215265e-17,1.2427985414459695e-16,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,naive_1,34992,729,729,0,0.98263967575790012,729,0.98522059337329881,729,-0.0025809176153986499,6.8581029833786316,computed,daily mean in original UCI load units,6.3068801092740525,False,2,9.0655346606942473,6.1997315627474496e-20,5.148667944931997e-19,6.1997315627473737e-20,5.148667944931997e-19,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,ridge_lag,34992,729,729,0,0.98952398842539746,729,0.98522059337329881,729,0.0043033950520985804,5.354170553023863,computed,daily mean in original UCI load units,6.3068801092740525,False,2,8.5320495588239265,7.188871761435383e-18,3.4114945806208189e-17,7.1888717614353245e-18,3.4114945806208189e-17,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,seasonal_naive_7,34992,729,729,0,0.98522059337329881,729,0.98522059337329881,729,0,6.3068801092740525,computed,daily mean in original UCI load units,6.3068801092740525,True,2,-5.3554476889312852,0.99999995732758185,1,1,1,abstain,operational screen; calibration not established,exact_observed_baseline_copy,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,ses,34992,729,729,0,0.94747484528961412,729,0.98522059337329881,729,-0.037745748083684721,8.0643246566311824,computed,daily mean in original UCI load units,6.3068801092740525,False,2,9.4222283815049046,2.2080721806756245e-21,7.3349178697038641e-20,2.2080721806756268e-21,7.3349178697038641e-20,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
electricity,theta,34992,729,729,0,0.98984769453684396,729,0.98522059337329881,729,0.004627101163545015,4.8933458012159248,computed,daily mean in original UCI load units,6.3068801092740525,False,2,9.2391269103397526,1.242583631339381e-20,2.0638475865684457e-19,1.242583631339366e-20,2.0638475865684457e-19,retain,operational screen; calibration not established,none,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,11,0,0,0,0
