domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label,display_name,full_evaluation_rows,support_fraction,forecast_pooled_fallback_fraction,outcome_pooled_fallback_fraction,forecast_unseen_entity_fraction,outcome_unseen_entity_fraction
electricity,dlinear,complementary_middle,21024,11,2,14,D,True,0.0186264093407543,0.0027211676264260621,6.8450062244853056,6.8450062244853056,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.8236273120990929e-12,3.8236273120990929e-12,2.5403148089137072e-11,RETAIN,DLinear,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,dlinear,directional_middle,21024,11,2,14,D,True,0.019467501870370923,0.002838819707253408,6.8576041728292649,6.8576041728292649,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.5012479914119345e-12,3.5012479914119345e-12,3.7230691301096446e-11,RETAIN,DLinear,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,drift,complementary_middle,21024,11,2,14,D,True,0.020798768513573047,0.0029855141378317229,6.9665617221556628,6.9665617221556628,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.6239022191498096e-12,1.6239022191498096e-12,1.3485960185243026e-11,RETAIN,Drift,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,drift,directional_middle,21024,11,2,14,D,True,0.019697714247169679,0.0029889888587822425,6.5900928968985228,6.5900928968985228,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.1977572991857372e-11,2.1977572991857372e-11,1.2167755375141349e-10,RETAIN,Drift,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,histgbr_lag,complementary_middle,21024,11,2,14,D,True,0.014858638473516747,0.0026348995261700329,5.6391670065365149,5.6391670065365149,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,8.5437374534968466e-09,8.5437374534968466e-09,2.8381143094034703e-08,RETAIN,Histogram gradient boosting,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,histgbr_lag,directional_middle,21024,11,2,14,D,True,0.015936140607701651,0.0027102559284689722,5.879939396241447,5.879939396241447,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.052083603612991e-09,2.052083603612991e-09,7.513349503778172e-09,RETAIN,Histogram gradient boosting,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,holt_winters,complementary_middle,21024,11,2,14,D,True,0.01298860789332293,0.0018551424922038514,7.0014071414497492,7.0014071414497492,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.2670218021542374e-12,1.2670218021542374e-12,1.3485960185243026e-11,RETAIN,Holt-Winters,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,holt_winters,directional_middle,21024,11,2,14,D,True,0.012192376431269823,0.0011224521984173198,10.862267852886136,10.862267852886136,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,8.718215877099787e-28,8.718215877099787e-28,2.8960736876503976e-26,RETAIN,Holt-Winters,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,lasso_lag,complementary_middle,21024,11,2,14,D,True,0.01597329820891559,0.0025762571972625524,6.2001954718994288,6.2001954718994288,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.819653817444974e-10,2.819653817444974e-10,1.0519243471920508e-09,RETAIN,Lasso lag regression,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,lasso_lag,directional_middle,21024,11,2,14,D,True,0.01572727690025872,0.0026810072198160994,5.8661822258492515,5.8661822258492515,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.2297184346453089e-09,2.2297184346453089e-09,7.513349503778172e-09,RETAIN,Lasso lag regression,34992,0.6008230452674898,0.0,0.0,0.0,0.0
