model,n,mae,rmse,prediction_sha256
Item mean,12088,0.6927495830960513,0.9045356843581572,7aa911acfa9c0d7fffeb12fd6ac6f94653c17ebb386c7906331d6b2ad19d4458
User mean,12088,0.7152900589508241,0.9379200685271538,b5ed191e0bd8d1f983938408c5401cf10589455e22f6cbded0c3078a70422f56
User and item bias,12088,0.6225813376716963,0.8244571614749184,ddeffe3c70c93254077fdefddfa4187a6c18f03e9eb94d10cb26bd418cb32d2d
SVD (40 factors),12088,0.6080979720484619,0.8071602108767403,3a84fd936ac423a1c530077947050475b870ac28b6398ef8d39efbe285330330
SVD interaction,12088,3.4628739948999923,3.5954516764063644,e2dedcb0d38495d255ed4f34ada2adf63ff73e8d77fab89f297afb0ab0a13648
Global mean,12088,0.7474728433837166,0.9861361862594149,3ed212f6a98460df6e7b18152faf6fb562209b5bb22bf71b28f0b49109025b0b
Slope One,12088,0.6116401790379294,0.8112107907485013,ad9844e49767624edd13db1842151f11912e2ef3bbf9a602aeb9606bf7ea6c76
Item nearest neighbours,12088,0.5811003829660122,0.7772604745170765,b3b28869c75ab83647b81f24d19047e5feb248e4be0532b44b763158da14407c
Alternating least squares,12088,0.7189996005201449,1.005539963518248,3121e2918d7937968eb432312b7bde773e503ec5fe31108e97268f50551b9137
SVD (32 factors),12088,0.608298668090359,0.8078641038457722,38585fcf85f01af4d35e8bd0c2fd0eee3d53809efbfcb8b7d4d8b445d1decc56
