model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,overlap_screen,by_reject,by_adjusted_p
Item mean,contiguous,0,12088,279,0,0.007037964241189406,0.0011290773610614798,6.233376457546543,2.2824369215517882e-10,computed,0.986993538624637,True,True,8.356481606137771e-10
Item mean,interleaved,0,12088,279,0,0.007712935792869562,0.0011282403947875585,6.836252121890978,4.0645913059136775e-12,computed,0.9868816420832471,True,True,1.488132362547066e-11
User mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,False,False,1.0
User mean,interleaved,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,False,False,1.0
User and item bias,contiguous,0,12088,279,0,0.007037964241189406,0.0011290773610614798,6.233376457546543,2.2824369215517882e-10,computed,0.986993538624637,True,True,8.356481606137771e-10
User and item bias,interleaved,0,12088,279,0,0.007712935792869562,0.0011282403947875585,6.836252121890978,4.0645913059136775e-12,computed,0.9868816420832471,True,True,1.488132362547066e-11
SVD (40 factors),contiguous,0,12088,279,0,0.054913828055630325,0.004656097599581284,11.79395983034562,2.0967495845645955e-32,computed,0.8905538738753679,True,True,1.5353282424277062e-31
SVD (40 factors),interleaved,0,12088,279,0,0.05743082751903317,0.004862998026357419,11.80975752154503,1.7378108662316757e-32,computed,0.8902255156477752,True,True,1.2724982146484125e-31
SVD interaction,contiguous,0,12088,279,0,0.2276584748034003,0.016922677670345034,13.45286362112448,1.4808812088107348e-41,computed,-0.25295477422376167,False,True,2.1687270242523873e-40
SVD interaction,interleaved,0,12088,279,0,0.22282119349340992,0.01686299452382404,13.213619513343739,3.660863984729573e-40,computed,-0.24960952524923585,False,True,3.574184797789547e-39
Global mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,False,False,1.0
Global mean,interleaved,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,False,False,1.0
Slope One,contiguous,0,12088,279,0,0.035750624858085736,0.00447754053471711,7.984433548035864,7.05845221886017e-16,computed,0.9207913070057205,True,True,3.4456637451988696e-15
Slope One,interleaved,0,12088,279,0,0.03558593256341332,0.004513223790099964,7.884814540212534,1.5750149837846497e-15,computed,0.9207641427460713,True,True,7.68861481171594e-15
Item nearest neighbours,contiguous,0,12088,279,0,0.1872605380417092,0.013674329861571115,13.69431189223878,5.489777520569699e-43,computed,0.4752221711578427,True,True,1.60793840790972e-41
Item nearest neighbours,interleaved,0,12088,279,0,0.19642849179971505,0.012544915234693305,15.658016664511747,1.4644469288602116e-55,computed,0.4678333002069748,True,True,4.2893185642528654e-54
Alternating least squares,contiguous,0,12088,279,0,0.19303316062200634,0.01462702649299957,13.197019962628165,4.56374961910098e-40,computed,0.06184209779032057,False,True,4.455692584468826e-39
Alternating least squares,interleaved,0,12088,279,0,0.196909934809646,0.01359772907542246,14.481089725898096,7.977374509953764e-48,computed,0.0738089954032417,False,True,1.1682738344835067e-46
SVD (32 factors),contiguous,0,12088,279,0,0.05252826938011413,0.004598827921910348,11.422099341845769,1.6215204056470327e-30,computed,0.8959298761102633,True,True,9.498763582603769e-30
SVD (32 factors),interleaved,0,12088,279,0,0.053438054997227286,0.0047704437182163155,11.201904509043857,1.9953045043165987e-29,computed,0.896711235670556,True,True,1.1688367100286358e-28
