design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,coverage_failures,allowance_failures,rejections,coverage_failure_cp_upper_95
eight_rare,-0.125,estimated,8192,512,25,64,10816,absolute_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,25,64,10816,independent_triples,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,25,64,10816,signed_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,25,64,10816,signed_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,100,64,15616,absolute_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,100,64,15616,independent_triples,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,100,64,15616,signed_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,100,64,15616,signed_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,400,64,34816,absolute_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,400,64,34816,independent_triples,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,400,64,34816,signed_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,400,64,34816,signed_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,1600,64,111616,absolute_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,1600,64,111616,signed_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,512,1600,64,111616,signed_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,8192,25,64,26176,absolute_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,8192,25,64,26176,independent_triples,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,8192,25,64,26176,pooled_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,8192,25,64,26176,signed_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,8192,25,64,26176,signed_variance,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0029912495450952954
eight_rare,-0.125,estimated,8192,8192,100,64,30976,independent_triples,1000,0,0,0,0.0029912495450952954
