design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,absolute_range,independent_triples,pooled_variance,signed_range,signed_variance,variance_gain_over_absolute,variance_gain_over_triples,variance_gain_over_pool
eight_rare,0.125,estimated,8192,512,25,64,10816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.125,estimated,8192,512,100,64,15616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.125,estimated,8192,512,400,64,34816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.125,estimated,8192,512,1600,64,111616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.125,estimated,8192,8192,25,64,26176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.125,estimated,8192,8192,100,64,30976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.125,estimated,8192,8192,400,64,50176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.125,estimated,8192,8192,1600,64,126976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.25,estimated,8192,512,25,64,10816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.25,estimated,8192,512,100,64,15616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.25,estimated,8192,512,400,64,34816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.25,estimated,8192,512,1600,64,111616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.25,estimated,8192,8192,25,64,26176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.25,estimated,8192,8192,100,64,30976,0.0,0.433,0.461,0.0,0.435,0.435,0.0020000000000000018,-0.026000000000000023
eight_rare,0.25,estimated,8192,8192,400,64,50176,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
eight_rare,0.25,estimated,8192,8192,1600,64,126976,0.559,1.0,1.0,0.739,1.0,0.44099999999999995,0.0,0.0
eight_rare,0.5,estimated,8192,512,25,64,10816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.5,estimated,8192,512,100,64,15616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.5,estimated,8192,512,400,64,34816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.5,estimated,8192,512,1600,64,111616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eight_rare,0.5,estimated,8192,8192,25,64,26176,0.0,0.867,0.933,0.0,0.916,0.916,0.049000000000000044,-0.017000000000000015
eight_rare,0.5,estimated,8192,8192,100,64,30976,0.356,1.0,1.0,0.421,1.0,0.644,0.0,0.0
eight_rare,0.5,estimated,8192,8192,400,64,50176,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
eight_rare,0.5,estimated,8192,8192,1600,64,126976,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
two_balanced,0.125,estimated,8192,512,25,64,10816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
two_balanced,0.125,estimated,8192,512,100,64,15616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
