design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,rejections,power,target,mean,bias,bias_allowance,absolute_allowance,signed_allowance,bias_width,radius,lower,coverage_failures,allowance_failures
eight_rare,-0.125,estimated,8192,512,25,64,10816,absolute_range,1000,0,0.0,-0.0068275510204081,-0.006785830700263343,-4.808773262243608e-06,0.13273764684198266,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.03786894205451123,-0.17739241959675736,0,0
eight_rare,-0.125,estimated,8192,512,25,64,10816,independent_triples,1000,0,0.0,-0.0068275510204081,-0.006793337932607606,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.01617370775427257,-0.1481090195717263,0,0
eight_rare,-0.125,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0.0,-0.0068275510204081,-0.006783139016561028,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.015950182977937377,-0.1478752958793446,0,0
eight_rare,-0.125,estimated,8192,512,25,64,10816,signed_range,1000,0,0.0,-0.0068275510204081,-0.006785830700263343,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.03786894205451123,-0.16979674663962072,0,0
eight_rare,-0.125,estimated,8192,512,25,64,10816,signed_variance,1000,0,0.0,-0.0068275510204081,-0.006785830700263343,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.016161024966552792,-0.14808882955166228,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,absolute_range,1000,0,0.0,-0.0068275510204081,-0.006810422650580807,-4.808773262243608e-06,0.13273764684198266,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.01893447102725559,-0.15848254051981917,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,independent_triples,1000,0,0.0,-0.0068275510204081,-0.0068041653942362175,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.005170910307939879,-0.13711704958702225,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0.0,-0.0068275510204081,-0.0068133668968729235,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.005107639430317395,-0.13706298021203647,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,signed_range,1000,0,0.0,-0.0068275510204081,-0.006810422650580807,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.01893447102725559,-0.15088686756268258,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,signed_variance,1000,0,0.0,-0.0068275510204081,-0.006810422650580807,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.005170118978835499,-0.13712251551426247,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,absolute_range,1000,0,0.0,-0.0068275510204081,-0.006823672486993569,-4.808773262243608e-06,0.13273764684198266,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.00946723551362777,-0.1490285548426041,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,independent_triples,1000,0,0.0,-0.0068275510204081,-0.006820949578526005,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.0018592449405292466,-0.1338221684039014,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0.0,-0.0068275510204081,-0.006825046844172656,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.0018395493557632312,-0.13380657008478203,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,signed_range,1000,0,0.0,-0.0068275510204081,-0.006823672486993569,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.00946723551362777,-0.14143288188546752,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,signed_variance,1000,0,0.0,-0.0068275510204081,-0.006823672486993569,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.0018591955034373527,-0.1338248418752771,0,0
eight_rare,-0.125,estimated,8192,512,1600,64,111616,absolute_range,1000,0,0.0,-0.0068275510204081,-0.0068254502891377964,-4.808773262243608e-06,0.13273764684198266,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.004733617756813861,-0.14429671488793444,0,0
eight_rare,-0.125,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0.0,-0.0068275510204081,-0.006830370772366338,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.000748182619791608,-0.13272052727700412,0,0
eight_rare,-0.125,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0.0,-0.0068275510204081,-0.006825127369236735,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.000740901790775754,-0.13270800304485866,0,0
eight_rare,-0.125,estimated,8192,512,1600,64,111616,signed_range,1000,0,0.0,-0.0068275510204081,-0.0068254502891377964,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.004733617756813861,-0.13670104193079782,0,0
eight_rare,-0.125,estimated,8192,512,1600,64,111616,signed_variance,1000,0,0.0,-0.0068275510204081,-0.0068254502891377964,-4.808773262243608e-06,0.12514197388484607,0.13273764684198266,0.12514197388484607,0.2443350582852423,0.000748179530300974,-0.13271560370428495,0,0
eight_rare,-0.125,estimated,8192,8192,25,64,26176,absolute_range,1000,0,0.0,-0.0068275510204081,-0.006785830700263343,-4.808773262243608e-06,0.008928006862450774,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.03786894205451123,-0.05358277961722544,0,0
eight_rare,-0.125,estimated,8192,8192,25,64,26176,independent_triples,1000,0,0.0,-0.0068275510204081,-0.006793337932607606,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.01617370775427257,-0.03126770025155907,0,0
eight_rare,-0.125,estimated,8192,8192,25,64,26176,pooled_variance,1000,0,0.0,-0.0068275510204081,-0.006783139016561028,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.015950182977937377,-0.0310339765591773,0,0
eight_rare,-0.125,estimated,8192,8192,25,64,26176,signed_range,1000,0,0.0,-0.0068275510204081,-0.006785830700263343,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.03786894205451123,-0.05295542731945347,0,0
eight_rare,-0.125,estimated,8192,8192,25,64,26176,signed_variance,1000,0,0.0,-0.0068275510204081,-0.006785830700263343,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.016161024966552792,-0.031247510231495027,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,absolute_range,1000,0,0.0,-0.0068275510204081,-0.006810422650580807,-4.808773262243608e-06,0.008928006862450774,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.01893447102725559,-0.03467290054028727,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,independent_triples,1000,0,0.0,-0.0068275510204081,-0.0068041653942362175,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.005170910307939879,-0.02027573026685499,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,pooled_variance,1000,0,0.0,-0.0068275510204081,-0.0068133668968729235,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.005107639430317395,-0.020221660891869213,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,signed_range,1000,0,0.0,-0.0068275510204081,-0.006810422650580807,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.01893447102725559,-0.034045548242515294,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,signed_variance,1000,0,0.0,-0.0068275510204081,-0.006810422650580807,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.005170118978835499,-0.020281196194095207,0,0
eight_rare,-0.125,estimated,8192,8192,400,64,50176,absolute_range,1000,0,0.0,-0.0068275510204081,-0.006823672486993569,-4.808773262243608e-06,0.008928006862450774,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.00946723551362777,-0.025218914863072213,0,0
eight_rare,-0.125,estimated,8192,8192,400,64,50176,independent_triples,1000,0,0.0,-0.0068275510204081,-0.006820949578526005,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.0018592449405292466,-0.016980849083734147,0,0
eight_rare,-0.125,estimated,8192,8192,400,64,50176,pooled_variance,1000,0,0.0,-0.0068275510204081,-0.006825046844172656,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.0018395493557632312,-0.016965250764614782,0,0
eight_rare,-0.125,estimated,8192,8192,400,64,50176,signed_range,1000,0,0.0,-0.0068275510204081,-0.006823672486993569,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.00946723551362777,-0.024591562565300235,0,0
eight_rare,-0.125,estimated,8192,8192,400,64,50176,signed_variance,1000,0,0.0,-0.0068275510204081,-0.006823672486993569,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.0018591955034373527,-0.016983522555109824,0,0
eight_rare,-0.125,estimated,8192,8192,1600,64,126976,absolute_range,1000,0,0.0,-0.0068275510204081,-0.0068254502891377964,-4.808773262243608e-06,0.008928006862450774,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.004733617756813861,-0.020487074908402535,0,0
eight_rare,-0.125,estimated,8192,8192,1600,64,126976,independent_triples,1000,0,0.0,-0.0068275510204081,-0.006830370772366338,-4.808773262243608e-06,0.008300654564678798,0.008928006862450774,0.008300654564678798,0.016571780170549312,0.000748182619791608,-0.015879207956836845,0,0
