model,family,n_observations,n_month_clusters,n_firms,n_seed_sources,T_q8,T_q12,T_q16,T_q24,T_q32,T_q10,mean_beta1,se_beta1,T_beta1,p_beta1,nominal_decision_beta1,mean_beta2,se_beta2,T_beta2,p_beta2,nominal_decision_beta2,by_adjusted_p_beta1,by_retained_beta1,family_decision_beta1,by_adjusted_p_beta2,by_retained_beta2,family_decision_beta2,excluded_incomplete_calendar_records,outcome_encoding
Adversarial residual-ranking MLP,Adversarial multilayer perceptron,31045,132,1852,5,2.5584277145098793,2.4998450001386407,2.5398283530174774,2.5131425825311124,2.447251272398402,2.518781296374252,0.017314309359489046,0.007057590945624358,2.4532888761743497,0.007077830399554539,POSITIVE,0.01751121793230152,0.007050531608732433,2.4836734169963877,0.006501750119242996,POSITIVE,0.8482752408317253,False,NULL,0.7792322416450765,False,NULL,1010,Raw next-month return at float32 precision
Chronos-Bolt-tiny,Foundation forecaster,21428,132,1061,5,0.6359123707819683,0.6814989875399541,0.5831383472919631,0.627224559970112,0.5502102063454618,0.6124558395710504,0.005018224073002359,0.008952968542839706,0.5605095169261789,0.28756597504292947,NULL,0.005292671682624477,0.008959599267275154,0.5907263846002473,0.2773518832381837,NULL,1.0,False,NULL,1.0,False,NULL,6,Excess next-month return at full stored precision
Chronos-Bolt-small,Foundation forecaster,21428,132,1061,5,0.694227635821367,0.7345156018772117,0.6383621542285872,0.679118719704003,0.5972167264155936,0.6638897117984559,0.005213390085260175,0.008590540242320699,0.6068756956142026,0.27196670429073144,NULL,0.0055066146355616805,0.008597933247491273,0.640457942281468,0.26093746175523486,NULL,1.0,False,NULL,1.0,False,NULL,6,Excess next-month return at full stored precision
Chronos-Bolt-base,Foundation forecaster,21428,132,1061,5,0.5411775826963952,0.5759158700769228,0.47656023966985783,0.5349945192417676,0.43746861487466665,0.5086513186623747,0.004000244323378949,0.008858258317543758,0.4515836160993945,0.3257844876084752,NULL,0.004299783685165599,0.008871578410573806,0.4846695239756657,0.313955394010245,NULL,1.0,False,NULL,1.0,False,NULL,6,Excess next-month return at full stored precision
Chronos-Bolt-base (extended coverage),Foundation forecaster,23881,132,1177,5,0.09551101274524108,0.06060772565205192,0.013339335350963882,0.05115168408600359,-0.02738360500635582,0.06818677394251056,-0.0002838044709349917,0.008458163531031742,-0.033553911542825506,0.513383562592768,NULL,1.1688623443096863e-05,0.008466451173191085,0.0013805812144891058,0.49944922795697466,NULL,1.0,False,NULL,1.0,False,NULL,6,Excess next-month return at full stored precision
Moirai-1.0-R-base,Foundation forecaster,21428,132,1061,5,-3.5711149030154536,-3.5499918600902105,-3.525004822466913,-3.560730658047742,-3.555345388183413,-3.556808815977875,-0.02935348089894888,0.008286992784264554,-3.542114933982522,0.999801533758114,NULL,-0.02935162881292813,0.008278298728863239,-3.5456112148490493,0.9998041481713332,NULL,1.0,False,NULL,1.0,False,NULL,6,Excess next-month return at full stored precision
Moirai-1.0-R-large,Foundation forecaster,21428,132,1061,5,-3.332511924858899,-3.319360165899975,-3.35444907759976,-3.3451063354636306,-3.3731725713813674,-3.3538701311353494,-0.02460569689736239,0.007296963992068348,-3.3720458157815063,0.9996269398226458,NULL,-0.024431940860384985,0.007274982475546039,-3.35835047610217,0.9996079543563254,NULL,1.0,False,NULL,1.0,False,NULL,6,Excess next-month return at full stored precision
Untrained forecasting network,Untrained network,21428,132,1061,5,-2.9089129071084026,-2.8851059378938535,-2.9730818462338413,-2.8980151761837067,-3.0798039705842752,-2.888044091259118,-0.022517329500538488,0.007424013914923903,-3.0330397758648724,0.9987894815677107,NULL,-0.022155328738950715,0.007414702727540479,-2.9880265673577218,0.9985960742728118,NULL,1.0,False,NULL,1.0,False,NULL,6,Excess next-month return at full stored precision
WPMixer,Supervised forecaster,8922,132,369,4,-2.363372056021559,-2.4334522927451627,-2.432499692214307,-2.2952396267133706,-2.3269374479820644,-2.271573785591678,-0.028489309799017707,0.012261093308653657,-2.3235537877287396,0.9899252891635345,NULL,-0.028858258829486293,0.012253684571995375,-2.3550678703970465,0.9907403385726747,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
MambaSimple,Supervised forecaster,8922,132,369,4,-2.2588495294105955,-2.2181275776959453,-2.2768317740096427,-2.2387626382101375,-2.20876340951556,-2.214220636128655,-0.023543548856516796,0.01061181339523245,-2.218616929986176,0.9867436016157114,NULL,-0.023712858698204862,0.010626998736238354,-2.2313787068914737,0.987171972953973,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
