quantity,maximum_absolute_difference
T_q8,2.3517898739555676e-10
T_q12,2.0937918066010752e-10
T_q16,2.188058623175948e-10
T_q24,2.041815605480224e-10
T_q32,2.2589663473127075e-10
T_q10,1.6724754914321238e-10
mean_beta1,1.7321352685506497e-12
se_beta1,8.300478360201424e-14
T_beta1,2.2316770653674212e-10
p_beta1,4.9657722378526614e-11
by_adjusted_p_beta1,3.1107239006900045e-10
mean_beta2,1.5218937221561646e-12
se_beta2,9.03756236514397e-14
T_beta2,1.9931389871885585e-10
p_beta2,5.263350866258065e-11
by_adjusted_p_beta2,2.7972146821042543e-10
