model,family,n_observations,n_month_clusters,n_firms,n_seed_sources,T_q8,T_q12,T_q16,T_q24,T_q32,T_q10,mean_beta1,se_beta1,T_beta1,p_beta1,nominal_decision_beta1,mean_beta2,se_beta2,T_beta2,p_beta2,nominal_decision_beta2,by_adjusted_p_beta1,by_retained_beta1,family_decision_beta1,by_adjusted_p_beta2,by_retained_beta2,family_decision_beta2,excluded_missing_calendar_targets,outcome_encoding
Adversarial residual-ranking MLP,Adversarial multilayer perceptron,32051,132,1895,5,2.625897728639493,2.5998761062724145,2.630211176269146,2.6518884355244063,2.598737037717679,2.5931690285805002,0.01851276864600633,0.007063038943592689,2.6210769604775273,0.004382623610337445,POSITIVE,0.018478814243247807,0.007047057927840168,2.6222026883368224,0.004368172818898507,POSITIVE,0.5252557476889785,False,NULL,0.5235238259140734,False,NULL,4,Raw next-month return at float32 precision
Chronos-Bolt-tiny,Foundation forecaster,21434,132,1061,5,0.594725108276718,0.6383458720078027,0.544405489013442,0.5887173112200608,0.5107095509194873,0.5724133629086277,0.004661164121369526,0.008920467299027544,0.522524657635106,0.3006525414712603,NULL,0.004922387638022296,0.008924297722282298,0.5515714279379113,0.29062100827469306,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at full stored precision
Chronos-Bolt-small,Foundation forecaster,21434,132,1061,5,0.6516784114650892,0.6909101454047606,0.5985001285709228,0.6400748562281253,0.5560996748861031,0.6227954933161653,0.004855076388973149,0.008549382843493925,0.5678861828801899,0.28505612732014785,NULL,0.005135329933521361,0.008553922925081902,0.6003479314109195,0.2741371905470111,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at full stored precision
Chronos-Bolt-base,Foundation forecaster,21434,132,1061,5,0.4994782500402478,0.5335117348129186,0.43756829845298334,0.4974864624645397,0.3991905610493578,0.46834410719892017,0.0036599782430283036,0.008816122339668685,0.41514603609344286,0.33901750018120247,NULL,0.003941373985490854,0.0088268513540181,0.44652094245324386,0.32761049416306776,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at full stored precision
Chronos-Bolt-base (extended coverage),Foundation forecaster,23887,132,1177,5,0.05341131460017666,0.019096464565352595,-0.029277428532109507,0.006323897673710221,-0.07179359370350141,0.026331720379504972,-0.0006617367536315753,0.008401163045376874,-0.07876727901331786,0.5313911346391966,NULL,-0.0003591547700540112,0.008409034018476296,-0.04271058593232918,0.5170338795411757,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at full stored precision
Moirai-1.0-R-base,Foundation forecaster,21434,132,1061,5,-3.5618598534123045,-3.5396766646502944,-3.513734744356661,-3.5521601952695288,-3.5439679040260685,-3.5455735125072008,-0.029235615686234735,0.008279275715149498,-3.5311803462154456,0.9997931452157917,NULL,-0.02923968271691396,0.008271487189569554,-3.5349970382334095,0.9997961101354795,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at full stored precision
Moirai-1.0-R-large,Foundation forecaster,21434,132,1061,5,-3.3213756351252326,-3.3084205817622183,-3.3462923486543623,-3.336816546909734,-3.360915354961225,-3.3451489431875765,-0.02451562139465066,0.007290900418652929,-3.3624957120426813,0.9996137933714397,NULL,-0.024342721606220207,0.007269397566616918,-3.348657352021674,0.99959397922547,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at full stored precision
Untrained forecasting network,Untrained network,21434,132,1061,5,-2.939622931477859,-2.918204425800524,-3.003751831547216,-2.929831794684247,-3.101762991998348,-2.9184826542021263,-0.022650452428613927,0.0074056554977140945,-3.05853444514202,0.9988878874621819,NULL,-0.022309450187625503,0.007397064508739191,-3.015986971759976,0.9987192786730926,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at full stored precision
WPMixer,Supervised forecaster,8926,132,369,4,-2.3631633207607323,-2.428405027154852,-2.4311850031754583,-2.2912960288246556,-2.329193866497883,-2.276136934515968,-0.028460116942514345,0.012254054143377343,-2.3225062179030362,0.9898971529979644,NULL,-0.028812649519319986,0.012243464497713675,-2.353308536542121,0.9906964061972803,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at float32 precision
MambaSimple,Supervised forecaster,8926,132,369,4,-2.2598058486762054,-2.2251659109906283,-2.2756435787214793,-2.2406658090307836,-2.2177778243809585,-2.220016406866306,-0.023687884099748265,0.010646492226533969,-2.2249472967924198,0.9869576118035059,NULL,-0.02385040330927406,0.010665783243723663,-2.236160511072542,0.987329370561033,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at float32 precision
MSGNet,Supervised forecaster,8926,132,369,4,-2.063927578875941,-2.0725823468144866,-2.02627791733076,-2.0631027034741902,-2.002355557610552,-2.0697143378325604,-0.020651599934215538,0.010262268899362532,-2.0123814856866953,0.9779101306852608,NULL,-0.020901678103696926,0.010289995088746581,-2.0312622040564015,0.9788857983599845,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at float32 precision
DLinear,Supervised forecaster,14774,132,601,5,0.13066822900735556,0.09371418618039432,0.08100384109092586,0.09940986777331198,0.1568229568188842,0.13193023831639317,0.001167291423773421,0.009988344573669369,0.11686535392967516,0.45348337676747064,NULL,0.0011011723204147853,0.010002768544232463,0.11008675403668264,0.4561702865261254,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at float32 precision
