model,left_q,left_term,right_q,right_term,hac_covariance
Past price and calendar,8,outcome_fit_shift,8,outcome_fit_shift,2.8343195309335637e-06
Past price and calendar,8,outcome_fit_shift,8,forecast_fit_shift,-2.4966994229195584e-06
Past price and calendar,8,outcome_fit_shift,8,joint_fit_shift,8.9487678792799225e-08
Past price and calendar,8,outcome_fit_shift,12,outcome_fit_shift,2.2302932946627703e-06
Past price and calendar,8,outcome_fit_shift,12,forecast_fit_shift,-1.7360861701939555e-06
Past price and calendar,8,outcome_fit_shift,12,joint_fit_shift,3.1842576899408287e-07
Past price and calendar,8,outcome_fit_shift,16,outcome_fit_shift,2.3619075421942397e-06
Past price and calendar,8,outcome_fit_shift,16,forecast_fit_shift,-3.7624876851651791e-06
Past price and calendar,8,outcome_fit_shift,16,joint_fit_shift,4.8081208108552524e-07
Past price and calendar,8,outcome_fit_shift,24,outcome_fit_shift,2.1844199851801124e-06
Past price and calendar,8,outcome_fit_shift,24,forecast_fit_shift,-3.8782664582600322e-06
Past price and calendar,8,outcome_fit_shift,24,joint_fit_shift,5.4139114167030224e-07
Past price and calendar,8,outcome_fit_shift,32,outcome_fit_shift,2.0788731167536696e-06
Past price and calendar,8,outcome_fit_shift,32,forecast_fit_shift,-4.0255710507289971e-06
Past price and calendar,8,outcome_fit_shift,32,joint_fit_shift,6.6998532353145362e-07
Past price and calendar,8,forecast_fit_shift,8,outcome_fit_shift,-2.4966994229195584e-06
Past price and calendar,8,forecast_fit_shift,8,forecast_fit_shift,3.6049421444808038e-06
Past price and calendar,8,forecast_fit_shift,8,joint_fit_shift,-6.8321919946800966e-08
Past price and calendar,8,forecast_fit_shift,12,outcome_fit_shift,-1.9011730649459042e-06
Past price and calendar,8,forecast_fit_shift,12,forecast_fit_shift,2.9670691269642788e-06
Past price and calendar,8,forecast_fit_shift,12,joint_fit_shift,-3.0085788968520664e-07
Past price and calendar,8,forecast_fit_shift,16,outcome_fit_shift,-2.0616061873807947e-06
Past price and calendar,8,forecast_fit_shift,16,forecast_fit_shift,4.6914728715467456e-06
Past price and calendar,8,forecast_fit_shift,16,joint_fit_shift,-4.0714426918777509e-07
Past price and calendar,8,forecast_fit_shift,24,outcome_fit_shift,-1.8677774331147106e-06
Past price and calendar,8,forecast_fit_shift,24,forecast_fit_shift,4.7943993231625384e-06
Past price and calendar,8,forecast_fit_shift,24,joint_fit_shift,-4.8750886143856396e-07
