model,q,weight,rows,weeks,mean_complementary,mean_directional,mean_change,outcome_fit_shift,forecast_fit_shift,joint_fit_shift,identity_max_absolute_error
Past price and calendar,8,-0.20463945033686862,68000,17,0.0095360578212845982,-0.0018312023401069967,-0.011367260161391595,-0.004247673498927346,-0.0032095261927283588,-0.0039100604697358899,8.8817841970012523e-16
Past price and calendar,12,0.15424254552731625,68000,17,0.0087579746309701789,-0.0011841751609428617,-0.009942149791913036,-0.0038986942445460365,-0.0024164549081434851,-0.0036270006392235148,8.8817841970012523e-16
Past price and calendar,16,0.27985124407978113,68000,17,0.010177418900944346,-0.0019049975083047766,-0.012082416409249118,-0.0041203194954261141,-0.0045488570339422309,-0.0034132398798807735,1.7763568394002505e-15
Past price and calendar,24,0.36957174304582741,68000,17,0.010218565154633642,-0.0017080923877238281,-0.011926657542357472,-0.0039066129707015507,-0.0045584571889490614,-0.0034615873827068583,8.8817841970012523e-16
Past price and calendar,32,0.40097391768394358,68000,17,0.010258692851265783,-0.0015187605732082353,-0.011777453424474019,-0.0037099087449305873,-0.0045224895572338105,-0.0035450551223096191,8.8817841970012523e-16
Croston SBA,8,-0.20463945033686862,68000,17,-0.020404577551114453,0.0070428045738161619,0.027447382124930621,0.013711198624015682,0.010046240863046793,0.0036899426378681427,1.7763568394002505e-15
Croston SBA,12,0.15424254552731625,68000,17,-0.018358849604696286,0.0053385617723180805,0.023697411377014362,0.012279225971344666,0.0081551948155637686,0.003262990590105931,8.8817841970012523e-16
Croston SBA,16,0.27985124407978113,68000,17,-0.020134612092284631,0.0067242125628208874,0.026858824655105525,0.013329203377075613,0.010109970090609181,0.003419651187420724,8.8817841970012523e-16
Croston SBA,24,0.36957174304582741,68000,17,-0.020149267679242949,0.0054243390182074237,0.025573606697450374,0.012379213226568162,0.010075824051868467,0.0031185694190137446,8.8817841970012523e-16
Croston SBA,32,0.40097391768394358,68000,17,-0.020303434475891835,0.0056058272960444197,0.02590926177193625,0.012543754010981298,0.0098402522255330062,0.0035252555354219448,8.8817841970012523e-16
