model,period,rows,complementary_product,directional_product,outcome_fit_shift,forecast_fit_shift,joint_fit_shift
Past price and calendar,2015-12-25 00:00:00,4000,0.017968028109784647,0.0012597784495546741,0.0021751702844093391,-0.01729719581681571,-0.0015862241278236057
Past price and calendar,2016-01-01 00:00:00,4000,0.014629253595999717,-0.0011442379421826832,0.0018370628703433755,-0.016903442281550912,-0.00070711212697486159
Past price and calendar,2016-01-08 00:00:00,4000,0.018703584493845158,-0.0038407364606252814,-0.001647156654958375,-0.02131467826552887,0.00041751396601680745
Past price and calendar,2016-01-15 00:00:00,4000,-0.0059774472501190343,-0.0082061369782621945,-0.0001187009963630058,-0.00010817228583554384,-0.0020018164459446068
Past price and calendar,2016-01-22 00:00:00,4000,0.0024259641686657377,-0.005917711524943272,-0.0017096571887115824,-0.0047771724898189255,-0.0018568460150785008
Past price and calendar,2016-01-29 00:00:00,4000,0.0073446070219981979,-0.0081912802576873354,-0.0015641049350676943,-0.011522697948840905,-0.0024490843957769379
Past price and calendar,2016-02-05 00:00:00,4000,0.0022979319753921265,-0.0095618468392096607,-0.001871937851447591,-0.0055139924111600657,-0.0044738485519941291
Past price and calendar,2016-02-12 00:00:00,4000,0.014275357563992355,-0.0063241432854769849,-0.0092907299833784561,-0.0060420968237792552,-0.0052666740423116263
Past price and calendar,2016-02-19 00:00:00,4000,0.014263648863137324,-0.0047718065719073817,-0.0073047042746596782,-0.0056643894568264002,-0.006066361703558629
Past price and calendar,2016-02-26 00:00:00,4000,0.0043477325992847451,-0.0039863066032115443,-0.00065830016934094275,-0.00083004445450851378,-0.0068456945786468356
Past price and calendar,2016-03-04 00:00:00,4000,0.013963391784251655,0.00060580930225778305,-0.0033344989446498115,-0.0041120589431312094,-0.0059110245942128525
Past price and calendar,2016-03-11 00:00:00,4000,0.01020386146377405,0.0060313454399660909,-0.0050316141872744444,0.0074932348884565285,-0.0066341367249900408
Past price and calendar,2016-03-18 00:00:00,4000,0.014052017352347193,0.0071265766729871694,-0.0047504204118920881,0.00035559001314452293,-0.0025306102806124564
Past price and calendar,2016-03-25 00:00:00,4000,0.010518521234376859,0.0035260384253314159,-0.0052021552347230344,0.0011360266179957859,-0.0029263541923181947
Past price and calendar,2016-04-01 00:00:00,4000,0.0084451425154597262,0.00018464302353689632,-0.0074787431068168665,0.0021295486334586529,-0.002911305018564615
Past price and calendar,2016-04-08 00:00:00,4000,0.018150049987378722,0.0078769057328684621,-0.01079944602095477,0.0040092149542085061,-0.0034829131877639964
Past price and calendar,2016-04-15 00:00:00,4000,0.0067262490781940599,-0.0015485814199336775,-0.0081310714940728245,0.0026832392902827453,-0.0028269982943376583
Croston SBA,2015-12-25 00:00:00,4000,-0.013142568777075932,0.0021060136321120826,0.0032325537093688145,0.0092922120385352785,0.0027238166612839208
Croston SBA,2016-01-01 00:00:00,4000,-0.027708205042206429,0.00089004389126661561,0.0055169070167740151,0.023675036724037177,-0.00059369480733814629
Croston SBA,2016-01-08 00:00:00,4000,-0.030417291677969482,0.0016108192155008987,0.0076195018795547995,0.024752311814230665,-0.00034370280031508616
Croston SBA,2016-01-15 00:00:00,4000,-0.015590960180037168,0.0050958036190975947,0.0065471676667455923,0.011025518547205357,0.0031140775851838135
Croston SBA,2016-01-22 00:00:00,4000,-0.017695737958354947,0.0050290775742197072,0.007631600540100333,0.011895633537840268,0.0031975814546340523
Croston SBA,2016-01-29 00:00:00,4000,-0.015575362231067598,0.0043339582800410066,0.0077062416634609112,0.0089251692520774129,0.0032779095955702778
Croston SBA,2016-02-05 00:00:00,4000,-0.01929915947738697,0.0061147291036185453,0.012419146864914288,0.0096639750897200404,0.0033307666263711873
Croston SBA,2016-02-12 00:00:00,4000,-0.024129469061702886,0.0041554457006927944,0.01420015700738248,0.010088605539151287,0.0039961522158619171
Croston SBA,2016-02-19 00:00:00,4000,-0.022237500347748133,0.0062892344236115966,0.014581901841729063,0.0096150184721713466,0.0043298144574593191
Croston SBA,2016-02-26 00:00:00,4000,-0.022510556889941895,0.0072797913547159145,0.015068058702151941,0.01052070704189503,0.0042015825006108407
Croston SBA,2016-03-04 00:00:00,4000,-0.021516045096086671,0.0039272802836575601,0.013358554040754082,0.0077171501955029592,0.0043676211434871912
Croston SBA,2016-03-11 00:00:00,4000,-0.017968999536730847,0.0074139805804284854,0.013080878349333859,0.0083148941098519294,0.0039872076579735441
Croston SBA,2016-03-18 00:00:00,4000,-0.01946769388736443,0.011930759326244033,0.022115971980917505,0.0054700849447272938,0.0038123962879636612
Croston SBA,2016-03-25 00:00:00,4000,-0.02018631324462742,0.0090002764662641573,0.020467291198428238,0.0039201615415305991,0.0047991369709327412
Croston SBA,2016-04-01 00:00:00,4000,-0.016453605826887624,0.0076307114882406043,0.016736407692688884,0.0037844347980903357,0.003563474824349011
Croston SBA,2016-04-08 00:00:00,4000,-0.017985585470053897,0.0059742185785098805,0.016539710479573234,0.0029786640420146485,0.0044414295269759024
Croston SBA,2016-04-15 00:00:00,4000,-0.016050772080284669,0.0049975049543061634,0.014369742698998147,0.0032728807659508242,0.0034056535696418617
